Ranking,Tier,Player ID,Player,Position,Team,Age
58,7,*03e5m*,Bryan Reynolds,OF,PIT,30
59,7,*04e2u*,Brent Rooker,OF,OAK,30.3
60,7,*02btx*,Tyler Glasnow,P,LAD,31.5
61,7,*04aea*,Hunter Greene,P,CIN,25.5
62,7,*03atq*,Willy Adames,SS,SF,29.4
63,7,*05xu5*,Zach Neto,SS,LAA,24
64,7,*05vy6*,Bryce Miller,P,SEA,26.5
65,7,*01uca*,Chris Sale,P,ATL,35.9
66,7,*03dc4*,Freddy Peralta,P,MIL,28.7
67,7,*04mlt*,Shane McClanahan,P,TB,27.8
68,7,*041qo*,Zac Gallen,P,ARI,29.5
69,7,*05h2u*,Jared Jones,P,PIT,23.5
70,7,*04de1*,Triston Casas,1B,BOS,25.1
71,7,*03pjd*,Josh Naylor,1B,ARI,27.6
72,7,*0596e*,Dylan Crews,OF,WSH,22.6
73,7,*03dbm*,Logan Webb,P,SF,28.2
74,7,*04q2n*,Adley Rutschman,C,BAL,27
75,7,*05gsc*,Jordan Westburg,"2B,3B",BAL,26
76,7,*06f0q*,Kristian Campbell,"2B,SS,OF",BOS,22.6
77,7,*04my4*,Cal Raleigh,C,SEA,28.2
78,7,*024m0*,Jose Altuve,2B,HOU,34.8
79,7,*05184*,Vinnie Pasquantino,1B,KC,27.3
80,7,*04prt*,Lawrence Butler,"3B,OF",OAK,24.6
81,8,*047l7*,Luis Robert Jr.,OF,CHW,27.5
82,8,*04b02*,Seiya Suzuki,OF,CHC,30.5
83,8,*05tq1*,Spencer Schwellenbach,P,ATL,24.7
84,8,*04pko*,Grayson Rodriguez,P,BAL,25.2
85,8,*04ps7*,Joe Ryan,P,MIN,28.7
86,8,*043f9*,Pablo Lopez,P,MIN,28.9
87,8,*02i2j*,Max Fried,P,NYY,31.1
88,8,*04auj*,Framber Valdez,P,HOU,31.2
89,8,*050c3*,Jasson Dominguez,OF,NYY,22
90,8,*0524l*,Yainer Diaz,C,HOU,26.4
91,8,*02xic*,Teoscar Hernandez,OF,LAD,32.3
92,8,*03nmw*,Ian Happ,OF,CHC,30.5
93,8,*054p6*,Emmanuel Rodriguez,OF,MIN,22
94,8,*05rb0*,Jackson Jobe,P,DET,22.5
95,8,*04pks*,Matt McLain,"2B,SS",CIN,25.5
96,8,*063vu*,Matt Shaw,"2B,3B,SS",CHC,23.3
97,8,*05zde*,Travis Bazzana,2B,CLE,22.5
98,8,*05ybv*,Jackson Holliday,2B,BAL,21.2
99,8,*05144*,Hunter Brown,P,HOU,26.5
100,8,*05ge9*,Shota Imanaga,P,CHC,31.5
101,8,*0425t*,Bailey Ober,P,MIN,29.6
102,8,*03nuc*,Luis Castillo,P,SEA,32.2
103,8,*02i3o*,Aaron Nola,P,PHI,31.7
104,8,*041wv*,Michael King,P,SD,29.7
105,8,*025dn*,Christian Yelich,OF,MIL,33.2
106,8,*03120*,Cody Bellinger,"1B,OF",NYY,29.6
107,8,*04071*,Isaac Paredes,"1B,3B",HOU,26
108,8,*041qb*,Bo Bichette,SS,TOR,26.9
109,8,*05rik*,Bubba Chandler,P,PIT,22.4
110,8,*05r3i*,Andrew Painter,P,PHI,21.8
111,8,*05y23*,Tanner Bibee,P,CLE,25.9
112,8,*03btv*,Sandy Alcantara,P,MIA,29.4
113,8,*0512m*,Ryan Pepiot,P,TB,27.5
114,8,*05y62*,Bryan Woo,P,SEA,25
115,9,*01usi*,Marcell Ozuna,UT,ATL,34.3
116,9,*03d6s*,Matt Chapman,3B,SF,31.8
117,9,*02w7p*,Alex Bregman,3B,(N/A),30.9
118,9,*05js5*,Coby Mayo,3B,BAL,23.2
119,9,*042sz*,Will Smith,C,LAD,29.9
120,9,*03zcy*,Mark Vientos,3B,NYM,25.2
121,9,*01s8u*,Mike Trout,OF,LAA,33.5
122,9,*0512e*,Spencer Steer,"1B,OF",CIN,27.2
123,9,*02w16*,Anthony Santander,OF,TOR,30.3
124,9,*05ras*,Colton Cowser,OF,BAL,24.9
125,9,*02yk4*,Tyler O'Neill,OF,BAL,29.6
126,9,*05u3v*,Walker Jenkins,OF,MIN,20
127,9,*0662o*,Sebastian Walcott,"3B,SS",TEX,18.9
128,9,*04qnc*,Francisco Alvarez,C,NYM,23.2
129,9,*05rbv*,Samuel Basallo,"C,1B",BAL,20.5
130,9,*04pr8*,Taj Bradley,P,TB,23.9
131,9,*02mw3*,Christian Walker,1B,HOU,33.9
132,9,*0513l*,Brenton Doyle,OF,COL,26.8
133,9,*04mra*,Ezequiel Tovar,SS,COL,23.5
134,9,*05gwy*,Masyn Winn,SS,STL,22.9
135,9,*04y9p*,Anthony Volpe,SS,NYY,23.8
136,9,*040b5*,Randy Arozarena,OF,SEA,30
137,9,*03d6w*,Jack Flaherty,P,DET,29.3
138,9,*02c2r*,Carlos Rodon,P,NYY,32.2
139,9,*04cwf*,Shane Baz,P,TB,25.7
140,9,*05yj0*,Chase Dollander,P,COL,23.3
141,9,*05uc7*,Noah Schultz,P,CHW,21.5
142,9,*051em*,Kerry Carpenter,OF,DET,27.4
143,9,*05u9y*,Max Clark,OF,DET,20.1
144,9,*04cd5*,MacKenzie Gore,P,WSH,26
145,10,*02bu9*,Marcus Semien,2B,TEX,34.4
146,10,*05ajg*,Ha-Seong Kim,SS,(N/A),29.3
147,10,*02bq2*,Brandon Nimmo,OF,NYM,31.9
148,10,*041ah*,Josh Lowe,OF,TB,27
149,10,*05mdt*,Evan Carter,OF,TEX,22.5
150,10,*04y44*,Josh Jung,3B,TEX,27
151,10,*067yc*,Leodalis De Vries,SS,SD,18.3
152,10,*0414g*,Luis Garcia Jr.,2B,WSH,24.4
153,10,*02i2q*,Carlos Correa,SS,MIN,30.4
154,10,*04s1h*,Luis Gil,P,NYY,26.7
155,10,*062k5*,Nick Kurtz,1B,OAK,21.9
156,10,*05jrh*,Colt Keith,2B,DET,23.5
157,10,*05xtz*,Dalton Rushing,"C,OF",LAD,24
158,10,*04azu*,Kumar Rocker,P,TEX,25.2
159,10,*06aw3*,JJ Wetherholt,SS,STL,22.4
160,10,*02hjp*,Jacob deGrom,P,TEX,36.7
161,10,*051wv*,Pete Crow-Armstrong,OF,CHC,22.9
162,10,*05uei*,Chase DeLauter,OF,CLE,23.3
163,10,*03i81*,Reynaldo Lopez,P,ATL,31.1
164,10,*03deg*,Justin Steele,P,CHC,29.6
165,10,*05lg3*,Brandon Pfaadt,P,ARI,26.3
166,10,*0260v*,Sonny Gray,P,STL,35.3
167,10,*05ucd*,Mason Miller,P,OAK,26.5
168,10,*04ug5*,Emmanuel Clase,P,CLE,26.9
169,10,*0311c*,Devin Williams,P,NYY,30.4
170,10,*03ql5*,Ryan Helsley,P,STL,30.6
171,10,*03aqv*,Raisel Iglesias,P,ATL,35.1
172,10,*04o4s*,Shea Langeliers,C,OAK,27.2
173,10,*04pr1*,Steven Kwan,OF,CLE,27.4
174,10,*06eyu*,Zyhir Hope,OF,LAD,20.1
175,10,*05yby*,Kevin McGonigle,"2B,SS",DET,20.5
176,10,*04nx3*,Jonathan India,2B,KC,28.2
177,10,*03ae8*,Dansby Swanson,SS,CHC,31
178,10,*05jp7*,Gavin Williams,P,CLE,25.6
179,10,*04azv*,Jake Burger,"1B,3B",TEX,28.8
180,10,*04p10*,Bryson Stott,2B,PHI,27.4
181,10,*04ppj*,Jeremy Pena,SS,HOU,27.4
182,10,*0513c*,Joey Ortiz,3B,MIL,26.6
183,10,*05t9n*,Carson Williams,SS,TB,21.6
184,10,*04t9b*,Michael Busch,1B,CHC,27.3
185,10,*05u96*,Bryce Eldridge,1B,SF,20.3
186,10,*03qjy*,Brandon Lowe,2B,TB,30.6
187,10,*025gb*,Xander Bogaerts,"2B,SS",SD,32.4
188,10,*031t0*,Gleyber Torres,2B,DET,28.2
189,10,*03djk*,Tanner Houck,P,BOS,28.6
190,10,*060x1*,Wilyer Abreu,OF,BOS,25.6
191,10,*01uc9*,Nick Castellanos,OF,PHI,32.9
192,10,*03d7h*,Mitch Keller,P,PIT,28.9
193,10,*041sq*,Tommy Edman,"SS,OF",LAD,29.8
194,10,*03oh0*,Willson Contreras,C,STL,32.8
195,10,*05u9q*,Jac Caglianone,1B,KC,22
196,10,*03m6o*,Yandy Diaz,1B,TB,33.5
197,10,*04pmn*,Parker Meadows,OF,DET,25.3
198,10,*03pje*,Taylor Ward,OF,LAA,31.2
199,11,*03aac*,Walker Buehler,P,BOS,30.5
200,11,*05r1m*,Jordan Lawlar,SS,ARI,22.6
201,11,*02hi7*,Kevin Gausman,P,TOR,34.1
202,11,*05t9l*,Max Muncy,3B,LAD,34.5
203,11,*04q56*,Logan O'Hoppe,C,LAA,25
204,11,*04mn5*,Alec Bohm,"1B,3B",PHI,28.5
205,11,*04pkr*,Nico Hoerner,"2B,SS",CHC,27.8
206,11,*04ml0*,Yusei Kikuchi,P,LAA,33.7
207,11,*02mwq*,Zach Eflin,P,BAL,30.9
208,11,*02mwk*,Jose Berrios,P,TOR,30.7
209,11,*04ee8*,Heliot Ramos,OF,SF,25.4
210,11,*06ibv*,Jesus Made,SS,MIL,17.8
211,11,*041r1*,Jesus Luzardo,P,PHI,27.4
212,11,*03dei*,Lane Thomas,OF,CLE,29.5
213,11,*01spl*,Jurickson Profar,OF,ATL,32
214,11,*05rfu*,Kyle Manzardo,UT,CLE,24.6
215,11,*05ahg*,Austin Wells,C,NYY,25.6
216,11,*041xv*,Nathaniel Lowe,1B,WSH,29.6
217,11,*04pq4*,Kyle Bradish,P,BAL,28.4
218,11,*0421k*,Bowden Francis,P,TOR,28.8
219,11,*060gd*,Quinn Mathews,P,STL,24.4
220,11,*041rf*,Shane Bieber,P,CLE,29.7
221,11,*05r9j*,Marcelo Mayer,SS,BOS,22.2
222,11,*06cq8*,Christian Moore,2B,LAA,22.3
223,11,*04pbp*,Christopher Morel,"2B,3B",TB,25.6
224,11,*02n96*,Josh Hader,P,HOU,30.9
225,11,*03dfa*,Tanner Scott,P,LAD,30.6
226,11,*0403o*,Andres Munoz,P,SEA,26.1
227,11,*04a2t*,Kodai Senga,P,NYM,32
228,11,*02my5*,Edwin Diaz,P,NYM,30.9
229,11,*05t64*,Felix Bautista,P,BAL,29.7
230,11,*02x0f*,Sean Manaea,P,NYM,33
231,11,*041ps*,Nick Lodolo,P,CIN,27
232,11,*05y0j*,Spencer Arrighetti,P,HOU,23.1
233,11,*05gbf*,Jordan Walker,OF,STL,22.7
234,11,*03avk*,Luis Rengifo,"2B,3B",LAA,28
235,11,*04aq4*,Adolis Garcia,OF,TEX,32
236,11,*025he*,George Springer,OF,TOR,35.4
237,11,*01u75*,Salvador Perez,"C,1B",KC,34.8
238,11,*02bqh*,Trevor Story,SS,BOS,32.2
239,11,*05yav*,David Festa,P,MIN,24.9
240,11,*0316j*,Nick Pivetta,P,(N/A),32
241,11,*025j1*,Robbie Ray,P,SF,33.4
242,11,*05gtn*,Tyler Soderstrom,"C,1B",OAK,23.2
243,11,*041sz*,Tobias Myers,P,MIL,26.5
244,11,*05rch*,Colson Montgomery,SS,CHW,23
245,11,*04ok3*,Michael Toglia,"1B,OF",COL,26.5
246,11,*0596f*,Heston Kjerstad,OF,BAL,26
247,11,*02i2k*,Byron Buxton,OF,MIN,31.2
248,11,*04o78*,Matt Wallner,OF,MIN,27.2
249,11,*04pse*,Brendan Donovan,"2B,OF",STL,28.1
250,11,*060jo*,Cam Smith,3B,HOU,22
251,11,*025i9*,J.T. Realmuto,C,PHI,33.9
252,11,*03aoy*,Sean Murphy,C,ATL,30.4
253,11,*041q8*,Brandon Marsh,OF,PHI,27.2
254,11,*05jsg*,Owen Caissie,OF,CHC,22.6
255,11,*04ee7*,Clarke Schmidt,P,NYY,29
256,11,*03pzn*,Andres Gimenez,2B,TOR,26.4
257,11,*03qmh*,Jake Cronenworth,"1B,2B",SD,31.1
258,11,*04n8z*,Xavier Edwards,SS,MIA,25.5
259,11,*03qr0*,Cedric Mullins,OF,BAL,30.4
260,11,*06alk*,Charlie Condon,OF,COL,21.9
261,11,*061zv*,Josue De Paula,OF,LAD,19.7
262,11,*05rcg*,Braden Montgomery,OF,CHW,21.8
263,11,*04en7*,Garrett Mitchell,OF,MIL,26.4
264,11,*04pt2*,Lars Nootbaar,OF,STL,27.4
265,11,*04aee*,Jo Adell,OF,LAA,25.8
266,11,*05ub0*,Zack Gelof,2B,OAK,25.3
267,11,*05xor*,Christian Encarnacion-Strand,1B,CIN,25.2
268,11,*0515o*,Brandon Sproat,P,NYM,24.4
269,11,*04px8*,Reese Olson,P,DET,25.5
270,11,*04yid*,Ryne Nelson,P,ARI,27
271,11,*05mrx*,Gavin Stone,P,LAD,26.3
272,11,*061bo*,Rhett Lowder,P,CIN,22.9
273,11,*052c8*,Cristopher Sanchez,P,PHI,28.2
274,11,*041am*,Lucas Erceg,P,KC,29.8
275,11,*01c5l*,Yu Darvish,P,SD,38.5
276,11,*03pix*,Tyler Stephenson,C,CIN,28.5
277,11,*04s1g*,Gabriel Moreno,C,ARI,25
278,11,*04t3y*,Alejandro Kirk,C,TOR,26.3
279,11,*01ut7*,Nathan Eovaldi,P,TEX,35
280,11,*03sef*,Seth Lugo,P,KC,35.2
281,11,*03et8*,Ranger Suarez,P,PHI,29.5
282,11,*04mlr*,Jeffrey Springs,P,OAK,32.4
283,11,*041q6*,Nolan Jones,OF,COL,26.8
284,11,*05jr0*,Alec Burleson,"1B,OF",STL,26.2
285,11,*04y95*,JJ Bleday,OF,OAK,27.3
286,11,*02i11*,Jorge Soler,"OF,UT",LAA,33
287,11,*06650*,Hayden Birdsong,P,SF,23.5
288,11,*05ycl*,Travis Sykora,P,WSH,20.8
289,11,*05tp6*,Thomas White,P,MIA,20.4
290,11,*05131*,Tyler Fitzgerald,SS,SF,27.4
291,12,*03pov*,Brady Singer,P,CIN,28.5
292,12,*01srb*,Jameson Taillon,P,CHC,33.2
293,12,*041ai*,Gavin Lux,2B,LAD,27.2
294,12,*041ts*,Luke Raley,"1B,OF",SEA,30.4
295,12,*0310n*,Ryan McMahon,3B,COL,30.2
296,12,*03pjl*,Ryan Mountcastle,1B,BAL,28
297,12,*05gwz*,Bobby Miller,P,LAD,25.9
298,12,*02bqy*,Joe Musgrove,P,SD,32.2
299,12,*05js3*,Kyle Harrison,P,SF,23.5
300,12,*04yig*,Brooks Lee,SS,MIN,24
301,12,*04t40*,Brayan Bello,P,BOS,25.7
302,12,*045gu*,TJ Friedl,OF,CIN,29.5
303,12,*05yj1*,Nolan Schanuel,1B,LAA,23
304,12,*051ia*,Spencer Horwitz,"1B,2B",PIT,27.2
305,12,*04efa*,Daulton Varsho,OF,TOR,28.6
306,12,*026qc*,Joc Pederson,"OF,UT",TEX,32.8
307,12,*04ydi*,Ronel Blanco,P,HOU,31.5
308,12,*05gsi*,Ceddanne Rafaela,"SS,OF",BOS,24.4
309,12,*03dau*,Trevor Megill,P,MIL,31.2
310,12,*060ub*,Colt Emerson,SS,SEA,19.6
311,12,*066sx*,Jonny Farmelo,OF,SEA,20.4
312,12,*03btu*,Willi Castro,"2B,3B,SS,OF",MIN,27.8
313,12,*05zh9*,Luke Keaschall,2B,MIN,22.5
314,12,*03mew*,Luis Arraez,"1B,2B",SD,27.8
315,12,*0622t*,Jacob Wilson,SS,OAK,22.9
316,12,*05u36*,Aidan Miller,SS,PHI,20.7
317,12,*05xpq*,Christian Scott,P,NYM,25.7
318,12,*03ab0*,Luis Severino,P,OAK,31
319,12,*04ep8*,Kutter Crawford,P,BOS,28.9
320,12,*05mx9*,Felnin Celesten,SS,SEA,19.4
321,12,*04ru5*,Andy Pages,OF,LAD,24.2
322,12,*02c5l*,Luke Weaver,P,NYY,31.5
323,12,*05jri*,Alejandro Rosario,P,TEX,23.1
324,12,*03qyv*,Jake McCarthy,OF,ARI,27.5
325,12,*04hyc*,Ivan Herrera,C,STL,24.7
326,12,*04ai4*,Nolan Gorman,2B,STL,24.8
327,12,*05m49*,Jung Hoo Lee,OF,SF,26.5
328,12,*03c65*,Victor Robles,OF,SEA,27.7
329,12,*0630d*,Drake Baldwin,C,ATL,23.9
330,12,*05rbs*,Moises Ballesteros,C,CHC,21.3
331,12,*05r64*,Thayron Liranzo,"C,1B",DET,21.6
332,12,*04si2*,Andrew Vaughn,1B,CHW,26.9
333,12,*03d6v*,Michael Kopech,P,LAD,28.8
334,12,*06c79*,Eduardo Quintero,OF,LAD,19.4
335,12,*05t9v*,Jonathan Aranda,1B,TB,26.7
336,12,*04b00*,Brice Turang,2B,MIL,25.2
337,12,*05rb3*,Chase Burns,P,CIN,22.1
338,12,*05zd4*,Hagen Smith,P,CHW,21.5
339,12,*066cf*,Zebby Matthews,P,MIN,24.7
340,12,*05zya*,Thomas Harrington,P,PIT,23.6
341,12,*04yrs*,Jhonkensy Noel,"3B,OF",CLE,23.6
342,12,*05rfc*,Lazaro Montes,OF,SEA,20.3
343,12,*03d6n*,Erick Fedde,P,STL,32
344,12,*03yso*,A.J. Puk,P,ARI,29.8
345,12,*04mnw*,Ryan Weathers,P,MIA,25.2
346,12,*0317q*,Griffin Jax,P,MIN,30.2
347,12,*03de9*,Rhys Hoskins,1B,MIL,31.9
348,12,*04apj*,Jhoan Duran,P,MIN,27.1
349,12,*03nri*,Lourdes Gurriel Jr.,OF,ARI,31.3
350,12,*06in4*,Hyeseong Kim,2B,LAD,26
351,12,*03bin*,Nestor Cortes Jr.,P,MIL,30.2
352,12,*06f15*,Cade Smith,P,CLE,22.8
353,12,*03qto*,Evan Phillips,P,LAD,30.4
354,12,*05r01*,Robert Suarez,P,SD,34
355,12,*06625*,Joendry Vargas,SS,LAD,19.3
356,12,*060la*,Jett Williams,SS,NYM,21.3
357,12,*05ge1*,Ryan Clifford,"1B,OF",NYM,21.6
358,12,*02jh6*,Eugenio Suarez,3B,ARI,33.6
359,12,*03qml*,Dylan Moore,"2B,3B,SS,OF",SEA,32.5
360,12,*05wxy*,Kyle Teel,C,CHW,23
361,12,*041qr*,Aaron Civale,P,MIL,29.7
362,12,*05u3u*,Konnor Griffin,SS,PIT,18.8
363,12,*05yai*,Bryce Rainer,SS,DET,19.6
364,12,*05r5e*,Angel Genao,SS,CLE,20.7
365,12,*05yix*,Jaison Chourio,OF,CLE,19.7
366,12,*05gss*,Jeferson Quero,C,MIL,22.3
367,12,*06dq9*,Aidan Smith,OF,TB,20.6
368,13,*01sy3*,Nolan Arenado,3B,STL,33.8
369,13,*03qo0*,Pete Fairbanks,P,TB,31.2
370,13,*05yid*,Michael Arroyo,2B,SEA,20.3
371,13,*04tlv*,Bryan Abreu,P,HOU,27.8
372,13,*04ali*,Edward Cabrera,P,MIA,26.8
373,13,*041qh*,Jose Miranda,3B,MIN,26.6
374,13,*04ysv*,Adael Amador,2B,COL,21.8
375,13,*02i37*,Lucas Giolito,P,BOS,30.6
376,13,*05nsq*,Deyvison De Los Santos,"1B,3B",MIA,21.6
377,13,*04yk2*,Spencer Torkelson,1B,DET,25.5
378,13,*06ibo*,Emil Morales,SS,LAD,18.4
379,13,*05l9f*,Landon Knack,P,LAD,27.6
380,13,*05jq2*,Andrew Abbott,P,CIN,25.7
381,13,*04nky*,Trevor Larnach,OF,MIN,28
382,13,*05yfl*,Joey Loperfido,OF,TOR,25.8
383,13,*062pp*,Xavier Isaac,1B,TB,21.2
384,13,*05gww*,Cade Horton,P,CHC,23.5
385,13,*05g3x*,Maikel Garcia,"2B,3B",KC,24.9
386,13,*04fyo*,Ronny Mauricio,2B,NYM,23.9
387,13,*02c2h*,Chris Bassitt,P,TOR,36
388,13,*02c4q*,Nick Martinez,P,CIN,
389,13,*060eu*,Ben Joyce,P,LAA,24.4
390,13,*03nru*,Jesus Sanchez,OF,MIA,27.4
391,13,*05yo5*,Ben Rice,1B,NYY,26
392,13,*045kb*,Cristian Javier,P,HOU,27.9
393,13,*04ni3*,Luis Garcia,P,HOU,28.2
394,13,*05a2d*,Max Meyer,P,MIA,25.9
395,13,*063e5*,Caden Dana,P,LAA,21.2
396,13,*05u1y*,Cam Collier,3B,CIN,20.2
397,13,*04qnd*,Noelvi Marte,3B,CIN,23.3
398,13,*061gx*,Jacob Melton,OF,HOU,24.4
399,13,*05ucf*,James Triantos,2B,CHC,22
400,13,*051b4*,Jordan Beck,OF,COL,23.8
401,13,*05ybr*,Ethan Salas,C,SD,18.7
402,13,*04yuu*,Patrick Bailey,C,SF,25.7
403,13,*05js6*,Ricky Tiedemann,P,TOR,22.5
404,13,*05tce*,Connor Norby,3B,MIA,24.7
405,13,*0310z*,J.P. Crawford,SS,SEA,30.1
406,13,*04z6m*,Agustin Ramirez,"C,1B",MIA,23.4
407,13,*02hj7*,Merrill Kelly,P,ARI,36.3
408,13,*05jn0*,Adrian Del Castillo,C,ARI,25.4
409,13,*05js7*,Nick Yorke,2B,PIT,22.9
410,13,*03mnq*,Carlos Estevez,P,(N/A),32.1
411,13,*05yhg*,Will Wagner,2B,TOR,26.5
412,13,*05un2*,Edgar Quero,C,CHW,21.9
413,13,*02mwg*,Jesse Winker,OF,NYM,31.5
414,13,*04sxv*,Jose Tena,"3B,SS",WSH,23.9
415,13,*05jpx*,Tink Hence,P,STL,22.5
416,13,*0658b*,Jonah Tong,P,NYM,21.6
417,13,*02iug*,Michael Wacha,P,KC,33.6
418,13,*04aqc*,David Bednar,P,PIT,30.3
419,13,*04mn4*,Joey Bart,C,PIT,28.2
420,13,*05ynx*,River Ryan,P,LAD,26.5
421,13,*066n3*,Ryan Walker,P,SF,32.9
422,13,*052ru*,Josh Smith,"3B,SS",TEX,28
423,13,*05wrt*,Tre' Morgan,1B,TB,22.6
424,13,*066mk*,Welbyn Francisca,"2B,SS",CLE,18.7
425,13,*0637j*,Josue Briceno,"C,1B",DET,20.4
426,13,*067yp*,Ralphy Velazquez,1B,CLE,19.7
427,13,*04eee*,Drew Rasmussen,P,TB,29.6
428,13,*05y7x*,Cole Young,"2B,SS",SEA,21.5
429,13,*0514o*,Cody Bradford,P,TEX,27
430,13,*05y7n*,Jarlin Susana,P,WSH,20.9
431,13,*061yu*,Jacob Misiorowski,P,MIL,22.9
432,13,*062yr*,Noble Meyer,P,MIA,20.1
433,13,*04yi8*,Spencer Jones,OF,NYY,23.7
434,13,*04mrn*,Bo Naylor,C,CLE,25
435,13,*067xj*,Cooper Pratt,SS,MIL,20.5
436,13,*05rb1*,Sal Frelick,OF,MIL,24.8
437,13,*01cfr*,Carlos Santana,1B,CLE,38.9
438,13,*0596g*,Reid Detmers,P,LAA,25.6
439,13,*031d4*,Zack Littell,P,TB,29.4
440,13,*02bu3*,Brandon Woodruff,P,MIL,32
441,13,*06c78*,Franklin Arias,SS,BOS,19.2
442,13,*06bsb*,Eduardo Tait,C,PHI,18.5
443,13,*06agr*,Slade Caldwell,OF,ARI,18.6
444,13,*05xu0*,Drew Gilbert,OF,NYM,24.4
445,13,*04y9o*,Jack Leiter,P,TEX,24.8
446,13,*0316v*,Jake Bauers,"1B,OF",(N/A),29.4
447,13,*039vx*,Jose Siri,OF,NYM,29.6
448,13,*059bx*,Brady House,3B,WSH,21.7
449,13,*05xod*,Sean Burke,P,CHW,25.2
450,13,*04pbq*,Geraldo Perdomo,SS,ARI,25.3
451,13,*05uy5*,AJ Smith-Shawver,P,ATL,22.2
452,13,*03rmz*,Keibert Ruiz,C,WSH,26.6
453,13,*01ual*,Paul Goldschmidt,1B,NYY,37.4
454,13,*05wy1*,Brayden Taylor,"3B,SS",TB,22.7
455,13,*06582*,Luke Adams,"1B,3B",MIL,20.8
456,13,*01cdf*,Giancarlo Stanton,UT,NYY,35.3
457,13,*04y11*,Luis Matos,OF,SF,23
458,13,*04c0o*,Jose Soriano,P,LAA,26.3
459,13,*06aly*,Carson Benge,OF,NYM,22.1
460,13,*03pdw*,Andrew Benintendi,OF,CHW,30.6
461,13,*04qow*,Kevin Alcantara,OF,CHC,22.6
462,14,*05acp*,Justin Martinez,P,ARI,23.5
463,14,*05yb1*,Drew Thorpe,P,CHW,24.4
464,14,*05y3p*,Arjun Nimmala,SS,TOR,19.3
465,14,*05vy5*,Carter Jensen,C,KC,21.6
466,14,*04pmu*,Ryan Jeffers,C,MIN,27.7
467,14,*0648n*,Chase Meidroth,"3B,SS",CHW,23.6
468,14,*04alq*,Pavin Smith,"1B,OF",ARI,29
