RANK,PLAYER,TEAM,AGE,POS
251,Alex Verdugo,BOS,26.7,OF
252,Austin Hays,BAL,27.6,OF
253,Cam Collier,CIN,18.2,3B
254,Gabriel Gonzalez,SEA,19.1,OF
255,Emmanuel Rodriguez,MIN,20,OF
256,Jeff McNeil,NYM,30.8,2B OF
257,Bryan De La Cruz,MIA,26.2,OF
258,Adalberto Mondesi,BOS,27.5,3B SS
259,Dylan Carlson,STL,24.3,OF
260,Mitch Haniger,SF,32.1,OF
261,Taj Bradley,TB,21.9,SP
262,Kevin Alcantara,CHC,20.6,OF
263,Roansy Contreras,PIT,23.3,SP
264,Jon Gray,TEX,31.3,SP
265,Brady House,WSH,19.7,SS
266,Colson Montgomery,CHW,21,SS
267,Edwin Arroyo,CIN,19.5,SS
268,Tink Hence,STL,20.5,SP RP
269,Heston Kjerstad,BAL,24,OF
270,Diego Cartaya,LAD,21.4,C
271,Brayan Rocchio,CLE,22,SS
272,Esteury Ruiz,OAK,24,2B
273,Bobby Miller,LAD,23.9,SP RP
274,Andrew Heaney,TEX,31.7,SP RP
275,Charlie Morton,ATL,39.3,SP
276,Cade Cavalli,WSH,24.5,SP
277,Luis Arraez,MIA,25.8,2B 3B OF
278,Justin Steele,CHC,27.6,SP
279,Ceddanne Rafaela,BOS,22.4,SS
280,Clay Holmes,NYY,29.9,RP
281,Yoan Moncada,CHW,27.7,3B
282,Gavin Lux,LAD,25.2,2B  SS
283,Raisel Iglesias,ATL,33.1,RP
284,Luis Urias,MIL,25.7,2B 3B SS
285,Lourdes Gurriel Jr.,AZ,29.3,OF
286,Brendan Rodgers,COL,26.5,2B SS
287,Alek Thomas,AZ,22.8,OF
288,Garrett Whitlock,BOS,26.7,SP  RP
289,Brandon Drury,LAA,30.5,1B  2B  3B
290,Max Meyer,MIA,23.9,SP RP
291,Lance McCullers Jr.,HOU,29.4,SP
292,Sonny Gray,MIN,33.3,SP
293,Sean Manaea,SF,31,SP
294,Nick Yorke,BOS,20.9,2B SS
295,Thairo Estrada,SF,27,2B SS
296,Ramon Laureano,OAK,28.6,OF
297,Andrew Benintendi,CHW,28.6,OF
298,Christopher Morel,CHC,23.6,SS  OF
299,Brandon Marsh,PHI,25.2,OF
300,Andy Pages,LAD,22.2,OF
301,Eugenio Suarez,SEA,31.6,3B
302,Alexis Diaz,CIN,26.4,RP
303,Kenley Jansen,BOS,35.4,RP
304,Kevin Parada,NYM,21.5,C
305,Chase DeLauter,CIN,21.3,OF
306,Drew Gilbert,HOU,22.4,OF
307,Spencer Jones,NYY,21.7,OF
308,Mike Soroka,ATL,25.5,SP
309,Merrill Kelly,AZ,34.3,SP
310,Jameson Taillon,CHC,31.2,SP
311,Whit Merrifield,TOR,34.1,2B OF
312,Mick Abel,PHI,21.5,SP RP
313,Nick Gonzales,PIT,23.7,SS
314,Joey Wiemer,MIL,24,OF
315,Alex Ramirez,NYM,20.1,OF
316,Jack Leiter,TEX,22.8,SP
317,Bryce Miller,SEA,24.5,SP
318,Gavin Stone,LAD,24.3,SP RP
319,Jo Adell,LAA,23.8,OF
320,Cody Morris,CLE,26.3,SP
321,Hunter Renfroe,LAA,31,OF
322,Cal Quantrill,CLE,28,SP RP
323,Michael Conforto,SFG,30,OF
324,Jesse Winker,MLW,29.5,OF
325,Trey Mancini,CHC,30.9,1B
326,Marcus Stroman,CHC,31.8,SP
327,Michael Busch,LAD,25.3,2B
328,Eric Lauer,MIL,27.7,SP
329,Josiah Gray,WSH,25.1,SP
330,Austin Wells,NYY,23.6,C
331,Dustin Harris,TEX,23.6,3B
332,Christian Encarnacion-Strand,CIN,23.2,1B 3B
333,Juan Yepez,STL,25,1B
334,Josh Naylor,CLE,25.6,1B OF
335,Scott Barlow,KC,30.2,RP
336,Harrison Bader,NYY,28.7,OF
337,Cristian Hernandez,CHC,19.2,SP
338,Luis Matos,SF,21,OF
339,Henry Davis,PIT,23.4,C
340,DL Hall,BAL,24.4,SP
341,Gavin Cross,KC,22,OF
342,Bo Naylor,CLE,23,C
343,Jared Walsh,LAA,29.5,1B OF
344,Jonathan Aranda,TB,24.7,2B
345,Jacob Berry,MIA,21.8,3B
346,Drey Jameson,AZ,25.5,SP
347,Nolan Gorman,STL,22.8,3B
348,Deyvison De Los Santos,AZ,19.6,3B
349,Jose Urquidy,HOU,27.8,SP
350,Luisangel Acuña,TEX,20.9,SS
351,Tanner Bibee,CLE,23.9,SP
352,Liam Hendriks,CHW,34,RP
353,Austin Meadows,DET,27.8,OF
354,Will Brennan,CLE,25,OF
355,Seth Brown,OAK,30.6,OF
356,Trent Grisham,SD,26.3,OF
357,Nathan Eovaldi,TEX,33,SP
358,Yasser Mercedes,MIN,18.2,OF
359,Kahlil Watson,MIA,19.8,SS
360,Anthony Gutierrez,TEX,18.2,OF
361,Isaac Paredes,TB,24,1B
362,Noah Syndergaard,LAD,30.5,SP
363,Ryan McMahon,COL,28.2,3B
364,Alexander Canario,CHC,22.8,OF
365,Emerson Hancock,SEA,23.7,SP
366,J.D. Martinez,LAD,35.5,UTL
367,Dalton Rushing,LAD,22,C
368,Joey Meneses,WAS,30.8,1B
369,Aaron Zavala,TEX,22.6,OF
370,Jesus Sanchez,MIA,25.3,OF
371,Everson Pereira,TEX,21.8,OF
372,Austin Martin,MIN,23.9,SS OF
373,Ian Anderson,ATL,24.8,SP
374,Miguel Bleis,BOS,18.9,OF
375,Lance Lynn,CHW,35.8,SP
376,Ronny Mauricio,NYM,21.9,SS
377,Anthony Rendon,LAA,32.7,3B
378,Shea Langeliers,ATL,25.2,C
379,Kyle Bradish,BAL,26.4,SP
380,Yiddi Cappe,MIA,20.4,SS
381,Aroldis Chapman,KC,35,RP
382,DJ LeMahieu,NYY,34.6,1B 2B 3B
383,Ha-seong Kim,SD,27.3,2B  SS
384,Kolten Wong,SEA,32.3,2B
385,Jon Berti,MIA,33.1,2B 3B OF
386,Alex Wood,SF,32.1,SP
387,Ken Waldichuk,OAK,25.1,SP RP
388,Cooper Hjerpe,STL,21.9,SP
389,Tanner Houck,BOS,27.6,SP
390,Patrick Wisdom,CHC,31.5,3B
391,Manuel Margot,TB,28.4,OF
392,Lane Thomas,WSH,27.5,OF
393,Trevor Larnach,MIN,26,OF
394,Oswaldo Cabrera,NYY,24,OF
395,Matt Manning,DET,25,SP
396,Cade Horton,CHC,21.5,SP
397,German Marquez,COL,28,SP
398,Peter Fairbanks,TB,29.2,RP
399,Nick Gordon,MIN,27.3,2B SS OF
400,Jarlin Susana,WAS,18.9,SP
