Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
29,4,Rhett Lowder,CIN,P,2023,Debuted,22.7,29,0,,*061bo*,
30,4,Quinn Mathews,STL,P,2023,2025,24.1,30,0,,*060gd*,
31,4,Thomas White,MIA,P,2023,2026,20.1,33,2,,*05tp6*,
32,4,Kumar Rocker,TEX,P,2022,Debuted,25,32,0,,*04azu*,
33,4,Travis Sykora,WSH,P,2023,2026,20.6,31,-2,,*05ycl*,Y
34,4,Jordan Lawlar,ARI,SS,2021,Debuted,22.4,25,-9,,*05r1m*,Y
35,4,Jesus Made,MIL,SS,2024,2028,17.5,88,53,,*06ibv*,
36,4,Christian Moore,LAA,2B,2024,2025,22.1,34,-2,,*06cq8*,
37,4,Jonny Farmelo,SEA,OF,2023,2026,20.2,35,-2,,*066sx*,
38,4,Josue De Paula,LAD,OF,2022,2026,19.5,36,-2,,*061zv*,
39,4,Eduardo Quintero,LAD,OF,2023,2027,19.2,83,44,,*06c79*,
40,4,Moises Ballesteros,CHC,C,2020,2025,21,38,-2,UP,*05rbs*,Y
41,4,Jacob Wilson,OAK,SS,2023,Debuted,22.6,57,16,,*0622t*,
42,4,Colson Montgomery,CHW,"3B,SS",2021,2025,22.7,52,10,,*05rch*,Y
43,4,Charlie Condon,COL,1B,2024,2025,21.6,40,-3,,*06alk*,Y
44,4,Jac Caglianone,KC,"1B,P",2024,2025,21.8,41,-3,,*05u9q*,Y
45,4,Braden Montgomery,BOS,OF,2024,2026,21.6,42,-3,,*05rcg*,Y
46,4,Brandon Sproat,NYM,P,2023,2025,24.2,43,-3,,*0515o*,
47,4,Cade Horton,CHC,P,2022,2025,23.2,63,16,,*05gww*,Y
48,4,Jett Williams,NYM,SS,2022,2025,21,46,-2,UP,*060la*,Y
49,5,Joendry Vargas,LAD,SS,2023,2027,19,37,-12,,*06625*,
50,5,Felnin Celesten,SEA,SS,2023,2027,19.2,59,9,,*05mx9*,
51,5,Luke Keaschall,MIN,2B,2023,2025,22.3,48,-3,,*05zh9*,Y
52,5,Drake Baldwin,ATL,C,2022,2025,23.6,84,32,,*0630d*,Y
53,5,Kyle Teel,BOS,C,2023,2025,22.8,50,-3,,*05wxy*,Y
54,5,Michael Arroyo,SEA,"2B,SS",2022,2026,20,51,-3,,*05yid*,
55,5,Emil Morales,LAD,SS,2024,2027,18.2,53,-2,,*06ibo*,
56,5,Lazaro Montes,SEA,"1B,OF",2022,2025,20.1,23,-33,UP,*05rfc*,
57,5,Robert Calaz,COL,OF,2023,2027,19,54,-3,,*066mo*,
58,5,Aidan Miller,PHI,SS,2023,2026,20.4,55,-3,,*05u36*,Y
59,5,Colby Thomas,OAK,OF,2022,2025,23.8,116,57,UP,*0630e*,
60,5,Cam Smith,CHC,3B,2024,2026,21.7,44,-16,,*060jo*,
61,5,Thayron Liranzo,DET,C,2021,2026,21.4,87,26,,*05r64*,Y
62,5,Konnor Griffin,PIT,3B,2024,2027,18.6,60,-2,,*05u3u*,
63,5,Bryce Rainer,DET,SS,2024,2027,19.4,61,-2,,*05yai*,
64,5,Angel Genao,CLE,SS,2021,2026,20.5,92,28,,*05r5e*,
65,5,Alejandro Rosario,TEX,P,2023,2025,22.9,62,-3,,*05jri*,Y
66,5,Chase Burns,CIN,P,2024,2025,21.8,64,-2,,*05rb3*,
67,5,Hagen Smith,CHW,P,2024,2025,21.2,65,-2,,*05zd4*,Y
68,5,Jeferson Quero,MIL,C,2019,2025,22.1,173,105,,*05gss*,Y
69,6,Tink Hence,STL,P,2020,2025,22.3,67,-2,,*05jpx*,Y
70,6,Xavier Isaac,TB,1B,2022,2025,20.9,39,-31,UP,*062pp*,Y
71,6,Ethan Salas,SD,C,2023,2026,18.5,70,-1,,*05ybr*,Y
72,6,Owen Caissie,CHC,OF,2020,2025,22.4,27,-45,UP,*05jsg*,Y
73,6,Thomas Harrington,PIT,P,2022,2025,23.4,72,-1,,*05zya*,Y
74,6,Agustin Ramirez,MIA,"C,1B",2019,2025,23.2,74,0,,*04z6m*,Y
75,6,Jaison Chourio,CLE,OF,2022,2027,19.5,75,0,,*05yix*,Y
76,6,Jacob Melton,HOU,OF,2022,2025,24.2,77,1,UP,*061gx*,Y
77,6,Drew Gilbert,NYM,OF,2022,2025,24.1,78,1,,*05xu0*,Y
78,6,Jarlin Susana,WSH,P,2022,2026,20.7,80,2,,*05y7n*,Y
79,6,Jacob Misiorowski,MIL,P,2022,2025,22.6,81,2,,*061yu*,Y
80,6,Caden Dana,LAA,P,2022,Debuted,20.9,82,2,,*063e5*,
81,6,Cooper Pratt,MIL,SS,2023,2026,20.2,76,-5,,*067xj*,Y
82,6,Josue Briceno,DET,C,2023,2026,20.1,199,117,,*0637j*,Y
83,6,Ralphy Velazquez,CLE,C,2023,2026,19.5,85,2,,*067yp*,Y
84,6,Eduardo Tait,PHI,C,2023,2027,18.2,86,2,,*06bsb*,Y
85,6,Demetrio Crisantes,ARI,SS,2022,2026,20.2,99,14,,*064o4*,
86,6,Cam Collier,CIN,3B,2022,2026,20,136,50,,*05u1y*,Y
87,6,Ryan Clifford,NYM,"1B,OF",2022,2025,21.3,69,-18,,*05ge1*,Y
88,6,Cole Young,SEA,"2B,SS",2022,2025,21.3,89,1,UP,*05y7x*,
89,6,Welbyn Francisca,CLE,SS,2023,2027,18.5,90,1,,*066mk*,
90,6,Aidan Smith,TB,OF,2023,2026,20.3,91,1,,*06dq9*,Y
91,6,Luke Adams,MIL,1B,2022,2025,20.6,93,2,,*06582*,Y
92,6,Kevin Alcantara,CHC,OF,2018,Debuted,22.4,94,2,,*04qow*,Y
93,6,Edgar Quero,CHW,C,2021,2025,21.6,95,2,,*05un2*,Y
94,6,Sal Stewart,CIN,3B,2022,2025,20.9,135,41,UP,*05u9o*,
95,7,Jonah Tong,NYM,P,2022,2026,21.4,142,47,,*0658b*,
96,7,Ronny Mauricio,NYM,2B,2017,Debuted,23.6,79,-17,DOWN,*04fyo*,Y
97,7,Brady House,WSH,3B,2021,2025,21.5,97,0,,*059bx*,Y
98,7,Jefferson Rojas,CHC,SS,2022,2026,19.6,98,0,,*061wh*,Y
99,7,AJ Smith-Shawver,ATL,P,2021,Debuted,22,161,62,,*05uy5*,Y
100,7,Hurston Waldrep,ATL,P,2023,Debuted,22.7,66,-34,,*0603p*,Y
101,7,Logan Evans,SEA,P,2023,2025,23.5,150,49,,*06hv8*,
102,7,Jace Jung,DET,3B,2022,Debuted,24,100,-2,UP,*05tzg*,Y
103,7,James Triantos,CHC,2B,2021,2025,21.8,101,-2,,*05ucf*,Y
104,7,Luis Baez,HOU,OF,2022,2026,20.8,102,-2,,*05j8w*,Y
105,7,Franklin Arias,BOS,SS,2023,2027,19,103,-2,,*06c78*,Y
106,7,Cole Carrigg,COL,OF,2023,2025,22.5,104,-2,,*066eo*,
107,7,Gary Gill Hill,TB,P,2022,2026,20.2,105,-2,,*064o6*,Y
108,7,Eric Bitonti,MIL,SS,2023,2026,19,140,32,,*05yed*,
109,7,Eduardo Beltre,MIN,OF,2024,2027,18.1,107,-2,,*06icc*,
110,7,Brayden Taylor,TB,"3B,SS",2023,2025,22.5,108,-2,,*05wy1*,Y
111,7,Carson Benge,NYM,P,2024,2026,21.8,109,-2,,*06aly*,
112,7,Slade Caldwell,ARI,OF,2024,2027,18.4,179,67,,*06agr*,
113,7,Justin Crawford,PHI,OF,2022,2026,20.8,197,84,,*05y30*,Y
114,7,Blake Mitchell,KC,C,2023,2026,20.3,111,-3,UP,*05y3q*,Y
115,7,Carter Jensen,KC,C,2021,2025,21.4,202,87,UP,*05vy5*,Y
116,7,Griffin Burkholder,PHI,OF,2024,2027,19.2,243,127,,*06mnj*,
117,7,Termarr Johnson,PIT,2B,2022,2026,20.4,129,12,UP,*05rc5*,Y
118,7,Yoeilin Cespedes,BOS,SS,2023,2027,19.2,113,-5,,*066mn*,Y
119,7,Tyler Locklear,SEA,1B,2022,Debuted,24,73,-46,UP,*05xu8*,Y
120,7,Adael Amador,COL,2B,2019,Debuted,21.6,115,-5,,*04ysv*,
121,7,Nick Yorke,PIT,2B,2020,Debuted,22.6,207,86,,*05js7*,Y
122,7,Denzel Clarke,OAK,OF,2021,2025,24.5,182,60,UP,*05unf*,Y
123,7,Jackson Ferris,LAD,P,2022,2026,20.8,130,7,,*05u6g*,
124,7,Tre' Morgan,TB,1B,2023,2025,22.3,147,23,,*05wrt*,Y
125,7,Braylon Payne,MIL,OF,2024,2027,18.3,180,55,,*06kkf*,
126,7,Luisangel Acuna,NYM,SS,2018,Debuted,22.7,121,-5,,*04z6k*,Y
127,7,Logan Henderson,MIL,P,2021,2025,22.7,120,-7,,*05uo2*,Y
128,7,Noble Meyer,MIA,P,2023,2026,19.8,123,-5,,*062yr*,
129,7,Jake Bloss,TOR,P,2023,Debuted,23.4,124,-5,,*06dqi*,Y
130,7,Zach Dezenzo,HOU,1B,2022,Debuted,24.5,125,-5,,*0641c*,Y
131,7,Arjun Nimmala,TOR,SS,2023,2026,19.1,126,-5,,*05y3p*,Y
132,7,C.J. Kayfus,CLE,1B,2023,2025,23.1,127,-5,,*06dn6*,
133,7,Juan Brito,WSH,C,2018,2025,23.1,128,-5,UP,*0156i*,Y
134,8,Robby Snelling,MIA,P,2022,2025,20.9,141,7,,*061mh*,
135,8,Joey Loperfido,TOR,OF,2021,Debuted,25.5,131,-4,,*05yfl*,Y
136,8,Starlyn Caba,PHI,SS,2023,2027,18.9,110,-26,,*066mx*,Y
137,8,Alejandro Osuna,TEX,OF,2020,2025,22.1,254,117,UP,*05r3s*,Y
138,8,Braxton Ashcraft,PIT,P,2018,2025,25.1,134,-4,,*04pmq*,Y
139,8,River Ryan,LAD,P,2021,Debuted,26.3,118,-21,,*05ynx*,
140,8,Deyvison De Los Santos,MIA,"1B,3B",2019,2025,21.4,122,-18,DOWN,*05nsq*,Y
141,8,Spencer Jones,TB,P,2022,2025,23.5,137,-4,,*041vr*,Y
142,8,Seaver King,WSH,2B,2024,2026,21.6,138,-4,,*06cq7*,Y
143,8,Trey Yesavage,TOR,P,2024,2025,21.3,139,-4,,*06apx*,
144,8,Yophery Rodriguez,MIL,OF,2023,2026,18.9,106,-38,,*066mq*,Y
145,8,Angel Martinez,CLE,OF,2018,Debuted,22.8,114,-31,,*04ydd*,
146,8,Jesus Baez,NYM,SS,2022,2026,19.7,192,46,,*061rf*,
147,8,George Klassen,LAA,P,2023,2025,22.8,143,-4,,*067xm*,
148,8,Jaden Hamm,DET,P,2023,2025,22.2,144,-4,,*06f0u*,
149,8,Jairo Iriarte,CHW,P,2018,Debuted,22.9,145,-4,,*060q2*,Y
150,8,Luis Merejo,ATL,P,2023,2027,18.4,146,-4,,*02no9*,
151,8,Thomas Saggese,STL,2B,2020,Debuted,22.6,171,20,DOWN,*05mru*,Y
152,8,Ryan Waldschmidt,ARI,OF,2024,2026,22.1,119,-33,,*06dlz*,
153,8,Chase Hampton,NYY,P,2022,2025,23.3,148,-5,,*05yh3*,Y
154,8,Santiago Suarez,TB,P,2022,2026,19.8,149,-5,,*0620x*,Y
155,8,Orelvis Martinez,TOR,2B,2018,Debuted,23,170,15,,*04mms*,Y
156,8,Ryan Sloan,SEA,P,2024,2027,18.8,151,-5,,*06ier*,
157,8,Luis Morales,OAK,P,2023,2026,22.1,152,-5,,*0662m*,
158,8,Moises Chace,PHI,P,2019,2026,21.4,228,70,,*060vu*,Y
159,8,Brice Matthews,HOU,SS,2023,2025,22.7,153,-6,,*06c36*,Y
160,8,Jhonny Severino,PIT,SS,2022,2027,20,154,-6,,*05yim*,Y
161,8,George Lombard Jr.,NYY,SS,2023,2026,19.5,155,-6,,*06b72*,Y
162,8,Jared Serna,MIA,2B,2019,2025,22.5,156,-6,UP,*062jx*,Y
163,8,Alex Freeland,LAD,SS,2022,2026,23.2,157,-6,,*05xu1*,
164,8,Yanquiel Fernandez,COL,OF,2019,2025,21.9,158,-6,DOWN,*05g3k*,
165,8,Chase Davis,STL,OF,2023,2025,23,159,-6,,*05jrf*,
166,8,Luis Perales,BOS,P,2019,2026,21.6,211,45,,*05gd5*,Y
167,8,Owen Murphy,ATL,P,2022,2026,21.1,205,38,,*062pm*,Y
168,8,Edwin Arroyo,CIN,SS,2021,2026,21.2,242,74,,*05rcj*,Y
169,8,Jurrangelo Cijntje,SEA,P,2024,2026,21.5,162,-7,,*060m8*,
170,8,Cam Caminiti,ATL,P,2024,2026,18.3,163,-7,,*062e0*,Y
171,8,Adam Mazur,MIA,P,2022,Debuted,23.6,164,-7,,*060gg*,
172,8,Miguel Bleis,BOS,OF,2021,2026,20.7,165,-7,,*05m1c*,Y
173,8,Kohl Drake,TEX,P,2022,2025,24.3,166,-7,,*066m0*,Y
174,8,Brody Hopkins,TB,P,2023,2026,22.8,167,-7,,*06f1b*,Y
175,8,Yordanny Monegro,BOS,P,2020,2026,22.1,241,66,,*06c28*,Y
176,8,Yeremi Cabrera,TEX,OF,2022,2027,19.4,168,-8,,*06c3v*,
177,8,Alfredo Duno,CIN,C,2023,2026,18.9,238,61,UP,*06626*,
178,8,Dillon Dingler,DET,C,2020,Debuted,26.2,169,-9,UP,*05gx4*,Y
179,8,Jackson Baumeister,TB,P,2023,2025,22.4,221,42,,*05u9j*,Y
180,9,Dylan Beavers,BAL,OF,2022,2025,23.3,117,-63,UP,*05xty*,Y
181,9,Tommy Troy,ARI,SS,2023,2026,22.8,224,43,,*05jse*,Y
182,9,K.C. Hunt,MIL,P,2022,2025,24.3,172,-10,,*066b3*,
183,9,Tyler Black,MIL,UT,2021,Debuted,24.3,96,-87,UP,*05u2u*,Y
184,9,Nolan McLean,NYM,"UT,P",2023,2025,23.3,420,236,,*05y7s*,
185,9,Justin Wrobleski,LAD,P,2021,Debuted,24.3,174,-11,,*05y9r*,
186,9,Cade Cavalli,WSH,P,2020,Debuted,26.3,175,-11,,*05gef*,
187,9,Jack Leiter,TEX,P,2021,Debuted,24.6,176,-11,,*04y9o*,Y
188,9,David Sandlin,BOS,P,2022,2025,23.7,177,-11,,*062pn*,Y
189,9,James Tibbs,SF,OF,2024,2025,22.1,178,-11,,*066ir*,
190,9,Gino Groover,ARI,3B,2023,2025,22.6,285,95,,*05yj5*,Y
191,9,Luis Pena,SEA,P,2024,2028,18,172,-19,,*01fhz*,
192,9,Jhostynxon Garcia,BOS,OF,2019,2026,21.9,181,-11,,*05j8u*,Y
193,9,Harry Ford,SEA,C,2021,2025,21.7,112,-81,UP,*05raw*,Y
194,9,Mac Horvath,TB,3B,2023,2025,22.8,183,-11,,*05yha*,Y
195,9,Tyson Lewis,CIN,SS,2024,2027,18.8,184,-11,,*06mnk*,
196,9,Wyatt Sanford,PIT,SS,2024,2027,19,185,-11,,*06mnl*,
197,9,Theo Gillen,TB,SS,2024,2027,19.2,186,-11,,*05u2m*,Y
198,9,Kellon Lindsey,LAD,OF,2024,2027,19.2,187,-11,,*06kxe*,
199,9,PJ Morlando,MIA,1B,2024,2027,19.5,188,-11,,*06328*,Y
200,9,Echedry Vargas,TEX,SS,2022,2027,19.7,133,-67,,*061v7*,
201,9,Yilber Diaz,ARI,P,2021,Debuted,24.2,219,18,,*06agh*,
202,9,Ty Johnson,TB,P,2023,2025,23.1,190,-12,,*06htl*,Y
203,9,Brailer Guerrero,TB,OF,2023,2027,18.4,191,-12,,*066mz*,Y
204,9,Hunter Barco,PIT,P,2022,2025,23.9,267,63,,*04nb5*,Y
205,9,Jeral Perez,CHW,SS,2022,2026,20,193,-12,,*061mj*,Y
206,9,Nacho Alvarez,ATL,2B,2022,Debuted,21.6,194,-12,,*064da*,Y
207,9,Justin Foscue,TEX,UT,2020,Debuted,25.7,196,-11,UP,*05gsg*,Y
208,9,Eiberson Castellano,PHI,P,2021,2025,23.5,288,80,,*06l49*,
209,9,Adrian Del Castillo,ARI,C,2021,Debuted,25.1,198,-11,,*05jn0*,
210,9,Jose Perdomo,HOU,P,2024,2027,18.2,335,125,,*025kl*,
211,9,Vance Honeycutt,BAL,OF,2024,2026,21.5,200,-11,,*062e5*,
212,9,Jonathon Long,CHC,1B,2023,2025,22.8,224,12,,*06fwm*,Y
213,9,Grant Taylor,CHW,P,2023,2026,22.5,215,2,,*066er*,Y
214,9,Emiliano Teodo,TEX,P,2020,2025,23.8,201,-13,,*05uo4*,Y
215,9,Yoniel Curet,TB,P,2019,2025,22,203,-12,,*05uec*,Y
216,9,Ricky Tiedemann,TOR,P,2021,2026,22.2,204,-12,,*05js6*,Y
217,9,J.R. Ritchie,ATL,P,2022,2026,21.4,206,-11,,*05tzo*,Y
218,9,Kendry Rojas,TOR,P,2020,2025,22,328,110,,*05rgq*,Y
219,9,Kash Mayfield,SD,P,2024,2027,19.8,208,-11,,*06lp4*,
220,9,Braylon Doughty,CLE,P,2024,2027,18.9,209,-11,,*06kk6*,
221,9,Levi Sterling,PIT,P,2024,2027,18.2,210,-11,,*06hf3*,
222,10,Roderick Arias,NYY,"2B,SS",2022,2026,20.2,212,-10,UP,*05gec*,Y
223,10,Jeremy Rodriguez,NYM,SS,2023,2027,18.4,213,-10,,*066o8*,
224,10,Chase Petty,CIN,P,2021,2025,21.6,214,-10,,*05raz*,
225,10,Brandon Birdsell,CHC,P,2022,2025,24.7,337,112,,*05jr4*,
226,10,Shay Whitcomb,HOU,3B,2020,Debuted,26.1,216,-10,,*05jqi*,Y
227,10,Alan Roden,TOR,1B,2022,2025,24.9,331,104,,*061yt*,
228,10,Drue Hackenberg,ATL,P,2023,2025,22.6,217,-11,,*062e9*,Y
229,10,Tai Peete,SEA,SS,2023,2026,19.3,218,-11,,*06c7i*,
230,10,Druw Jones,ARI,OF,2022,2026,21,236,6,,*05tdk*,
231,10,Carson Whisenhunt,SF,P,2022,2025,24.1,220,-11,,*05y7v*,Y
232,10,Brandon Winokur,MIN,"SS,OF",2023,2026,19.9,312,80,,*06dnc*,Y
233,10,Enrique Bradfield Jr.,BAL,OF,2023,2025,23,222,-11,,*05jre*,Y
234,10,Hao-Yu Lee,DET,2B,2021,2025,21.8,223,-11,UP,*05u2k*,Y
235,10,Mike Boeve,MIL,3B,2023,2025,22.5,247,12,,*06dnb*,
236,10,Tommy White,OAK,3B,2024,2025,21.7,225,-11,,*05tp7*,Y
237,10,Jean Cabrera,PHI,P,2021,2025,23.1,418,181,,*05ww7*,
238,10,Charles McAdoo,TOR,2B,2023,2025,22.7,227,-11,,*06f0z*,Y
239,10,Gabriel Rincones Jr.,PHI,OF,2022,2025,23.7,195,-44,UP,*0630f*,Y
240,10,Ramon Ramirez,LAA,OF,2023,2027,19.4,229,-11,,*0620u*,
241,10,George Wolkow,CHW,OF,2023,2026,18.8,230,-11,,*05u2o*,Y
242,10,Yassel Soler,ARI,3B,2023,2027,18.8,231,-11,,*06ciz*,
243,10,Cooper Ingle,CLE,C,2023,2025,22.7,350,107,,*06f0p*,Y
244,10,Rafael Flores,NYY,C,2022,2025,24,631,387,,*06f0k*,
245,10,Jhonny Level,SF,SS,2024,2028,17.6,355,110,,*06ich*,
246,10,Bryan Ramos,CHW,3B,2018,Debuted,22.7,232,-14,UP,*059bs*,Y
247,10,Parker Messick,CLE,P,2022,2025,24.1,233,-14,,*05tzn*,
248,10,Jedixson Paez,BOS,P,2021,2026,20.8,234,-14,,*05xzr*,Y
249,10,Eddie Rynders,(N/A),3B,2024,2027,19,NR,NA,,*06o0f*,
250,10,Brock Wilken,MIL,3B,2023,2025,22.4,58,-192,,*05ubi*,Y
251,10,Walker Janek,HOU,C,2024,2026,18.1,237,-14,,*06kkk*,Y
252,10,Carson DeMartini,PHI,3B,2024,2026,21.9,573,321,,*062ec*,
253,10,Winston Santos,TEX,P,2019,2025,22.6,391,138,,*061lj*,Y
254,10,Didier Fuentes,ATL,P,2022,2026,19.4,239,-15,,*064zm*,Y
255,10,Chayce McDermott,BAL,P,2021,Debuted,26.2,240,-15,,*05uws*,Y
256,10,Trevor Harrison,TB,P,2023,2027,19.3,264,8,,*06f1o*,Y
257,10,Pablo Guerrero,TEX,OF,2023,2026,18.3,313,56,,*068z1*,
258,10,Luis Cova,MIA,3B,2024,2028,17.8,623,365,,*06ibu*,
259,11,Colton Ledbetter,TB,OF,2023,2025,23,244,-15,,*0689z*,Y
260,11,Zac Veen,COL,OF,2020,2025,22.9,245,-15,,*05gbg*,Y
261,11,Ben Casparius,LAD,P,2021,Debuted,25.8,416,155,,*05y4k*,Y
262,11,Cooper Hjerpe,STL,P,2022,2025,23.7,246,-16,,*05yef*,Y
263,11,Brett Wichrowski,MIL,P,2023,2026,22.3,226,-37,,*06huh*,
264,11,Robert Gasser,MIL,P,2021,Debuted,25.5,248,-16,,*05u6r*,Y
265,11,Billy Amick,MIN,3B,2024,2026,22,249,-16,,*06cgg*,Y
266,11,Gabriel Gonzalez,MIN,OF,2021,2026,20.9,250,-16,,*05rcs*,Y
267,11,Owen Wild,TB,P,2023,2025,22.3,251,-16,,*06fqq*,Y
268,11,Sean Burke,CHW,P,2021,Debuted,24.9,531,263,,*05xod*,Y
269,11,Mason Adams,CHW,P,2022,2025,24.7,252,-17,,*06657*,Y
270,11,Andrew Morris,MIN,P,2022,2025,23.2,253,-17,,*0648r*,
271,11,Nestor German,BAL,P,2023,2026,22.7,874,603,,*06gjv*,
272,11,Andres Chaparro,WSH,UT,2015,Debuted,25.5,254,-18,,*0406n*,
273,11,Kale Fountain,SD,3B,2024,2027,19.3,255,-18,,*06kka*,
274,11,Luke Dickerson,WSH,SS,2024,2027,19.3,256,-18,,*06mne*,
275,11,JD Dix,ARI,SS,2024,2027,19.1,257,-18,,*066j0*,
276,11,Carter Johnson,MIA,SS,2024,2027,18.7,258,-18,,*06icz*,
277,11,Jonathan Santucci,NYM,P,2024,2026,21.9,259,-18,,*060ue*,
278,11,Ricardo Cabrera,CIN,3B,2022,2026,20,260,-18,,*05rjo*,
279,11,Mitch Bratt,TEX,P,2021,2025,21.4,261,-18,,*05xq2*,Y
280,11,Samuel Aldegheri,LAA,P,2019,Debuted,23.2,262,-18,,*06aw2*,
281,11,Alex Clemmey,WSH,P,2023,2026,19.3,263,-18,,*06bfu*,Y
282,11,Dylan Lesko,TB,P,2022,2026,21.2,265,-17,,*05tdl*,
283,11,Javier Sanoja,MIA,"OF,UT",2021,Debuted,22.2,235,-48,,*062ho*,
284,11,Will Simpson,OAK,"1B,OF",2023,2025,23.2,474,190,,*051e0*,
285,11,Will Wagner,TOR,2B,2021,Debuted,26.3,266,-19,UP,*05yhg*,Y
286,11,Michael Kennedy,PIT,P,2022,2026,20,408,122,,*0647m*,Y
287,11,Joe Whitman,SF,P,2023,2025,23.2,268,-19,,*06c1l*,
288,11,Caleb Bonemer,CHW,SS,2024,2027,19.1,269,-19,,*06hea*,
289,11,Mikey Romero,BOS,SS,2022,2026,20.8,270,-19,,*05y7y*,Y
290,11,Yolfran Castillo,TEX,SS,2024,2028,17.8,271,-19,,*06icj*,
291,11,Doug Nikhazy,CLE,P,2021,2025,25.3,272,-19,,*05taw*,
292,11,Will Warren,NYY,P,2021,Debuted,25.4,273,-19,,*05yaz*,Y
293,11,Blade Tidwell,NYM,P,2022,2025,23.4,274,-19,,*05u2q*,
294,11,Edgardo Henriquez,LAD,P,2019,Debuted,22.4,275,-19,,*05w7z*,
295,11,Brandyn Garcia,SEA,P,2023,2025,24.5,405,110,,*06guh*,
296,11,Jose Corniell,TEX,P,2019,2026,21.4,668,372,,*05gx5*,
297,11,Cooper Kinney,TB,2B,2021,2026,21,276,-21,,*05ua8*,Y
298,11,Hyun-Seok Jang,LAD,P,2023,2026,20.7,277,-21,,*06f8f*,
299,11,Noah Cameron,KC,P,2021,2025,25.3,278,-21,,*05ycf*,Y
300,11,Braylin Morel,TEX,OF,2023,2027,18.8,279,-21,,*06dq5*,Y
301,11,Ben Williamson,SEA,3B,2023,2025,24,280,-21,,*06dqd*,
302,11,Sammy Stafura,CIN,SS,2023,2026,20,281,-21,,*06c1m*,
303,11,Malcolm Moore,TEX,C,2024,2026,21.3,282,-21,,*05y7u*,
304,11,Axiel Plaz,PIT,C,2022,2027,19.3,283,-21,,*0622o*,Y
305,11,Paulino Santana,TEX,OF,2024,2027,18,308,3,,*06ho7*,
306,11,Johnathan Rodriguez,CLE,OF,2016,Debuted,25,284,-22,,*04gdw*,
307,11,Max Acosta,TEX,SS,2019,2025,22.1,653,346,,*0568a*,Y
308,11,Kyle Karros,COL,3B,2023,2025,22.3,286,-22,,*06dsa*,
309,11,Lucas Braun,ATL,P,2023,2025,23.2,336,27,,*06f18*,Y
310,11,Fernando Perez,NYM,OF,2022,2026,20.8,287,-23,,*013u3*,
311,11,Sean Sullivan,PIT,P,2023,2025,22.3,329,18,,*05y41*,
312,11,Matt Wilkinson,CLE,P,2023,2026,21.9,330,18,,*06dmr*,
313,11,Brendan Tunink,LAD,OF,2024,2027,19.1,444,131,,*06q33*,
314,11,Dylan Dreiling,TEX,OF,2024,2026,21.6,289,-25,,*06kk8*,
315,11,Cole Mathis,CHC,1B,2024,2026,21.3,290,-25,,*06j3h*,
