Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID
49,6,Noah Schultz,CHW,P,2022,2026,20.7,79,30,,*05uc7*
50,6,Jacob Misiorowski,MIL,P,2022,2024,22.1,46,-4,,*061yu*
51,6,Orelvis Martinez,TOR,SS,2018,2024,22.5,85,34,,*04mms*
52,6,Brock Wilken,MIL,3B,2023,2025,21.9,56,4,,*05ubi*
53,6,Joey Ortiz,MIL,2B,2019,Debuted,25.8,57,4,,*0513c*
54,6,Harry Ford,SEA,C,2021,2024,21.2,58,4,UP,*05raw*
55,6,Arjun Nimmala,TOR,SS,2023,2026,18.5,86,31,,*05y3p*
56,6,Joendry Vargas,LAD,SS,2023,2027,18.5,61,5,,*06625*
57,6,Max Meyer,MIA,P,2020,Debuted,25.2,132,75,,*05a2d*
58,6,Hurston Waldrep,ATL,P,2023,2024,22.2,47,-11,,*0603p*
59,6,Abimelec Ortiz,TEX,1B,2021,2025,22.2,103,44,,*05uv5*
60,6,Brady House,WSH,SS,2021,2025,20.9,65,5,,*059bx*
61,6,Kyle Teel,BOS,C,2023,2025,22.2,66,5,,*05wxy*
62,6,Joey Loperfido,HOU,OF,2021,2024,25,82,20,,*05yfl*
63,6,Jordan Beck,COL,OF,2022,2024,23,109,46,UP,*051b4*
64,7,Roderick Arias,NYY,SS,2022,2027,19.6,60,-4,UP,*05gec*
65,7,Luis Lara,MIL,OF,2022,2026,19.5,69,4,,*060yn*
66,7,Aidan Miller,PHI,3B,2023,2026,19.9,107,41,,*05u36*
67,7,Rhett Lowder,CIN,P,2023,2024,22.2,71,4,,*061bo*
68,7,Drew Thorpe,CHW,P,2022,2025,23.6,72,4,,*05yb1*
69,7,Jefferson Rojas,CHC,SS,2022,2026,19,123,54,,*061wh*
70,7,Drew Gilbert,NYM,OF,2022,2024,23.6,62,-8,,*05xu0*
71,7,Jacob Melton,HOU,OF,2022,2025,23.7,54,-17,UP,*061gx*
72,7,Tink Hence,STL,P,2020,2025,21.7,74,2,,*05jpx*
73,7,Bubba Chandler,PIT,P,2021,2025,21.6,76,3,,*05rik*
74,7,Jack Leiter,TEX,P,2021,Debuted,24,135,61,,*04y9o*
75,7,Dylan Lesko,SD,P,2022,2026,20.7,78,3,,*05tdl*
76,7,Termarr Johnson,PIT,2B,2022,2026,19.9,38,-38,UP,*05rc5*
77,7,Graham Pauley,SD,3B,2022,Debuted,23.6,94,17,,*066lr*
78,7,Thomas Saggese,STL,SS,2020,2025,22.1,88,10,DOWN,*05mru*
79,8,Santiago Suarez,TB,P,2022,2026,19.3,129,50,,*0620x*
80,8,AJ Smith-Shawver,ATL,P,2021,Debuted,21.5,45,-35,,*05uy5*
81,8,Kevin Alcantara,CHC,OF,2018,2024,21.8,83,2,,*04qow*
82,8,Victor Scott,STL,OF,2022,Debuted,,76,-6,,*0648z*
83,8,Tyler Locklear,SEA,"1B,3B",2022,2025,23.4,95,12,UP,*05xu8*
84,8,Miguel Bleis,BOS,OF,2021,2025,20.2,80,-4,,*05m1c*
85,8,Jairo Iriarte,CHW,P,2018,2025,22.4,102,17,,*060q2*
86,8,Noble Meyer,MIA,P,2023,2026,19.3,75,-11,,*062yr*
87,8,Chase Petty,CIN,P,2021,2026,21.1,77,-10,,*05raz*
88,8,Adam Mazur,SD,P,2022,2025,23,280,192,,*060gg*
89,8,Connor Norby,BAL,2B,2021,2024,23.9,119,30,,*05tce*
90,8,Tyler Black,MIL,2B,2021,2024,23.8,104,14,UP,*05u2u*
91,9,Caden Dana,LAA,P,2022,2026,20.4,124,33,,*063e5*
92,9,Tekoah Roby,STL,P,2020,2025,22.6,89,-3,,*05jqh*
93,9,Will Warren,NYY,P,2021,2024,24.9,90,-3,,*05yaz*
94,9,Owen Murphy,ATL,P,2022,2026,20.6,272,178,,*062pm*
95,9,Felnin Celesten,SEA,SS,2023,2027,18.6,91,-4,,*05mx9*
96,9,Ronny Mauricio,NYM,2B,2017,Debuted,23.1,92,-4,DOWN,*04fyo*
97,9,Yoeilin Cespedes,BOS,SS,2023,2027,18.7,93,-4,,*066mn*
98,9,Ralphy Velazquez,CLE,C,2023,2026,18.9,212,114,,*067yp*
99,9,Yophery Rodriguez,MIL,OF,2023,2026,18.4,188,89,,*066mq*
100,9,Dylan Beavers,BAL,OF,2022,2025,22.7,108,8,UP,*05xty*
101,9,Luisangel Acuna,NYM,SS,2018,2024,22.1,87,-14,,*04z6k*
102,9,Josue De Paula,LAD,OF,2022,2026,18.9,97,-5,,*061zv*
103,9,Edgar Quero,CHW,C,2021,2025,21.1,155,52,,*05un2*
104,9,Agustin Ramirez,NYY,C,2019,2024,22.6,160,56,,*04z6m*
105,9,Dalton Rushing,LAD,C,2022,2025,23.2,98,-7,UP,*05xtz*
106,10,Thomas White,MIA,P,2023,2026,19.6,135,29,,*05tp6*
107,10,Gavin Stone,LAD,P,2020,Debuted,25.6,99,-8,,*05mrx*
108,10,Brock Porter,TEX,P,2022,2026,20.9,100,-8,,*05u6h*
109,10,David Festa,MIN,P,2021,2024,24.2,101,-8,,*05yav*
110,10,Cam Collier,CIN,3B,2022,2026,19.5,147,37,,*05u1y*
111,10,Chase Hampton,NYY,P,2022,2025,22.7,73,-38,,*05yh3*
112,10,Jace Jung,DET,2B,2022,2025,23.5,152,40,UP,*05tzg*
113,10,Ricardo Cabrera,CIN,SS,2022,2026,19.5,148,35,,*05rjo*
114,10,Addison Barger,TOR,SS,2018,2024,24.5,174,60,,*04qii*
115,10,Cade Cavalli,WSH,P,2020,Debuted,25.7,106,-9,,*05gef*
116,10,Cade Povich,BAL,P,2021,2024,24.1,133,17,,*05xop*
117,10,Jonny Farmelo,SEA,SS,2023,2026,19.6,226,109,,*066sx*
118,10,Brayden Taylor,TB,3B,2023,2025,22,156,38,,*05wy1*
119,10,Jaison Chourio,CLE,OF,2022,2027,19,247,128,,*05yix*
120,10,Zach Dezenzo,HOU,3B,2022,2025,24,96,-24,,*0641c*
121,10,Zyhir Hope,LAD,OF,2023,2026,19.3,442,321,,*06eyu*
122,10,Carson Whisenhunt,SF,P,2022,2024,23.5,191,69,,*05y7v*
123,10,Robert Gasser,MIL,P,2021,2024,24.9,120,-3,,*05u6r*
124,10,Henry Lalane,NYY,P,2021,2026,20,127,3,,*05ym5*
125,10,Ty Madden,DET,P,2021,2024,24.2,123,-2,,*05oqe*
126,10,Josue Briceno,DET,C,2023,2026,19.6,303,177,,*0637j*
127,10,Anthony Solometo,PIT,P,2021,2025,21.4,228,101,,*05t7a*
128,11,Juan Brito,CLE,"2B,SS",2018,2024,22.6,110,-18,UP,*05yhe*
129,11,Justin Foscue,TEX,"2B,OF",2020,Debuted,25.2,111,-18,UP,*05gsg*
130,11,Bryan Ramos,CHW,3B,2018,2024,22.1,81,-49,UP,*059bs*
131,11,Everson Pereira,NYY,OF,2017,Debuted,23.1,118,-13,,*04is5*
132,11,Jeferson Quero,MIL,C,2019,2024,21.6,114,-18,,*05gss*
133,11,Austin Wells,NYY,C,2020,Debuted,24.8,115,-18,UP,*05ahg*
134,11,Sal Stewart,CIN,3B,2022,2026,20.4,213,79,UP,*05u9o*
135,11,Ryan Clifford,NYM,"1B,OF",2022,2026,20.8,117,-18,,*05ge1*
136,11,Mick Abel,PHI,P,2020,2024,22.7,121,-15,,*05g4k*
137,11,George Lombard Jr.,NYY,SS,2023,2026,18.9,177,40,,*06b72*
138,11,Gabriel Gonzalez,MIN,OF,2021,2025,20.3,116,-22,,*05rcs*
139,11,Zac Veen,COL,OF,2020,2024,22.4,162,23,,*05gbg*
140,11,River Ryan,LAD,P,2021,2024,25.7,125,-15,,*05ynx*
141,11,Thayron Liranzo,LAD,C,2021,2026,20.8,152,11,,*05r64*
142,11,Marco Raya,MIN,P,2020,2024,21.7,168,26,,*05mrp*
143,11,Thomas Harrington,PIT,P,2022,2024,22.8,242,99,,*05zya*
144,11,Chayce McDermott,BAL,P,2021,2024,25.7,128,-16,,*05uws*
145,11,Nick Nastrini,CHW,P,2021,Debuted,24.2,130,-15,,*05wbp*
146,11,Cole Carrigg,COL,OF,2023,2026,22,263,117,,*066eo*
147,11,Jonatan Clase,SEA,OF,2018,Debuted,22,193,46,,*057zc*
148,11,Chase Dollander,COL,P,2023,2024,22.5,214,66,,*05yj0*
149,11,George Klassen,PHI,P,2023,2026,22.3,548,399,,*067xm*
150,11,Mason Black,SF,P,2021,2024,24.4,219,69,,*05r3g*
151,11,Samuel Zavala,CHW,OF,2021,2026,19.8,145,-6,UP,*05rdr*
152,11,Eduardo Quintero,LAD,OF,2023,2027,18.6,136,-16,,*06c79*
153,11,Justin Wrobleski,LAD,P,2021,2025,23.8,274,121,,*05y9r*
154,11,Hector Rodriguez,CIN,OF,2021,2026,20.1,153,-1,,*05xse*
155,11,Luis Baez,HOU,OF,2022,2026,20.3,139,-16,,*060fy*
156,11,Cooper Pratt,MIL,SS,2023,2026,19.7,169,13,,*067xj*
157,12,Echedry Vargas,TEX,3B,2022,2027,19.2,140,-17,,*061v7*
158,12,Walker Martin,SF,SS,2023,2026,20.2,149,-9,,*066t4*
159,12,Moises Ballesteros,CHC,C,2020,2026,20.5,225,66,UP,*05rbs*
160,12,Marco Luciano,SF,SS,2018,Debuted,22.6,164,4,UP,*04ooy*
161,12,Colby Thomas,OAK,OF,2022,2025,23.3,333,172,UP,*0630e*
162,12,Enrique Bradfield Jr.,BAL,OF,2023,2024,22.4,146,-16,,*05jre*
163,12,Yanquiel Fernandez,COL,OF,2019,2026,21.3,151,-12,DOWN,*05g3k*
164,12,James Triantos,CHC,"3B,SS",2021,2026,21.3,157,-7,,*05ucf*
165,12,Aidan Smith,SEA,OF,2023,2026,19.8,270,105,,*06dq9*
166,12,Ramon Ramirez,LAA,OF,2023,2027,18.9,154,-12,,*0620u*
167,12,Cooper Hjerpe,STL,P,2022,2024,23.1,233,66,,*05yef*
168,12,Nelson Rada,LAA,OF,2022,2027,18.7,176,8,,*05yib*
169,12,Justin Crawford,PHI,OF,2022,2026,20.3,202,33,,*05y30*
170,12,Justyn-Henry Malloy,DET,3B,2021,2024,24.2,163,-7,UP,*05uy1*
171,12,Welbyn Francisca,CLE,SS,2023,2028,18,167,-4,,*066mk*
172,12,Dillon Head,SD,OF,2023,2026,19.6,183,11,,*066nq*
173,12,Chase Davis,STL,OF,2023,2025,22.4,160,-13,,*05jrf*
174,12,Blade Tidwell,NYM,P,2022,2024,22.9,217,43,,*05u2q*
175,13,Kevin McGonigle,DET,SS,2023,2026,19.7,185,10,,*05yby*
176,13,Emil Morales,LAD,SS,2024,2027,17.6,170,-6,,*06ibo*
177,13,Ryan Bliss,SEA,SS,2021,2025,24.4,179,2,,*05tc7*
178,13,Tai Peete,SEA,SS,2023,2026,18.7,252,74,,*06c7i*
179,13,Edwin Arroyo,CIN,SS,2021,2025,20.7,173,-6,,*05rcj*
180,13,Dustin Harris,TEX,OF,2019,2024,24.8,284,104,UP,*0518r*
181,13,Max Muncy,OAK,SS,2021,2026,21.7,463,282,,*05t9l*
182,13,Sterlin Thompson,COL,"3B,OF",2022,2024,22.9,166,-16,,*05jsc*
183,13,Connor Phillips,CIN,P,2020,Debuted,23,134,-49,,*05jpe*
184,13,Colin Houck,NYM,SS,2023,2026,19.6,178,-6,,*066nf*
185,13,Johnathan Rodriguez,CLE,OF,2016,2024,24.5,349,164,,*04gdw*
186,13,Luke Adams,MIL,3B,2022,2025,20,180,-6,,*06582*
187,13,Jaden Hamm,DET,P,2023,2025,21.7,221,34,,*06f0u*
188,13,Jansel Luis,ARI,2B,2022,2027,19.2,182,-6,,*061zn*
189,13,Brandon Winokur,MIN,"SS,OF",2023,2026,19.4,224,35,,*06dnc*
190,13,Mac Horvath,BAL,3B,2023,2024,22.3,184,-6,,*05yha*
191,13,Rayner Arias,SF,OF,2023,2026,18,186,-5,,*066mw*
192,13,Robert Calaz,COL,OF,2023,2027,18.4,187,-5,,*066mo*
193,13,Nathan Martorella,SD,1B,2022,2025,23.2,161,-32,UP,*0648v*
194,13,Ben Rice,NYY,C,2021,2024,25.2,199,5,,*05yo5*
195,14,Fernando Cruz,CHC,SS,2024,2027,17.5,190,-5,,*05yck*
196,14,Charlee Soto,MIN,P,2023,2026,18.7,299,103,,*05zq5*
197,14,Alexander Canario,CHC,UT,2016,Debuted,24,192,-5,,*04hi6*
198,14,Victor Mesa Jr.,MIA,OF,2018,2024,22.7,376,178,,*04y79*
199,14,Denzel Clarke,OAK,OF,2021,2024,24,138,-61,UP,*05unf*
200,14,Blake Dunn,CIN,OF,2021,2024,25.7,171,-29,,*05jr5*
201,14,Troy Melton,DET,P,2022,2025,23.4,236,35,,*05uc4*
202,14,Jackson Ferris,LAD,P,2022,2026,20.3,200,-2,,*05u6g*
203,14,Landen Maroudis,TOR,P,2023,2027,19.4,348,145,,*06dq2*
204,14,Hayden Birdsong,SF,P,2022,2025,22.7,241,37,,*06650*
205,14,Luke Keaschall,MIN,2B,2023,2025,21.7,296,91,,*05zh9*
206,14,Kendall George,LAD,OF,2023,2026,19.5,203,-3,,*06cql*
207,14,Josh Knoth,MIL,P,2023,2026,18.7,204,-3,,*069zn*
208,14,Logan Henderson,MIL,P,2021,2025,22.2,205,-3,,*05uo2*
209,14,Julian Aguiar,CIN,P,2021,2025,22.9,206,-3,,*05yg3*
210,14,Wikelman Gonzalez,BOS,P,2018,2025,22.1,198,-12,,*052ht*
211,14,Ben Brown,CHC,P,2017,Debuted,24.7,278,67,,*04o2w*
212,14,Payton Martin,LAD,P,2022,2025,20,208,-4,,*066dq*
213,14,Colton Ledbetter,TB,OF,2023,2025,22.5,258,45,,*0689z*
214,14,Hunter Goodman,COL,"OF,UT",2021,Debuted,24.6,209,-5,,*05u2v*
215,14,Luis Morales,OAK,P,2023,2026,21.6,210,-5,,*0662m*
216,14,Cristofer Torin,ARI,2B,2022,2026,18.9,322,106,,*063dm*
217,14,Jonny Deluca,TB,OF,2019,Debuted,25.8,158,-59,,*04y94*
218,14,Alex Ramirez,NYM,OF,2019,2025,21.3,268,50,DOWN,*0526a*
219,15,Jakob Marsee,SD,OF,2022,2025,22.9,215,-4,,*065ji*
220,15,Gabriel Rincones Jr.,PHI,OF,2022,2026,23.2,216,-4,UP,*0630f*
221,15,Ignacio Alvarez,ATL,3B,2022,2026,21.1,218,-3,,*064da*
222,15,Angel Genao,CLE,SS,2021,2027,20,406,184,,*05r5e*
223,15,Kyle Hurt,LAD,P,2020,Debuted,25.9,222,-1,,*05jq7*
224,15,Alfredo Duno,CIN,C,2023,2028,18.3,223,-1,,*06626*
225,15,Diego Velasquez,SF,SS,2021,2026,20.6,339,114,,*05r5f*
226,15,Ben Williamson,SEA,3B,2023,2025,23.5,353,127,,*06dqd*
227,15,Nick Frasso,LAD,P,2020,2024,25.5,172,-55,,*05jpo*
228,15,Carlos Jorge,CIN,SS,2021,2026,20.6,189,-39,UP,*05rf5*
229,15,Paulino Santana,TEX,OF,2024,2027,17.5,245,16,,*06ho7*
230,15,Jose Corniell,TEX,P,2019,2025,20.9,227,-3,,*05gx5*
231,15,Blake Wolters,KC,P,2023,2026,19.5,211,-20,,*06c1k*
232,15,Jhancarlos Lara,ATL,P,2021,2026,21.3,229,-3,,*06cev*
233,15,Alex Clemmey,CLE,P,2023,2026,18.8,230,-3,,*06bfu*
234,15,Mike Boeve,MIL,3B,2023,2025,22,343,109,,*06dnb*
235,15,Victor Bericoto,SF,OF,2018,2024,22.4,232,-3,,*051wu*
236,15,Winston Santos,TEX,P,2019,2025,22.1,895,659,,*061lj*
237,15,Dominic Hamel,NYM,P,2021,2024,25.2,234,-3,,*05udy*
238,15,Michael Arroyo,SEA,SS,2022,2027,19.5,265,27,,*05yid*
239,15,Blake Mitchell,KC,C,2023,2026,19.8,323,84,,*05y3q*
240,15,Keiner Delgado,NYY,SS,2020,2027,20.3,239,-1,,*061z7*
241,15,Jeral Perez,LAD,SS,2022,2027,19.5,363,122,,*061mj*
242,15,Yoniel Curet,TB,P,2019,2025,21.5,251,9,,*05uec*
243,15,Yordanny Monegro,BOS,P,2020,2025,21.5,197,-46,,*06c28*
244,15,J.R. Ritchie,ATL,P,2022,2026,20.9,243,-1,,*05tzo*
245,15,Andy Perez,COL,SS,2021,2026,19.9,470,225,,*06aw7*
246,15,Brice Matthews,HOU,SS,2023,2024,22.1,246,0,,*06c36*
247,15,Grant Taylor,CHW,P,2023,2026,22,362,115,,*066er*
248,15,Dyan Jorge,COL,SS,2022,2026,21.1,248,0,,*05r9e*
249,15,Frederick Bencosme,BAL,SS,2020,2025,21.4,541,292,UP,*05ykx*
250,15,Enmanuel Tejeda,NYY,SS,2022,2027,19.4,250,0,,*0638j*
251,15,Adrian Del Castillo,ARI,C,2021,2024,24.6,615,364,,*05jn0*
252,15,Nick Yorke,BOS,2B,2020,2024,22.1,238,-14,,*05js7*
253,15,David Sandlin,BOS,P,2022,2024,23.2,253,0,,*062pn*
254,15,Jesus Baez,NYM,SS,2022,2026,19.2,509,255,,*061rf*
255,15,Victor Hurtado,WSH,OF,2024,2027,16.9,254,-1,,*06i06*
256,15,Waner Luciano,HOU,3B,2022,2026,19.3,255,-1,,*061zq*
257,15,Jack Hurley,ARI,OF,2023,2025,22.1,256,-1,,*060u1*
258,15,Myles Naylor,OAK,3B,2023,2026,19.1,257,-1,,*06cqm*
259,15,Royber Salinas,OAK,P,2018,2024,23.1,359,100,,*05wy3*
260,15,Ty Floyd,CIN,P,2023,2025,22.7,194,-66,,*05u2l*
261,15,Keider Montero,DET,P,2016,2024,23.8,259,-2,,*05a1v*
262,15,Jacob Wilson,OAK,SS,2023,2025,22.1,345,83,,*0622t*
263,15,Richard Fitts,BOS,P,2021,2025,24.4,269,6,,*05rav*
264,15,Mitchell Parker,WSH,P,2020,Debuted,24.6,474,210,,*05jqy*
265,15,Hyun-Seok Jang,LAD,P,2023,2026,20.1,261,-4,,*06f8f*
266,15,Emiliano Teodo,TEX,P,2020,2025,23.2,262,-4,,*05uo4*
267,16,Byron Chourio,MIN,OF,2022,2026,19,573,306,,*063dn*
268,16,Drew Romo,COL,C,2020,2024,22.7,264,-4,,*05gwr*
269,16,Blaze Jordan,BOS,1B,2020,2024,21.4,201,-68,UP,*04nq4*
270,16,Druw Jones,ARI,OF,2022,2025,20.4,112,-158,,*05tdk*
271,16,Trey Sweeney,LAD,SS,2021,2024,24,181,-90,,*05tuw*
272,16,Sawyer Gipson-Long,DET,P,2019,Debuted,26.4,195,-77,,*0514z*
273,16,Yohandy Morales,WSH,SS,2023,2025,22.6,244,-29,,*05js4*
274,16,Marco Vargas,NYM,2B,2022,2027,19,249,-25,,*06249*
275,16,Juan Baez,MIL,SS,2022,2026,18.9,441,166,,*06c2b*
276,16,Blaze Alexander,ARI,SS,2018,Debuted,24.9,421,145,,*04pvs*
277,16,Matt Mervis,CHC,1B,2020,Debuted,26.1,289,12,,*05ojj*
278,16,Austin Shenton,TB,3B,2019,Debuted,26.3,266,-12,,*04y98*
279,16,Bradley Blalock,MIL,P,2019,2025,23.4,267,-12,,*0579z*
280,16,Diego Cartaya,LAD,C,2018,2024,22.7,207,-73,UP,*04p0h*
281,16,Jhonkensy Noel,CLE,3B,2017,2024,22.8,312,31,DOWN,*04yrs*
282,16,Wilmer Flores,DET,P,2020,2024,23.2,270,-12,,*05ww2*
283,16,Spencer Arrighetti,HOU,P,2021,Debuted,22.3,371,88,,*05y0j*
284,16,Braxton Ashcraft,PIT,P,2018,2024,24.6,475,191,,*04pmq*
285,16,Yu-Min Lin,ARI,P,2021,2025,20.8,273,-12,,*061wi*
286,16,Patrick Reilly,PIT,P,2023,2025,22.6,611,325,,*05jpm*
287,16,Orion Kerkering,PHI,P,2022,Debuted,23.1,275,-12,,*06491*
288,16,Landen Roupp,SF,P,2021,Debuted,25.7,276,-12,,*05y72*
289,16,Cristian Mena,ARI,P,2019,2025,21.4,277,-12,,*05ita*
290,16,Brett Wichrowski,MIL,P,2023,2026,21.7,NR,#VALUE!,,*06huh*
291,16,Aidan Curry,TEX,P,2020,2025,21.8,279,-12,,*06b49*
292,16,Mike Vasil,NYM,P,2021,2024,24.1,235,-57,,*04ok0*
293,16,Luis Perales,BOS,P,2019,2025,21.1,196,-97,,*05gd5*
294,16,Adam Serwinowski,CIN,P,2022,2026,19.9,528,234,,*066az*
295,16,DJ Herz,WSH,P,2019,2024,23.3,281,-14,,*0516h*
296,16,Jose Fleury,HOU,P,2021,2025,22.2,282,-14,,*066qg*
297,16,Damiano Palmegiani,TOR,3B,2021,2024,24.3,283,-14,UP,*05wbq*
298,16,Jackson Baumeister,BAL,P,2023,2025,21.8,454,156,,*05u9j*
299,16,Deyvison De Los Santos,CLE,3B,2019,2025,20.9,315,16,DOWN,*05nsq*
300,16,Landon Knack,LAD,P,2020,Debuted,26.8,304,4,,*05l9f*
301,16,Gino Groover,ARI,SS,2023,2025,22.1,286,-15,,*05yj5*
302,16,John Cruz,MIA,OF,2022,2027,18.7,287,-15,,*06200*
303,16,Michael Kennedy,PIT,P,2022,2026,19.4,301,-2,,*0647m*
304,16,Darell Hernaiz,OAK,SS,2019,Debuted,22.8,288,-16,,*05145*
305,16,Hunter Barco,PIT,"1B,P",2022,2025,23.4,298,-7,,*04nb5*
306,16,A.J. Vukovich,ARI,3B,2020,2024,22.8,331,25,,*05jql*
307,16,Derek Bernard,COL,SS,2022,2027,18.7,291,-16,,*0633e*
308,16,Justice Bigbie,DET,3B,2021,2025,25.3,292,-16,,*05ylo*
309,16,George Wolkow,CHW,3B,2023,2026,18.3,293,-16,,*05u2o*
310,16,Yandel Ricardo,KC,SS,2024,2028,17.6,294,-16,,*06ibq*
311,16,Jared Serna,NYY,2B,2019,2025,21.9,338,27,UP,*062jx*
312,16,Owen White,TEX,P,2018,Debuted,24.7,296,-16,,*04pms*
313,16,Mason Barnett,KC,P,2022,2025,23.5,297,-16,,*0630h*
314,16,A.J. Blubaugh,HOU,P,2022,2024,23.8,NR,#VALUE!,,*0649e*
315,16,Daniel Espino,CLE,P,2019,2024,23.3,122,-193,,*04ya2*
316,16,Barrett Kent,LAA,P,2023,2026,19.6,300,-16,,*067xl*
317,16,Jarlin Susana,WSH,P,2022,2026,20.1,355,38,,*05y7n*
318,16,Mason Montgomery,TB,P,2021,2024,23.9,302,-16,,*05y2k*
319,16,George Valera,CLE,OF,2017,2024,23.5,303,-16,UP,*04fqi*
320,16,Kumar Rocker,TEX,P,2022,2024,24.5,320,0,,*04azu*
321,16,Steven Echavarria,OAK,P,2023,2027,18.7,347,26,,*06cqx*
322,16,Michael Forret,BAL,P,2023,2026,20.1,NR,#VALUE!,,*06hwt*
323,16,Quinn Mathews,STL,P,2023,2025,23.6,654,331,,*060gd*
324,16,Kevin Parada,NYM,C,2022,2025,22.8,308,-16,UP,*05jrc*
325,16,Eduardo Tait,PHI,C,2023,2027,17.7,589,264,,*06bsb*
326,16,Kahlil Watson,CLE,SS,2021,2025,21.1,309,-17,,*05rau*
327,16,Nazzan Zanetello,BOS,SS,2023,2026,18.9,330,3,,*067xn*
328,16,Jeffry Rosa,NYM,OF,2023,2027,19.6,311,-17,,*067zp*
329,16,Enmanuel Bonilla,TOR,OF,2023,2028,18.3,332,3,,*062hy*
330,16,Spencer Horwitz,TOR,UT,2019,Debuted,26.5,313,-17,,*051ia*
331,16,Austin Gauthier,LAD,SS,2021,2025,25,368,37,UP,*0629a*
332,16,Franklin Arias,BOS,SS,2023,2027,18.5,997,665,,*06c78*
333,16,Ivan Melendez,ARI,1B,2022,2025,24.3,316,-17,,*060ih*
