Ranking,Tier,Player ID,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look
94,7,*05y7s*,Nolan McLean,P,NYM,23.9,95,1,2023,2026,
95,7,*066ip*,Mike Sirota,OF,LAD,22,257,162,2024,2026,
96,7,*06aly*,Carson Benge,OF,NYM,22.4,130,34,2024,2026,
97,7,*061rf*,Jesus Baez,"3B,SS",NYM,20.3,160,63,2022,2026,
98,7,*05un2*,Edgar Quero,C,CHW,22.2,102,4,2021,Debuted,Y
99,7,*04fyo*,Ronny Mauricio,2B,NYM,24.2,134,35,2017,Debuted,Y
100,7,*066er*,Grant Taylor,P,CHW,23,73,-27,2023,2026,Y
101,7,*0630e*,Colby Thomas,OF,ATH,24.4,137,36,2022,2025,Y
102,7,*066eo*,Cole Carrigg,OF,COL,23.1,121,19,2023,2025,
103,7,*05raw*,Harry Ford,C,SEA,22.3,152,49,2021,2025,Y
104,7,*0657l*,Jack Perkins,P,ATH,27.8,214,110,2022,2025,Y
105,7,*05gww*,Cade Horton,P,CHC,23.8,110,5,2022,Debuted,Y
106,7,*05u2p*,Jaxon Wiggins,P,CHC,23.7,209,103,2023,2026,
107,7,*061gx*,Jacob Melton,OF,HOU,24.7,84,-23,2022,2025,Y
108,7,*062pm*,Owen Murphy,P,ATL,21.7,113,5,2022,2026,Y
109,7,*06fzr*,Braxton Bragg,P,BAL,24.6,318,209,2023,2026,Y
110,7,*0620x*,Santiago Suarez,P,TB,20.4,115,5,2022,2026,Y
111,7,*060m8*,Jurrangelo Cijntje,P,SEA,22,181,70,2024,2026,
112,7,*06qng*,Tyson Hardin,P,MIL,23.5,250,138,2024,2026,
113,7,*05ubi*,Brock Wilken,3B,MIL,23,334,221,2023,2026,Y
114,7,*066mk*,Welbyn Francisca,"2B,SS",CLE,19,70,-44,2023,2027,Y
115,7,*05u9o*,Sal Stewart,"2B,3B",CIN,21.5,118,3,2022,2026,
116,7,*05rch*,Colson Montgomery,SS,CHW,23.3,119,3,2021,2025,Y
117,7,*06dn7*,A.J. Ewing,"2B,OF",NYM,20.8,247,130,2023,2026,Y
118,7,*05tp7*,Tommy White,3B,ATH,22.3,303,185,2024,2026,Y
119,7,*05ge1*,Ryan Clifford,"1B,OF",NYM,21.9,122,3,2022,2025,Y
120,7,*05gef*,Cade Cavalli,P,WSH,26.8,165,45,2020,Debuted,
121,7,*05gd5*,Luis Perales,P,BOS,22.1,124,3,2019,2026,Y
122,7,*04azu*,Kumar Rocker,P,TEX,25.5,51,-71,2022,Debuted,Y
123,7,*063e5*,Caden Dana,P,LAA,21.5,78,-45,2022,Debuted,
124,7,*05ycf*,Noah Cameron,P,KC,25.9,174,50,2021,Debuted,Y
125,7,*066mo*,Robert Calaz,OF,COL,19.5,126,1,2023,2027,
126,7,*06mio*,David Davalillo,P,TEX,22.7,294,168,2022,2026,Y
127,7,*05u6g*,Jackson Ferris,P,LAD,21.4,127,0,2022,2026,
128,8,*06625*,Joendry Vargas,SS,LAD,19.6,128,0,2023,2027,
129,8,*06cq8*,Christian Moore,2B,LAA,22.6,129,0,2024,2025,
130,8,*05zq5*,Charlee Soto,P,MIN,19.8,75,-55,2023,2026,Y
131,8,*05jri*,Alejandro Rosario,P,TEX,23.4,106,-25,2023,2027,Y
132,8,*05r64*,Thayron Liranzo,"C,1B",DET,21.9,55,-77,2021,2026,Y
133,8,*061wh*,Jefferson Rojas,SS,CHC,20.1,224,91,2022,2026,Y
134,8,*06c36*,Brice Matthews,"3B,SS",HOU,23.2,108,-26,2023,2025,Y
135,8,*06dn6*,C.J. Kayfus,"1B,OF",CLE,23.6,132,-3,2023,2025,Y
136,8,*05raz*,Chase Petty,P,CIN,22.2,133,-3,2021,Debuted,
137,8,*05ua8*,Cooper Kinney,2B,TB,21.5,233,96,2021,2026,Y
138,8,*05y7n*,Jarlin Susana,P,WSH,21.2,46,-92,2022,2026,Y
139,8,*05rc5*,Termarr Johnson,"2B,SS",PIT,21,136,-3,2022,2026,Y
140,8,*05jse*,Tommy Troy,SS,ARI,23.4,234,94,2023,2026,Y
141,8,*05jsg*,Owen Caissie,OF,CHC,22.9,138,-3,2020,2025,Y
142,8,*062h4*,Carlos Lagrange,P,NYY,22,490,348,2022,2026,Y
143,8,*06qif*,Brandon Clarke,P,BOS,22.2,168,25,2024,2026,Y
144,8,*06mnh*,Dasan Hill,P,MIN,19.4,94,-50,2024,2027,
145,8,*06hwt*,Michael Forret,P,BAL,21.2,189,44,2023,2026,Y
146,8,*064zm*,Didier Fuentes,P,ATL,20,142,-4,2022,2026,Y
147,8,*06f1r*,Connelly Early,P,BOS,23.2,143,-4,2023,2025,Y
148,8,*05tzn*,Parker Messick,P,CLE,24.6,255,107,2022,2025,Y
149,8,*05xq2*,Mitch Bratt,P,TEX,21.9,375,226,2021,2025,Y
150,8,*05xse*,Hector Rodriguez,OF,CIN,21.2,288,138,2021,2026,
151,8,*06ajk*,Eli Serrano,OF,NYM,22.1,144,-7,2024,2026,
152,8,*06psm*,Andrew Salas,SS,MIA,17.2,201,49,2025,2029,
153,8,*05jpx*,Tink Hence,P,STL,22.8,147,-6,2020,2026,Y
154,8,*04qow*,Kevin Alcantara,OF,CHC,22.9,83,-71,2018,Debuted,Y
155,8,*05y3q*,Blake Mitchell,C,KC,20.8,89,-66,2023,2026,Y
156,8,*05vy5*,Carter Jensen,C,KC,21.9,149,-7,2021,2026,Y
157,8,*06f0p*,Cooper Ingle,C,CLE,23.3,150,-7,2023,2026,Y
158,8,*06hth*,Josh Adamczewski,SS,MIL,20.1,242,84,2023,2027,Y
159,8,*066mz*,Brailer Guerrero,OF,TB,18.9,176,17,2023,2027,Y
160,8,*05gbg*,Zac Veen,OF,COL,23.5,153,-7,2020,Debuted,Y
161,8,*06hx4*,Kaelen Culpepper,SS,MIN,22.4,261,100,2024,2026,Y
162,8,*066ir*,James Tibbs,OF,SF,22.7,235,73,2024,2026,
163,8,*06ibo*,Emil Morales,SS,LAD,18.7,100,-63,2024,2027,
164,8,*06kk6*,Braylon Doughty,P,CLE,19.5,207,43,2024,2027,
165,8,*06mlb*,Juan Valera,P,BOS,19,141,-24,2023,2027,Y
166,8,*06ps2*,Josuar Gonzalez,SS,SF,17.6,158,-8,2025,2028,
167,8,*05joq*,Connor Prielipp,P,MIN,24.4,87,-80,2022,2025,Y
168,8,*064o6*,Gary Gill Hill,P,TB,20.7,131,-37,2022,2026,Y
169,8,*05gwo*,Cristian Hernandez,"2B,SS",CHC,21.5,161,-8,2021,2026,Y
170,8,*06qrv*,Owen Carey,OF,ATL,18.9,397,227,2024,2027,Y
171,8,*06dq9*,Aidan Smith,OF,TB,20.9,109,-62,2023,2026,Y
172,8,*05y7t*,Henry Bolte,OF,ATH,21.8,488,316,2022,2026,Y
173,8,*06nub*,Khal Stephen,P,TOR,22.5,278,105,2024,2027,Y
174,8,*066b3*,K.C. Hunt,P,MIL,24.9,164,-10,2022,2026,
175,8,*05y7v*,Carson Whisenhunt,P,SF,24.6,293,118,2022,2025,Y
176,8,*061bo*,Rhett Lowder,P,CIN,23.2,79,-97,2023,Debuted,
177,8,*05r3s*,Alejandro Osuna,OF,TEX,22.7,182,5,2020,Debuted,Y
178,8,*05mru*,Thomas Saggese,2B,STL,23.2,202,24,2020,Debuted,Y
179,8,*06hv8*,Logan Evans,P,SEA,24,169,-10,2023,Debuted,
180,8,*06me6*,Jose Anderson,OF,MIL,18.5,342,162,2024,2028,
181,8,*05zya*,Thomas Harrington,P,PIT,23.9,171,-10,2022,Debuted,Y
182,8,*067yp*,Ralphy Velazquez,1B,CLE,20,80,-102,2023,2026,Y
183,8,*05wrt*,Tre' Morgan,1B,TB,22.9,117,-66,2023,2025,Y
184,8,*04nb5*,Hunter Barco,P,PIT,24.5,173,-11,2022,2025,Y
185,8,*05g4k*,Mick Abel,P,PHI,23.8,223,38,2020,Debuted,Y
186,8,*06gjw*,Bishop Letson,P,MIL,20.7,349,163,2023,2026,Y
187,8,*06f0k*,Rafael Flores,"C,1B",NYY,24.6,190,3,2022,2025,Y
188,8,*06dsa*,Kyle Karros,3B,COL,22.9,177,-11,2023,2025,
189,9,*066iq*,Ben Hess,P,NYY,22.8,178,-11,2024,2026,Y
190,9,*06bfu*,Alex Clemmey,P,WSH,19.9,179,-11,2023,2026,Y
191,9,*06l3m*,Bryce Cunningham,P,NYY,22.5,180,-11,2024,2026,Y
192,9,*05jqh*,Tekoah Roby,P,STL,23.7,357,165,2020,2025,Y
193,9,*05sr2*,Michael McGreevy,P,STL,24.9,340,147,2021,Debuted,
194,9,*0603p*,Hurston Waldrep,P,ATL,23.3,321,127,2023,Debuted,Y
195,9,*05yj5*,Gino Groover,3B,ARI,23.1,245,50,2023,2025,Y
196,9,*0603l*,RJ Schreck,OF,TOR,24.9,343,147,2023,2025,Y
197,9,*06c7i*,Tai Peete,SS,SEA,19.8,184,-13,2023,2026,
198,9,*05js7*,Nick Yorke,2B,PIT,23.2,185,-13,2020,Debuted,Y
199,9,*05ucf*,James Triantos,2B,CHC,22.3,186,-13,2021,2025,Y
200,9,*06gjt*,Nelly Taylor,OF,BOS,22.4,271,71,2023,2026,Y
201,9,*062e0*,Cam Caminiti,P,ATL,18.8,188,-13,2024,2026,Y
202,9,*06cn0*,Ramon Ramirez,C,KC,20,151,-51,2023,2027,Y
203,9,*06kkg*,Kyle DeBarge,2B,MIN,21.9,465,262,2024,2026,Y
204,9,*05jre*,Enrique Bradfield Jr.,OF,BAL,23.5,191,-13,2023,2025,Y
205,9,*06oh1*,Ching-Hsien Ko,UT,LAD,18.8,468,263,2024,2028,
206,9,*06qgp*,Joseph Sullivan,OF,HOU,22.9,463,257,2024,2026,Y
207,9,*05ybr*,Ethan Salas,C,SD,19,195,-12,2023,2026,Y
208,9,*05jn0*,Adrian Del Castillo,C,ARI,25.7,196,-12,2021,Debuted,
209,9,*05rbw*,Esmerlyn Valdez,"1B,OF",PIT,21.4,427,218,2021,2027,Y
210,9,*06328*,PJ Morlando,OF,MIA,20.1,198,-12,2024,2027,Y
211,9,*05ucb*,T.J. Nichols,P,TB,22.9,561,350,2023,2026,Y
212,9,*06ich*,Jhonny Level,SS,SF,18.2,276,64,2024,2028,
213,9,*06434*,Jimmy Crooks,C,STL,23.9,120,-93,2022,2025,Y
214,9,*06o0e*,Marco Dinges,UT,MIL,31.8,403,189,2024,2027,Y
215,9,*05wy1*,Brayden Taylor,"3B,SS",TB,23,154,-61,2023,2026,Y
216,9,*05yed*,Eric Bitonti,3B,MIL,19.5,104,-112,2023,2026,Y
217,9,*05jrf*,Chase Davis,OF,STL,23.5,203,-14,2023,2026,
218,9,*05t9l*,Max Muncy,SS,ATH,22.8,204,-14,2021,Debuted,Y
219,9,*05jqi*,Shay Whitcomb,3B,HOU,26.7,285,66,2020,Debuted,Y
220,9,*061lj*,Winston Santos,P,TEX,23.1,206,-14,2019,2026,Y
221,9,*06mpb*,Jared Thomas,OF,COL,21.9,381,160,2024,2026,
222,9,*066m0*,Kohl Drake,P,TEX,24.9,208,-14,2022,2025,Y
223,9,*06f1c*,Jack Wenninger,P,NYM,23.2,239,16,2023,2026,
224,10,*06mnf*,Bryce Meccage,P,MIL,19.2,280,56,2024,2026,Y
225,10,*06akw*,Asbel Gonzalez,OF,KC,19.4,311,86,2023,2026,Y
226,10,*06col*,Austin Overn,OF,BAL,22.1,116,-110,2024,2026,Y
227,10,*0515o*,Brandon Sproat,P,NYM,24.7,107,-120,2023,2025,
228,10,*05rav*,Richard Fitts,P,BOS,25.5,215,-13,2021,Debuted,Y
229,10,*06c28*,Yordanny Monegro,P,BOS,22.6,267,38,2020,2026,Y
230,10,*05u6q*,Cam Schlittler,P,NYY,24.3,444,214,2022,2025,
231,10,*06me7*,Anderson Brito,P,HOU,20.9,329,98,2023,2027,Y
232,10,*06alk*,Charlie Condon,OF,COL,22.2,61,-171,2024,2026,Y
233,10,*06n3o*,Johnny King,P,TOR,18.9,328,95,2024,2027,
234,10,*06fwm*,Jonathon Long,1B,CHC,23.4,363,129,2023,2025,Y
235,10,*06582*,Luke Adams,"1B,3B",MIL,21.1,222,-13,2022,2026,Y
236,10,*06mnj*,Griffin Burkholder,OF,PHI,19.8,146,-90,2024,2027,
237,10,*05jpd*,Ian Seymour,P,TB,26.5,273,36,2020,2025,Y
238,10,*06mff*,Justin Gonzales,1B,BOS,18.4,226,-12,2024,2028,Y
239,10,*066ch*,Jake Miller,P,DET,23.9,172,-67,2022,2025,Y
240,10,*0630f*,Gabriel Rincones Jr.,OF,PHI,24.3,155,-85,2022,2025,Y
241,10,*06dqi*,Jake Bloss,P,TOR,24,125,-116,2023,Debuted,Y
242,10,*061xq*,Miguel Ullola,P,HOU,23,229,-13,2021,2025,Y
243,10,*04z8z*,Yohendrick Pinango,OF,TOR,23.1,546,303,2018,2025,Y
244,10,*066mx*,Starlyn Caba,SS,MIA,19.5,231,-13,2023,2027,Y
245,10,*05u2k*,Hao-Yu Lee,2B,DET,22.3,232,-13,2021,2025,Y
246,10,*05uc4*,Troy Melton,P,DET,24.5,379,133,2022,2026,Y
247,10,*04yi8*,Spencer Jones,OF,NYY,24.1,105,-142,2022,2026,Y
248,10,*05g3k*,Yanquiel Fernandez,OF,COL,22.4,236,-12,2019,2025,
249,10,*05ynx*,River Ryan,P,LAD,26.8,237,-12,2021,Debuted,
250,10,*06dnc*,Brandon Winokur,"SS,OF",MIN,20.5,238,-12,2023,2026,Y
251,10,*06c8x*,Luke Sinnard,P,ATL,22.6,493,242,2024,2026,Y
252,10,*06quu*,Ethan Dorchies,P,MIL,18.6,497,245,2024,2027,
253,10,*05xu2*,Ryan Ritter,SS,COL,24.6,617,364,2022,2025,Y
254,10,*06r5o*,Brailyn Antunez,OF,MIL,17.5,475,221,2025,2029,
255,10,*06ps3*,Yorger Bautista,OF,SEA,17.7,243,-12,2025,2029,
256,10,*06ps4*,Cris Rodriguez,OF,DET,17.3,244,-12,2025,2029,
257,10,*06dmp*,Max Anderson,2B,DET,23.3,458,201,2023,2026,Y
258,10,*06kxe*,Kellon Lindsey,SS,LAD,19.7,246,-12,2024,2027,
259,10,*06at2*,Patrick Copen,P,LAD,23.3,NR,NA,2023,2026,
260,10,*06lp4*,Kash Mayfield,P,SD,20.3,248,-12,2024,2027,Y
261,10,*06mh4*,Edward Florentino,1B,PIT,18.6,300,39,2024,2028,Y
262,10,*06kka*,Kale Fountain,3B,SD,19.8,250,-12,2024,2027,
263,10,*066az*,Adam Serwinowski,P,CIN,21,289,26,2022,2026,Y
264,10,*066al*,Otto Kemp,"2B,3B",PHI,25.7,252,-12,2022,2025,Y
265,10,*05yhe*,Juan Brito,"1B,2B,3B",CLE,23.7,253,-12,2018,2025,Y
266,10,*06o03*,Daniel Eagen,P,ARI,22.5,402,136,2024,2026,Y
267,10,*06c1l*,Joe Whitman,P,SF,23.7,448,181,2023,2026,
268,10,*06f1q*,Christian Oppor,P,CHW,20.9,256,-12,2023,2027,
269,10,*06l0n*,Sean Linan,P,LAD,20.6,257,-12,2022,2027,
270,10,*05rcj*,Edwin Arroyo,SS,CIN,21.8,258,-12,2021,2026,Y
271,10,*05y6w*,Hunter Dobbins,P,BOS,25.8,259,-12,2021,Debuted,Y
272,10,*05gx5*,Jose Corniell,P,TEX,22,260,-12,2019,2026,Y
273,10,*06pqe*,Will Watson,P,NYM,22.6,261,-12,2024,2026,
274,10,*06kke*,David Shields,P,KC,18.7,425,151,2024,2027,Y
275,10,*06f14*,Ethan Pecko,P,HOU,22.8,263,-12,2023,2026,Y
276,10,*06am5*,Luinder Avila,P,KC,23.8,399,123,2018,2026,Y
277,10,*05y7y*,Mikey Romero,SS,BOS,21.4,265,-12,2022,2026,Y
278,10,*06dnb*,Mike Boeve,"1B,3B",MIL,23.1,266,-12,2023,2026,
279,10,*06nug*,Nate Dohm,P,NYM,22.4,443,164,2024,2026,
280,10,*05uv5*,Abimelec Ortiz,1B,TEX,23.3,364,84,2021,2025,Y
281,10,*06dq2*,Landen Maroudis,P,TOR,20.5,269,-12,2023,2027,
282,10,*06f1o*,Trevor Harrison,P,TB,19.8,167,-115,2023,2027,Y
283,10,*04mms*,Orelvis Martinez,2B,TOR,23.5,193,-90,2018,Debuted,Y
284,10,*06f1h*,Alfonsin Rosario,OF,CLE,21,272,-12,2023,2027,Y
285,10,*06owe*,Griffin Herring,P,NYY,22.1,360,75,2024,2026,
286,10,*06mmx*,Juneiker Caceres,OF,CLE,17.8,290,4,2024,2028,
287,10,*06ica*,Joswa Lugo,SS,LAA,18.4,275,-12,2024,2028,
288,10,*060if*,Josh Kasevich,SS,TOR,24.4,210,-78,2022,2025,Y
289,10,*06bpq*,Antwone Kelly,P,PIT,21.8,614,325,2021,2026,Y
290,10,*05jsf*,Will Sanders,P,CHC,23.2,541,251,2023,2026,Y
291,10,*06fzn*,Ixan Henderson,P,STL,23.3,792,501,2023,2026,Y
292,10,*05unf*,Denzel Clarke,OF,ATH,25.1,145,-147,2021,Debuted,Y
293,10,*06kk8*,Dylan Dreiling,OF,TEX,22.1,365,72,2024,2026,Y
294,10,*06p5z*,Devin Fitz-Gerald,SS,TEX,19.8,709,415,2024,2027,
295,10,*06mnl*,Wyatt Sanford,SS,PIT,19.5,274,-21,2024,2027,Y
296,10,*062pn*,David Sandlin,P,BOS,24.3,281,-15,2022,2026,Y
297,10,*04pmq*,Braxton Ashcraft,P,PIT,25.7,282,-15,2018,Debuted,Y
298,10,*05uo4*,Emiliano Teodo,P,TEX,24.3,216,-82,2020,2025,Y
299,10,*062yr*,Noble Meyer,P,MIA,20.4,217,-82,2023,2026,
300,11,*06qhh*,Dorian Soto,SS,BOS,17.3,283,-17,2025,2029,
301,11,*066o8*,Jeremy Rodriguez,SS,NYM,18.9,284,-17,2023,2027,
302,11,*062k6*,Juaron Watts-Brown,P,TOR,23.3,583,281,2023,2026,Y
303,11,*06q33*,Brendan Tunink,OF,LAD,19.7,347,44,2024,2027,
304,11,*06icj*,Yolfran Castillo,SS,TEX,18.3,287,-17,2024,2028,
305,11,*06cq7*,Seaver King,SS,WSH,22.1,192,-113,2024,2026,Y
306,11,*05js4*,Yohandy Morales,"1B,3B",WSH,23.7,555,249,2023,2025,Y
307,11,*06f1j*,Caden Scarborough,P,TEX,20.2,319,12,2023,2026,
308,11,*06hua*,Bo Davidson,OF,SF,22.9,597,289,2023,2026,Y
309,11,*052h8*,Jesus Rodriguez,"C,3B",NYY,23.1,442,133,2018,2025,Y
310,11,*062e5*,Vance Honeycutt,OF,BAL,22.1,183,-127,2024,2026,Y
311,11,*05uec*,Yoniel Curet,P,TB,22.6,292,-19,2019,2027,Y
312,11,*05iyp*,Henry Baez,P,SD,22.6,618,306,2021,2025,
313,11,*06k81*,Yairo Padilla,SS,STL,17.9,286,-27,2024,2028,
314,11,*0630k*,Blake Burkhalter,P,ATL,24.7,295,-19,2022,2025,Y
315,11,*06cn1*,Chen-Wei Lin,P,STL,23.5,356,41,2023,2026,
316,11,*062jb*,Blake Burke,1B,MIL,22,297,-19,2024,2026,
317,11,*06awf*,Luis Merejo,1B,CLE,18.9,298,-19,2023,2027,
318,11,*06hf3*,Levi Sterling,P,PIT,18.8,279,-39,2024,2027,Y
319,11,*06m0g*,Elian Pena,SS,NYM,17.6,344,25,2025,2029,
320,11,*06psn*,Kevin Alvarez,OF,HOU,17.4,345,25,2025,2029,
321,11,*04aov*,Tirso Ornelas,OF,SD,25.2,302,-19,2016,Debuted,
322,11,*05t2b*,Daylen Lile,OF,WSH,22.5,577,255,2021,Debuted,Y
323,11,*05xoo*,Elmer Rodriguez-Cruz,P,NYY,21.8,304,-19,2021,2026,Y
