Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
150,Dansby Swanson,SS,CHC,31.7,145,-5,10,*03ae8*
151,Kerry Carpenter,OF,DET,28.1,122,-29,10,*051em*
152,Eduardo Quintero,OF,LAD,20.1,166,14,10,*06c79*
153,Isaac Paredes,"1B,3B",HOU,26.6,85,-68,10,*04071*
154,Kyle Manzardo,1B,CLE,25.2,264,110,10,*05rfu*
155,Jonathan Aranda,"1B,2B",TB,27.4,149,-6,10,*05t9v*
156,Edwin Diaz,P,NYM,31.5,150,-6,10,*02my5*
157,Seiya Suzuki,OF,CHC,31.1,151,-6,10,*04b02*
158,Michael Harris II,OF,ATL,24.6,73,-85,10,*0512v*
159,Thomas White,P,MIA,21,161,2,10,*05tp6*
160,Ozzie Albies,2B,ATL,28.7,153,-7,10,*03fi0*
161,Mason Miller,P,SD,27.1,246,85,10,*05ucd*
162,Ranger Suarez,P,PHI,30.1,220,58,10,*03et8*
163,Robbie Ray,P,SF,34,156,-7,10,*025j1*
164,Brandon Woodruff,P,MIL,32.7,157,-7,10,*02bu3*
165,Jhoan Duran,P,PHI,27.7,158,-7,10,*04apj*
166,Andres Munoz,P,SEA,26.7,159,-7,10,*0403o*
167,Brandon Nimmo,OF,NYM,32.5,160,-7,10,*02bq2*
168,Luis Castillo,P,SEA,32.8,243,75,10,*03nuc*
169,Jo Adell,OF,LAA,26.5,164,-5,10,*04aee*
170,Taylor Ward,OF,LAA,31.8,165,-5,10,*03pje*
171,Brenton Doyle,OF,COL,27.4,207,36,10,*0513l*
172,Shea Langeliers,C,ATH,27.9,167,-5,10,*04o4s*
173,Eugenio Suarez,3B,SEA,34.2,154,-19,10,*02jh6*
174,Steven Kwan,OF,CLE,28.1,194,20,10,*04pr1*
175,Kevin Gausman,P,TOR,34.8,170,-5,10,*02hi7*
176,Tanner Bibee,P,CLE,26.6,265,89,10,*05y23*
177,Zac Gallen,P,ARI,30.2,171,-6,10,*041qo*
178,Gleyber Torres,2B,DET,28.8,172,-6,10,*031t0*
179,Emmet Sheehan,P,LAD,25.9,191,12,10,*05y2l*
180,Bryson Stott,"2B,SS",PHI,28,174,-6,10,*04p10*
181,Nico Hoerner,"2B,SS",CHC,28.4,201,20,10,*04pkr*
182,Yainer Diaz,"C,1B",HOU,27,175,-7,11,*0524l*
183,Brayan Bello,P,BOS,26.4,176,-7,11,*04t40*
184,Heliot Ramos,OF,SF,26.1,196,12,11,*04ee8*
185,Wilyer Abreu,OF,BOS,26.3,177,-8,11,*060x1*
186,Bryce Miller,P,SEA,27.1,140,-46,11,*05vy6*
187,Adley Rutschman,C,BAL,27.7,179,-8,11,*04q2n*
188,Kris Bubic,P,KC,28.1,180,-8,11,*04pmb*
189,Kade Anderson,P,SEA,21.2,181,-8,11,*05ydp*
190,Colton Cowser,OF,BAL,25.5,182,-8,11,*05ras*
191,Bryce Rainer,SS,DET,20.3,183,-8,11,*05yai*
192,Edward Florentino,1B,PIT,18.9,216,24,11,*06mh4*
193,Luis Pena,SS,MIL,18.9,143,-50,11,*06j3f*
194,Josh Hader,P,HOU,31.5,185,-9,11,*02n96*
195,Masyn Winn,SS,STL,23.5,186,-9,11,*05gwy*
196,Travis Bazzana,2B,CLE,23.1,187,-9,11,*05zde*
197,George Springer,OF,TOR,36.1,224,27,11,*025he*
198,Dylan Crews,OF,WSH,23.3,188,-10,11,*0596e*
199,Jonah Tong,P,NYM,22.3,189,-10,11,*0658b*
200,Shane McClanahan,P,TB,28.4,192,-8,11,*04mlt*
201,Grayson Rodriguez,P,BAL,25.9,193,-8,11,*04pko*
202,Addison Barger,"3B,OF",TOR,25.9,163,-39,11,*04qii*
203,Sal Stewart,"2B,3B",CIN,21.8,214,11,11,*05u9o*
204,Spencer Horwitz,"1B,2B",PIT,27.9,239,35,11,*051ia*
205,Colt Keith,"1B,2B,3B",DET,24.1,202,-3,11,*05jrh*
206,Cam Schlittler,P,NYY,24.7,203,-3,11,*05u6q*
207,Nick Lodolo,P,CIN,27.7,204,-3,11,*041ps*
208,Sonny Gray,P,STL,35.9,184,-24,11,*0260v*
209,Lazaro Montes,OF,SEA,21,206,-3,11,*05rfc*
210,Cade Horton,P,CHC,24.1,272,62,11,*05gww*
211,Jurickson Profar,OF,ATL,32.6,227,16,11,*01spl*
212,Nathan Eovaldi,P,TEX,35.7,209,-3,11,*01ut7*
213,Corbin Burnes,P,ARI,31,210,-3,11,*041rd*
214,Yandy Diaz,1B,TB,34.2,211,-3,11,*03m6o*
215,Spencer Steer,"1B,2B,OF",CIN,27.8,212,-3,11,*0512e*
216,Carter Jensen,C,KC,22.3,281,65,11,*05vy5*
217,Kyle Teel,C,CHW,23.6,213,-4,11,*05wxy*
218,Caleb Bonemer,SS,CHW,20,235,17,11,*06hea*
219,Robby Snelling,P,MIA,21.8,249,30,11,*061mh*
220,Jasson Dominguez,OF,NYY,22.7,217,-3,12,*050c3*
221,Jung Hoo Lee,OF,SF,27.1,218,-3,12,*05m49*
222,Jared Jones,P,PIT,24.1,219,-3,12,*05h2u*
223,Matt McLain,"2B,SS",CIN,26.2,250,27,12,*04pks*
224,Kodai Senga,P,NYM,32.7,221,-3,12,*04a2t*
225,Alec Bohm,"1B,3B",PHI,29.2,222,-3,12,*04mn5*
226,Michael Arroyo,2B,SEA,20.9,245,19,12,*05yid*
227,Daylen Lile,OF,WSH,22.8,480,253,12,*05t2b*
228,Emmanuel Rodriguez,OF,MIN,22.6,225,-3,12,*054p6*
229,Carson Williams,SS,TB,22.3,226,-3,12,*05t9n*
230,Noelvi Marte,"3B,OF",CIN,24,147,-83,12,*04qnd*
231,Masyn Winn,SS,STL,23.5,200,-31,12,*05gwy*
232,Gerrit Cole,P,NYY,35.1,228,-4,12,*01spo*
233,Shane Baz,P,TB,26.3,229,-4,12,*04cwf*
234,Gabriel Moreno,C,ARI,25.6,230,-4,12,*04s1g*
235,Trey Yesavage,P,TOR,22.2,448,213,12,*06apx*
236,Kristian Campbell,"2B,SS,OF",BOS,23.3,232,-4,12,*06f0q*
237,Alejandro Kirk,C,TOR,26.9,308,71,12,*04t3y*
238,Josh Jung,3B,TEX,27.6,234,-4,12,*04y44*
239,Eli Willits,SS,WSH,17.8,285,46,12,*06n8y*
240,Andrew Abbott,P,CIN,26.4,236,-4,12,*05jq2*
241,Trevor Rogers,P,BAL,27.9,268,27,12,*04ak5*
242,Quinn Priester,P,MIL,25.1,341,99,12,*050vn*
243,Matt Chapman,3B,SF,32.4,238,-5,12,*03d6s*
244,Brett Baty,"2B,3B",NYM,25.9,286,42,12,*04yib*
245,Jeff Hoffman,P,TOR,32.7,240,-5,12,*03ann*
246,Logan O'Hoppe,C,LAA,25.7,241,-5,12,*04q56*
247,Trent Grisham,OF,NYY,28.9,352,105,12,*03pit*
248,Anthony Santander,OF,TOR,31,242,-6,12,*02w16*
249,Triston Casas,1B,BOS,25.7,257,8,12,*04de1*
250,Christian Walker,1B,HOU,34.5,190,-60,12,*02mw3*
251,Willson Contreras,"C,1B",STL,33.4,215,-36,12,*03oh0*
252,Jett Williams,SS,NYM,21.9,244,-8,12,*060la*
253,Seth Hernandez,P,PIT,19.3,256,3,12,*067yn*
254,Colson Montgomery,"3B,SS",CHW,23.6,267,13,12,*05rch*
255,Trevor Larnach,OF,MIN,28.6,246,-9,12,*04nky*
256,Justin Steele,P,CHC,30.2,247,-9,12,*03deg*
257,Merrill Kelly,P,TEX,37,279,22,12,*02hj7*
258,Jaxon Wiggins,P,CHC,24,277,19,12,*05u2p*
259,Taj Bradley,P,MIN,24.5,330,71,12,*04pr8*
260,Luis Garcia Jr.,2B,WSH,25,251,-9,12,*0414g*
261,Cedric Mullins,OF,NYM,31,252,-9,12,*03qr0*
262,Ryan O'Hearn,"1B,OF",SD,32.2,253,-9,12,*03dgq*
263,Joshua Baez,OF,STL,22.3,404,141,12,*05rcf*
264,Jackson Jobe,P,DET,23.2,255,-9,12,*05rb0*
265,Ryan Sloan,P,SEA,19.7,287,22,12,*06ier*
266,Edward Cabrera,P,MIA,27.5,231,-35,12,*04ali*
267,Josh Lowe,OF,TB,27.7,258,-9,12,*041ah*
268,Luis Arraez,"1B,2B",SD,28.5,259,-9,12,*03mew*
269,Lucas Giolito,P,BOS,31.2,260,-9,12,*02i37*
270,Aaron Nola,P,PHI,32.3,261,-9,12,*02i3o*
271,Jorge Polanco,"2B,3B",SEA,32.3,262,-9,12,*02yd1*
272,Ha-Seong Kim,SS,TB,30,303,31,12,*05ajg*
273,Daulton Varsho,OF,TOR,29.3,312,39,12,*04efa*
274,Dalton Rushing,"C,OF",LAD,24.6,233,-41,12,*05xtz*
275,Carlos Correa,SS,HOU,31,266,-9,12,*02i2q*
276,TJ Friedl,OF,CIN,30.2,299,23,12,*045gu*
277,Ryne Nelson,P,ARI,27.7,296,19,12,*04yid*
278,Jack Leiter,P,TEX,25.5,292,14,12,*04y9o*
279,Ryan Clifford,"1B,OF",NYM,22.2,269,-10,12,*05ge1*
280,Alec Burleson,"1B,OF,P",STL,26.9,270,-10,12,*05jr0*
281,Ceddanne Rafaela,"2B,SS,OF",BOS,25,148,-133,12,*05gsi*
282,Anthony Volpe,SS,NYY,24.4,271,-11,12,*04y9p*
283,Ryan Weathers,P,MIA,25.8,386,103,12,*04mnw*
284,Luis Morales,P,ATH,23,324,40,12,*0662m*
285,Troy Melton,P,DET,24.8,274,-11,12,*05uc4*
286,Reynaldo Lopez,P,ATL,31.8,275,-11,12,*03i81*
287,Moises Ballesteros,C,CHC,21.9,393,106,12,*05rbs*
288,Braden Montgomery,OF,CHW,22.4,288,0,12,*05rcg*
289,Hurston Waldrep,P,ATL,23.6,278,-11,12,*0603p*
290,Brady Singer,P,CIN,29.2,301,11,12,*03pov*
291,Xavier Edwards,"2B,SS",MIA,26.2,280,-11,12,*04n8z*
292,Coby Mayo,"1B,3B",BAL,23.8,316,24,12,*05js5*
293,Chase DeLauter,OF,CLE,24,282,-11,12,*05uei*
294,Ramon Laureano,OF,SD,31.2,342,48,12,*03dp8*
295,Sal Frelick,OF,MIL,25.5,283,-12,12,*05rb1*
296,Jordan Lawlar,"2B,SS",ARI,23.3,284,-12,12,*05r1m*
297,Jonny Farmelo,OF,SEA,21.1,320,23,12,*066sx*
298,Matt Wallner,"OF,P",MIN,27.8,208,-90,12,*04o78*
299,Tyson Lewis,SS,CIN,19.7,276,-23,12,*06mnk*
300,Gavin Fien,3B,TEX,18.6,349,49,12,*06qyu*
301,Aiva Arquette,SS,MIA,22,313,12,12,*06pg6*
302,Xander Bogaerts,"2B,SS",SD,33,290,-12,12,*025gb*
303,Robert Suarez,P,SD,34.6,291,-12,12,*05r01*
304,Rainiel Rodriguez,C,STL,18.8,379,75,12,*06mnp*
305,Alfredo Duno,C,CIN,19.7,378,73,12,*06626*
306,Tanner Scott,P,LAD,31.2,294,-12,12,*03dfa*
307,Jack Flaherty,P,DET,30,295,-12,12,*03d6w*
308,JoJo Parker,SS,TOR,19.2,350,42,12,*06se6*
309,Steele Hall,SS,CIN,18.2,351,42,12,*06rw2*
310,George Lombard Jr.,SS,NYY,20.3,293,-17,12,*06b72*
311,Brandon Marsh,OF,PHI,27.8,318,7,12,*041q8*
312,Adolis Garcia,OF,TEX,32.6,178,-134,12,*04aq4*
313,Lenyn Sosa,"1B,2B,3B",CHW,25.7,311,-2,12,*04llv*
314,Joey Ortiz,"2B,3B,SS",MIL,27.2,300,-14,12,*0513c*
315,Shane Smith,P,CHW,25.5,331,16,12,*06dqb*
316,Noah Cameron,P,KC,26.2,357,41,12,*05ycf*
317,Trevor Megill,P,MIL,31.8,273,-44,12,*03dau*
318,Brooks Lee,"2B,3B,SS",MIN,24.6,304,-14,12,*04yig*
319,Luis Gil,P,NYY,27.3,305,-14,12,*04s1h*
320,Reese Olson,P,DET,26.2,385,65,12,*04px8*
321,Travis Sykora,P,WSH,21.4,307,-14,12,*05ycl*
322,Ryan Waldschmidt,OF,ARI,23,394,72,12,*06dlz*
323,Casey Mize,P,DET,28.4,309,-14,12,*04mlf*
324,Zebby Matthews,P,MIN,25.4,297,-27,12,*066cf*
325,Dylan Beavers,OF,BAL,24.2,310,-15,12,*05xty*
326,Seth Lugo,P,KC,35.9,237,-89,12,*03sef*
327,Cade Smith,P,NYY,23.5,411,84,12,*06f15*
328,Jarlin Susana,P,WSH,21.5,372,44,12,*05y7n*
329,Rhys Hoskins,1B,MIL,32.6,263,-66,12,*03de9*
330,Andrew Vaughn,1B,MIL,27.5,314,-16,12,*04si2*
331,Logan Henderson,P,MIL,23.6,343,12,12,*05uo2*
332,Jordan Beck,OF,COL,24.5,198,-134,12,*051b4*
333,Lars Nootbaar,OF,STL,28.1,205,-128,12,*04pt2*
334,Jakob Marsee,OF,MIA,24.3,317,-17,12,*065ji*
335,Matthew Boyd,P,CHC,34.7,323,-12,12,*02n4s*
336,Tyler Mahle,P,TEX,31,326,-10,12,*0312g*
337,Ralphy Velazquez,1B,CLE,20.4,403,66,12,*067yp*
338,Francisco Alvarez,C,NYM,23.9,321,-17,12,*04qnc*
339,Austin Wells,C,NYY,26.2,322,-17,12,*05ahg*
340,Will Warren,P,NYY,26.3,336,-4,12,*05yaz*
341,Bailey Ober,P,MIN,30.2,340,-1,12,*0425t*
342,Marcus Semien,2B,TEX,35.1,325,-17,12,*02bu9*
343,Brody Hopkins,P,TB,23.7,375,32,12,*06f1b*
344,Aroldis Chapman,P,BOS,37.6,327,-17,12,*01gya*
345,Raisel Iglesias,P,ATL,35.8,328,-17,12,*03aqv*
346,Clay Holmes,P,NYM,32.5,345,-1,12,*02bx4*
347,Mitch Keller,P,PIT,29.5,419,72,12,*03d7h*
348,Jamie Arnold,P,ATH,21.5,373,25,12,*06ktt*
349,Dillon Dingler,C,DET,27.1,332,-17,13,*05gx4*
350,Salvador Perez,"C,1B",KC,35.4,392,42,13,*01u75*
351,Pete Fairbanks,P,TB,31.8,333,-18,13,*03qo0*
352,Kumar Rocker,P,TEX,25.9,334,-18,13,*04azu*
353,Chase Dollander,P,COL,23.9,335,-18,13,*05yj0*
354,Jake Cronenworth,"1B,2B",SD,31.7,344,-10,13,*03qmh*
355,Marcell Ozuna,UT,ATL,34.9,337,-18,13,*01usi*
356,Brendan Donovan,"2B,3B,SS,OF",STL,28.7,338,-18,13,*04pse*
357,Miguel Vargas,"1B,3B,OF",CHW,25.9,339,-18,13,*04ru7*
358,Liam Doyle,P,STL,21.3,374,16,13,*06roc*
359,Joey Cantillo,P,CLE,25.8,649,290,13,*04eos*
360,Sean Manaea,P,NYM,33.7,248,-112,13,*02x0f*
361,Cooper Pratt,SS,MIL,21.1,348,-13,13,*067xj*
362,Owen Caissie,OF,CHC,23.2,365,3,13,*05jsg*
363,Mike Sirota,OF,LAD,22.3,427,64,13,*066ip*
364,Brandon Pfaadt,P,ARI,27,450,86,13,*05lg3*
365,Nolan Schanuel,1B,LAA,23.6,364,-1,13,*05yj1*
366,Theo Gillen,OF,TB,20.1,428,62,13,*05u2m*
367,Zach McKinstry,"2B,3B,SS,OF,P",DET,30.4,298,-69,13,*0473m*
368,Evan Carter,OF,TEX,23.1,353,-15,13,*05mdt*
369,Austin Hays,OF,CIN,30.3,319,-50,13,*041qs*
370,Ryan Helsley,P,NYM,31.2,354,-16,13,*03ql5*
371,Matthew Liberatore,P,STL,25.9,355,-16,13,*04mlx*
372,Max Muncy,3B,LAD,35.1,356,-16,13,*02mzg*
373,Connelly Early,P,BOS,23.5,614,241,13,*06f1r*
374,Felix Bautista,P,BAL,30.3,358,-16,13,*05t64*
375,Jhostynxon Garcia,OF,BOS,22.8,359,-16,13,*05j8u*
376,Will Vest,P,DET,30.3,360,-16,13,*04em6*
377,Jose Soriano,P,LAA,27,223,-154,13,*04c0o*
378,Jose Berrios,P,TOR,31.4,377,-1,13,*02mwk*
379,Brady House,3B,WSH,22.3,315,-64,13,*059bx*
380,Tyler Stephenson,C,CIN,29.1,417,37,13,*03pix*
381,Parker Meadows,OF,DET,25.9,420,39,13,*04pmn*
382,Max Meyer,P,MIA,26.6,302,-80,13,*05a2d*
383,Zack Littell,P,CIN,30,367,-16,13,*031d4*
384,Charlie Condon,OF,COL,22.5,437,53,13,*06alk*
385,Otto Lopez,"2B,3B,SS",MIA,27,369,-16,13,*04tjl*
386,Caleb Durbin,"2B,3B",MIL,25.6,531,145,13,*05y4b*
387,Tommy Edman,"2B,3B,SS,OF",LAD,30.4,370,-17,13,*041sq*
388,Ryan McMahon,3B,NYY,30.8,347,-41,13,*0310n*
389,Lourdes Gurriel Jr.,OF,ARI,32,371,-18,13,*03nri*
390,Carlos Lagrange,P,NYY,22.4,388,-2,13,*062h4*
391,Josuar Gonzalez,SS,SF,18,382,-9,13,*06ps2*
392,Harrison Bader,OF,PHI,31.3,413,21,13,*03qjv*
393,Dax Kilby,SS,NYY,18.9,NR,NA,13,*06utg*
394,Jeffrey Springs,P,ATH,33,376,-18,13,*04mlr*
395,J.T. Realmuto,C,PHI,34.6,390,-5,13,*025i9*
396,Edgar Quero,C,CHW,22.5,444,48,13,*05un2*
397,Daniel Palencia,P,CHC,25.7,254,-143,13,*05u4l*
398,Ethan Holliday,3B,COL,18.6,381,-17,13,*062cx*
399,Cam Caminiti,P,ATL,19.2,429,30,13,*062e0*
400,Nestor Cortes Jr.,P,SD,30.8,384,-16,13,*03bin*
401,Chase Meidroth,"2B,3B,SS",CHW,24.2,461,60,13,*0648n*
