Ranking,Tier,Player ID,Player,Position,Team,Age,Previous,Movement
71,7,*050c3*,Jasson Dominguez,OF,NYY,21.8,62,-9
72,7,*040b5*,Randy Arozarena,OF,SEA,29.8,77,5
73,7,*04e2u*,Brent Rooker,OF,OAK,30.1,78,5
74,7,*02i2j*,Max Fried,P,ATL,30.9,49,-25
75,7,*02btx*,Tyler Glasnow,P,LAD,31.3,34,-41
76,7,*01uca*,Chris Sale,P,ATL,35.7,80,4
77,7,*04pko*,Grayson Rodriguez,P,BAL,25,47,-30
78,7,*04aea*,Hunter Greene,P,CIN,25.3,81,3
79,7,*03dc4*,Freddy Peralta,P,MIL,28.5,82,3
80,7,*04mlt*,Shane McClanahan,P,TB,27.6,83,3
81,7,*041qo*,Zac Gallen,P,ARI,29.3,51,-30
82,7,*05xu5*,Zach Neto,SS,LAA,23.8,74,-8
83,7,*03atq*,Willy Adames,SS,MIL,29.3,85,2
84,7,*02i3o*,Aaron Nola,P,PHI,31.5,86,2
85,7,*0524l*,Yainer Diaz,C,HOU,26.2,87,2
86,7,*05gsc*,Jordan Westburg,"2B,3B",BAL,25.8,76,-10
87,7,*04de1*,Triston Casas,1B,BOS,24.9,60,-27
88,7,*05184*,Vinnie Pasquantino,1B,KC,27.1,89,1
89,7,*04prt*,Lawrence Butler,OF,OAK,24.4,115,26
90,7,*025dn*,Christian Yelich,OF,MIL,33,90,0
91,8,*01usi*,Marcell Ozuna,UT,ATL,34.1,73,-18
92,8,*047l7*,Luis Robert Jr.,OF,CHW,27.3,54,-38
93,8,*05tq1*,Spencer Schwellenbach,P,ATL,24.5,92,-1
94,8,*05rb0*,Jackson Jobe,P,DET,22.3,156,62
95,8,*04b02*,Seiya Suzuki,OF,CHC,30.3,93,-2
96,8,*02xic*,Teoscar Hernandez,OF,LAD,32.1,111,15
97,8,*05rbv*,Samuel Basallo,C,BAL,20.3,95,-2
98,8,*0596e*,Dylan Crews,OF,WSH,22.4,96,-2
99,8,*05zde*,Travis Bazzana,"2B,SS",CLE,22.3,97,-2
100,8,*05ge9*,Shota Imanaga,P,CHC,31.3,98,-2
101,8,*0425t*,Bailey Ober,P,MIN,29.4,100,-1
102,8,*041qb*,Bo Bichette,SS,TOR,26.7,101,-1
103,8,*05r3i*,Andrew Painter,P,PHI,21.6,135,32
104,8,*05y62*,Bryan Woo,P,SEA,24.8,103,-1
105,8,*05y23*,Tanner Bibee,P,CLE,25.7,104,-1
106,8,*03btv*,Sandy Alcantara,P,MIA,29.2,105,-1
107,8,*04mra*,Ezequiel Tovar,SS,COL,23.3,106,-1
108,8,*06f0q*,Kristian Campbell,SS,BOS,22.4,151,43
109,8,*05gwy*,Masyn Winn,SS,STL,22.7,117,8
110,8,*025gb*,Xander Bogaerts,"2B,SS",SD,32.2,109,-1
111,8,*02w16*,Anthony Santander,"1B,OF",BAL,30.1,110,-1
112,8,*05js5*,Coby Mayo,3B,BAL,23,69,-43
113,8,*04y9p*,Anthony Volpe,SS,NYY,23.6,94,-19
114,8,*05u3v*,Walker Jenkins,OF,MIN,19.8,91,-23
115,8,*04pks*,Matt McLain,"2B,SS",CIN,25.3,114,-1
116,8,*0662o*,Sebastian Walcott,SS,TEX,18.7,146,30
117,8,*04qnc*,Francisco Alvarez,C,NYM,23,116,-1
118,8,*042sz*,Will Smith,C,LAD,29.7,88,-30
119,8,*04my4*,Cal Raleigh,C,SEA,28,187,68
120,8,*03120*,Cody Bellinger,"1B,OF",CHC,29.4,118,-2
121,9,*0512m*,Ryan Pepiot,P,TB,27.3,119,-2
122,9,*054p6*,Emmanuel Rodriguez,OF,MIN,21.8,120,-2
123,9,*0513l*,Brenton Doyle,OF,COL,26.6,121,-2
124,9,*041ah*,Josh Lowe,OF,TB,26.8,122,-2
125,9,*03nmw*,Ian Happ,OF,CHC,30.3,123,-2
126,9,*0512e*,Spencer Steer,"1B,2B,3B,OF",CIN,27,124,-2
127,9,*03deg*,Justin Steele,P,CHC,29.4,125,-2
128,9,*01s8u*,Mike Trout,OF,LAA,33.3,128,0
129,9,*03d6w*,Jack Flaherty,P,LAD,29.1,129,0
130,9,*02yk4*,Tyler O'Neill,OF,BOS,29.5,130,0
131,9,*05ras*,Colton Cowser,OF,BAL,24.7,131,0
132,9,*04cwf*,Shane Baz,P,TB,25.5,132,0
133,9,*05rik*,Bubba Chandler,P,PIT,22.2,194,61
134,9,*05uc7*,Noah Schultz,P,CHW,21.3,134,0
135,9,*04pr8*,Taj Bradley,P,TB,23.7,102,-33
136,9,*03i81*,Reynaldo Lopez,P,ATL,30.9,136,0
137,9,*03zcy*,Mark Vientos,"1B,3B",NYM,25,137,0
138,9,*05u9y*,Max Clark,OF,DET,19.9,138,0
139,9,*04cd5*,MacKenzie Gore,P,WSH,25.8,158,19
140,9,*02w7p*,Alex Bregman,3B,HOU,30.7,140,0
141,9,*063vu*,Matt Shaw,2B,CHC,23.1,141,0
142,9,*06aw3*,JJ Wetherholt,3B,STL,22.2,142,0
143,9,*067yc*,Leodalis De Vries,SS,SD,18.1,143,0
144,9,*02mw3*,Christian Walker,1B,ARI,33.7,108,-36
145,10,*02i2q*,Carlos Correa,SS,MIN,30.2,145,0
146,10,*06eyu*,Zyhir Hope,OF,LAD,19.9,401,255
147,10,*062k5*,Nick Kurtz,1B,OAK,21.7,180,33
148,10,*03djk*,Tanner Houck,P,BOS,28.4,148,0
149,10,*02bu9*,Marcus Semien,2B,TEX,34.2,149,0
150,10,*04azu*,Kumar Rocker,P,TEX,25,252,102
151,10,*060x1*,Wilyer Abreu,OF,BOS,25.4,152,1
152,10,*05144*,Hunter Brown,P,HOU,26.3,153,1
153,10,*05jrh*,Colt Keith,"2B,3B",DET,23.3,139,-14
154,10,*02bq2*,Brandon Nimmo,OF,NYM,31.7,155,1
155,10,*03aac*,Walker Buehler,P,LAD,30.4,263,108
156,10,*0260v*,Sonny Gray,P,STL,35.1,157,1
157,10,*04o4s*,Shea Langeliers,C,OAK,27,297,140
158,10,*051em*,Kerry Carpenter,OF,DET,27.3,159,1
159,10,*031t0*,Gleyber Torres,2B,NYY,28,160,1
160,10,*03ae8*,Dansby Swanson,SS,CHC,30.8,161,1
161,10,*04azv*,Jake Burger,"1B,3B",MIA,28.6,162,1
162,10,*02hjp*,Jacob deGrom,P,TEX,36.5,287,125
163,10,*04p10*,Bryson Stott,"2B,SS",PHI,27.2,164,1
164,10,*04ppj*,Jeremy Pena,SS,HOU,27.2,165,1
165,10,*04pr1*,Steven Kwan,OF,CLE,27.2,166,1
166,10,*05t9n*,Carson Williams,SS,TB,21.4,167,1
167,10,*0414g*,Luis Garcia(WSH),2B,WSH,24.2,168,1
168,10,*05xtz*,Dalton Rushing,C,LAD,23.8,169,1
169,10,*05mdt*,Evan Carter,OF,TEX,22.3,170,1
170,10,*05u96*,Bryce Eldridge,OF,SF,20.1,171,1
171,10,*03et8*,Ranger Suarez,P,PHI,29.3,172,1
172,10,*02mwk*,Jose Berrios,P,TOR,30.5,173,1
173,10,*041ps*,Nick Lodolo,P,CIN,26.8,99,-74
174,10,*01uc9*,Nick Castellanos,OF,PHI,32.8,175,1
175,10,*03d7h*,Mitch Keller,P,PIT,28.7,176,1
176,10,*041sq*,Tommy Edman,"2B,SS,OF",LAD,29.6,177,1
177,10,*03d6s*,Matt Chapman,3B,SF,31.1,126,-51
178,10,*04y44*,Josh Jung,3B,TEX,26.8,107,-71
179,10,*04q56*,Logan O'Hoppe,C,LAA,24.8,178,-1
180,10,*05u9q*,Jac Caglianone,1B,KC,21.8,179,-1
181,10,*06alk*,Charlie Condon,1B,COL,21.7,144,-37
182,10,*04pmn*,Parker Meadows,OF,DET,25.1,284,102
183,10,*051wv*,Pete Crow-Armstrong,OF,CHC,22.7,270,87
184,10,*05jp7*,Gavin Williams,P,CLE,25.4,147,-37
185,10,*05yj0*,Chase Dollander,P,COL,23.1,229,44
186,10,*04s1h*,Luis Gil,P,NYY,26.5,213,27
187,10,*0421k*,Bowden Francis,P,TOR,28.6,391,204
188,10,*05y0j*,Spencer Arrighetti,P,HOU,22.9,280,92
189,10,*02c2r*,Carlos Rodon,P,NYY,32,163,-26
190,10,*02hi7*,Kevin Gausman,P,TOR,33.9,127,-63
191,11,*04mn5*,Alec Bohm,"1B,3B",PHI,28.3,153,-38
192,11,*04pkr*,Nico Hoerner,"2B,SS",CHC,27.6,184,-8
193,11,*04ml0*,Yusei Kikuchi,P,HOU,33.5,239,46
194,11,*02mwq*,Zach Eflin,P,BAL,30.7,186,-8
195,11,*01ut7*,Nathan Eovaldi,P,TEX,34.8,187,-8
196,11,*05ajg*,Ha-Seong Kim,"2B,3B,SS",SD,29.1,188,-8
197,11,*06ibv*,Jesus Made,SS,MIL,17.6,413,216
198,11,*041r1*,Jesus Luzardo,P,MIA,27.2,190,-8
199,11,*03oh0*,Willson Contreras,C,STL,32.6,217,18
200,11,*04t9b*,Michael Busch,"1B,3B",CHC,27.1,191,-9
201,11,*05rfu*,Kyle Manzardo,1B,CLE,24.4,222,21
202,11,*0513c*,Joey Ortiz,"2B,3B",MIL,26.4,154,-48
203,11,*05yby*,Kevin McGonigle,SS,DET,20.3,279,76
204,11,*0316j*,Nick Pivetta,P,BOS,31.8,314,110
205,11,*060gd*,Quinn Mathews,P,STL,24.2,251,46
206,11,*03sef*,Seth Lugo,P,KC,35,195,-11
207,11,*05ucd*,Mason Miller,P,OAK,26.3,196,-11
208,11,*04ug5*,Emmanuel Clase,P,CLE,26.7,197,-11
209,11,*02n96*,Josh Hader,P,HOU,30.7,198,-11
210,11,*0311c*,Devin Williams,P,MIL,30.2,200,-10
211,11,*03ql5*,Ryan Helsley,P,STL,30.4,201,-10
212,11,*03dfa*,Tanner Scott,P,SD,30.4,202,-10
213,11,*0403o*,Andres Munoz,P,SEA,25.9,203,-10
214,11,*04a2t*,Kodai Senga,P,NYM,31.8,204,-10
215,11,*04mlr*,Jeffrey Springs,P,TB,32.2,205,-10
216,11,*052c8*,Cristopher Sanchez,P,PHI,28,206,-10
217,11,*02x0f*,Sean Manaea,P,NYM,32.8,332,115
218,11,*05gbf*,Jordan Walker,OF,STL,22.5,268,50
219,11,*03avk*,Luis Rengifo,"2B,3B,SS,OF",LAA,27.8,189,-30
220,11,*04aq4*,Adolis Garcia,OF,TEX,31.8,208,-12
221,11,*03pje*,Taylor Ward,OF,LAA,31,247,26
222,11,*04ru5*,Andy Pages,OF,LAD,24,301,79
223,11,*05r1m*,Jordan Lawlar,SS,ARI,22.4,211,-12
224,11,*02bqh*,Trevor Story,SS,BOS,32.1,280,56
225,11,*05yav*,David Festa,P,MIN,24.7,273,48
226,11,*05gwz*,Bobby Miller,P,LAD,25.7,150,-76
227,11,*025j1*,Robbie Ray,P,SF,33.2,316,89
228,11,*05lg3*,Brandon Pfaadt,P,ARI,26.1,215,-13
229,11,*041sz*,Tobias Myers,P,MIL,26.3,216,-13
230,11,*02my5*,Edwin Diaz,P,NYM,30.7,291,61
231,11,*05t64*,Felix Bautista,P,BAL,29.5,493,262
232,11,*03aqv*,Raisel Iglesias,P,ATL,34.9,312,80
233,11,*041q8*,Brandon Marsh,OF,PHI,27,181,-52
234,11,*025he*,George Springer,OF,TOR,35.2,219,-15
235,11,*04pq4*,Kyle Bradish,P,BAL,28.2,220,-15
236,11,*0596f*,Heston Kjerstad,OF,BAL,25.8,221,-15
237,11,*01u75*,Salvador Perez,"C,1B",KC,34.6,257,20
238,11,*02mzg*,Max Muncy,3B,LAD,22.3,223,-15
239,11,*04071*,Isaac Paredes,"1B,2B,3B",CHC,25.8,224,-15
240,11,*05ahg*,Austin Wells,C,NYY,25.4,271,31
241,11,*025i9*,J.T. Realmuto,C,PHI,33.7,225,-16
242,11,*03aoy*,Sean Murphy,C,ATL,30.2,226,-16
243,11,*04ee8*,Heliot Ramos,OF,SF,25.2,193,-50
244,11,*05jsg*,Owen Caissie,OF,CHC,22.4,228,-16
245,11,*04ee7*,Clarke Schmidt,P,NYY,28.8,350,105
246,11,*05gsi*,Ceddanne Rafaela,"SS,OF",BOS,24.2,207,-39
247,11,*03m6o*,Yandy Diaz,1B,TB,33.3,231,-16
248,11,*05r9j*,Marcelo Mayer,SS,BOS,22,232,-16
249,11,*05rcg*,Braden Montgomery,OF,BOS,21.6,233,-16
250,11,*04aee*,Jo Adell,OF,LAA,25.7,482,232
251,11,*05xor*,Christian Encarnacion-Strand,1B,CIN,25,234,-17
252,11,*0515o*,Brandon Sproat,P,NYM,24.2,235,-17
253,11,*04px8*,Reese Olson,P,DET,25.3,236,-17
254,11,*04ep8*,Kutter Crawford,P,BOS,28.7,237,-17
255,11,*04yid*,Ryne Nelson,P,ARI,26.8,381,126
256,11,*05mrx*,Gavin Stone,P,LAD,26.1,183,-73
257,11,*061bo*,Rhett Lowder,P,CIN,22.7,274,17
258,11,*041am*,Lucas Erceg,P,KC,29.6,300,42
259,11,*01c5l*,Yu Darvish,P,SD,38.3,269,10
260,11,*05rch*,Colson Montgomery,"3B,SS",CHW,22.8,242,-18
261,11,*03qmh*,Jake Cronenworth,"1B,2B",SD,30.9,244,-17
262,11,*05uei*,Chase DeLauter,OF,CLE,23.1,286,24
263,11,*04nx3*,Jonathan India,2B,CIN,28,246,-17
264,11,*02i2k*,Byron Buxton,OF,MIN,31,247,-17
265,11,*041rf*,Shane Bieber,P,CLE,29.5,293,28
266,11,*05jr0*,Alec Burleson,"1B,OF",STL,26,249,-17
267,11,*03dei*,Lane Thomas,OF,CLE,29.3,250,-17
268,11,*06650*,Hayden Birdsong,P,SF,23.3,306,38
269,11,*05ycl*,Travis Sykora,P,WSH,20.6,253,-16
270,11,*05tp6*,Thomas White,P,MIA,20.2,254,-16
271,11,*04yk2*,Spencer Torkelson,1B,DET,25.3,212,-59
272,12,*03pov*,Brady Singer,P,KC,28.3,182,-90
273,12,*01srb*,Jameson Taillon,P,CHC,33,256,-17
274,12,*062pp*,Xavier Isaac,1B,TB,21,230,-44
275,12,*05jq2*,Andrew Abbott,P,CIN,25.5,174,-101
276,12,*0310n*,Ryan McMahon,"2B,3B",COL,30,218,-58
277,12,*03qjy*,Brandon Lowe,2B,TB,30.4,260,-17
278,12,*05ub0*,Zack Gelof,2B,OAK,25.1,261,-17
279,12,*02bqy*,Joe Musgrove,P,SD,32,151,-128
280,12,*05js3*,Kyle Harrison,P,SF,23.3,262,-18
281,12,*04yig*,Brooks Lee,"3B,SS",MIN,23.8,214,-67
282,12,*04t40*,Brayan Bello,P,BOS,25.5,240,-42
283,12,*04pbp*,Christopher Morel,"2B,3B,OF",TB,25.4,265,-18
284,12,*04pt2*,Lars Nootbaar,OF,STL,27.2,266,-18
285,12,*04y95*,JJ Bleday,OF,OAK,27.1,267,-18
286,12,*05rfc*,Lazaro Montes,"1B,OF",SEA,20.1,192,-94
287,12,*04ok3*,Michael Toglia,"1B,OF",COL,26.3,290,3
288,12,*04ydi*,Ronel Blanco,P,HOU,31.3,243,-45
289,12,*01spl*,Jurickson Profar,OF,SD,31.8,241,-48
290,12,*03dau*,Trevor Megill,P,MIL,31,199,-91
291,12,*060ub*,Colt Emerson,SS,SEA,19.4,272,-19
292,12,*04n8z*,Xavier Edwards,"2B,SS",MIA,25.3,304,12
293,12,*041q6*,Nolan Jones,"1B,OF",COL,26.6,327,34
294,12,*066sx*,Jonny Farmelo,OF,SEA,20.2,275,-19
295,12,*041ai*,Gavin Lux,2B,LAD,27,276,-19
296,12,*03qr0*,Cedric Mullins,OF,BAL,30.2,277,-19
297,12,*05zh9*,Luke Keaschall,2B,MIN,22.3,300,3
298,12,*0622t*,Jacob Wilson,SS,OAK,22.7,305,7
299,12,*03ann*,Jeff Hoffman,P,PHI,31.9,318,19
300,12,*05u36*,Aidan Miller,3B,PHI,20.5,281,-19
301,12,*05xpq*,Christian Scott,P,NYM,25.5,282,-19
302,12,*03ab0*,Luis Severino,P,NYM,30.8,283,-19
303,12,*0630d*,Drake Baldwin,C,ATL,23.7,377,74
304,12,*05131*,Tyler Fitzgerald,"SS,OF",SF,27.2,227,-77
305,12,*04o78*,Matt Wallner,OF,MIN,27,285,-20
306,12,*02c5l*,Luke Weaver,P,NYY,31.3,390,84
307,12,*05jri*,Alejandro Rosario,P,TEX,22.9,355,48
308,12,*03qyv*,Jake McCarthy,OF,ARI,27.3,288,-20
309,12,*04efa*,Daulton Varsho,OF,TOR,28.4,289,-20
310,12,*041xv*,Nathaniel Lowe,1B,TEX,29.4,255,-55
311,12,*03mnq*,Carlos Estevez,P,PHI,31.9,292,-19
312,12,*045gu*,TJ Friedl,OF,CIN,29.3,294,-18
313,12,*060jo*,Cam Smith,3B,CHC,21.8,296,-17
314,12,*03nri*,Lourdes Gurriel Jr.,OF,ARI,31.1,209,-105
315,12,*03pix*,Tyler Stephenson,C,CIN,28.3,298,-17
316,12,*05rbs*,Moises Ballesteros,C,CHC,21.1,331,15
317,12,*06625*,Joendry Vargas,SS,LAD,19.1,299,-18
318,12,*03d6v*,Michael Kopech,P,LAD,28.6,782,464
319,12,*03pjl*,Ryan Mountcastle,1B,BAL,27.8,248,-71
320,12,*03pzn*,Andres Gimenez,2B,CLE,26.2,302,-18
321,12,*04b00*,Brice Turang,"2B,SS",MIL,25,303,-18
322,12,*05rb3*,Chase Burns,P,CIN,21.9,346,24
323,12,*05zd4*,Hagen Smith,P,CHW,21.3,347,24
324,12,*066cf*,Zebby Matthews,P,MIN,24.5,348,24
325,12,*05zya*,Thomas Harrington,P,PIT,23.4,349,24
326,12,*04yrs*,Jhonkensy Noel,"3B,OF",CLE,23.4,307,-19
327,12,*03mew*,Luis Arraez,"1B,2B",SD,27.7,308,-19
328,12,*03d6n*,Erick Fedde,P,STL,31.8,310,-18
329,12,*03yso*,A.J. Puk,P,ARI,29.6,311,-18
330,12,*04mnw*,Ryan Weathers,P,MIA,25,380,50
331,12,*0317q*,Griffin Jax,P,MIN,30,313,-18
332,12,*041qh*,Jose Miranda,3B,MIN,26.4,245,-87
333,12,*04apj*,Jhoan Duran,P,MIN,26.9,315,-18
334,12,*03c65*,Victor Robles,OF,SEA,27.5,539,205
335,12,*03bin*,Nestor Cortes Jr.,P,NYY,30,238,-97
336,12,*04eor*,Cade Smith,P,CLE,22.6,319,-17
337,12,*03qto*,Evan Phillips,P,LAD,30.2,320,-17
338,12,*05r01*,Robert Suarez,P,SD,33.8,322,-16
339,12,*05a2d*,Max Meyer,P,MIA,25.7,323,-16
340,12,*061zv*,Josue De Paula,OF,LAD,19.5,324,-16
341,12,*05ge1*,Ryan Clifford,"1B,OF",NYM,21.4,325,-16
342,12,*02jh6*,Eugenio Suarez,3B,ARI,33.4,328,-14
343,12,*05wxy*,Kyle Teel,C,BOS,22.8,329,-14
344,12,*04pse*,Brendan Donovan,"1B,2B,OF",STL,27.9,330,-14
345,12,*05t9v*,Jonathan Aranda,1B,TB,26.5,705,360
346,12,*060la*,Jett Williams,SS,NYM,21.1,333,-13
347,13,*01sy3*,Nolan Arenado,3B,STL,33.6,259,-88
348,13,*03qo0*,Pete Fairbanks,P,TB,31,336,-12
349,13,*05yid*,Michael Arroyo,SS,SEA,20.1,337,-12
350,13,*04tlv*,Bryan Abreu,P,HOU,27.6,338,-12
351,13,*04ali*,Edward Cabrera,P,MIA,26.6,339,-12
352,13,*05ynx*,River Ryan,P,LAD,26.3,340,-12
353,13,*04ysv*,Adael Amador,"2B,SS",COL,21.6,341,-12
354,13,*04si2*,Andrew Vaughn,1B,CHW,26.7,342,-12
355,13,*05nsq*,Deyvison De Los Santos,3B,MIA,21.4,344,-11
356,13,*06ibo*,Emil Morales,SS,LAD,18.2,345,-11
357,13,*05l9f*,Landon Knack,P,LAD,27.4,696,339
358,13,*066mo*,Robert Calaz,OF,COL,19,351,-7
359,13,*05yfl*,Joey Loperfido,OF,TOR,25.6,352,-7
360,13,*05yb1*,Drew Thorpe,P,CHW,24.2,353,-7
361,13,*05gww*,Cade Horton,P,CHC,23.3,354,-7
362,13,*0603p*,Hurston Waldrep,P,ATL,22.8,356,-6
363,13,*04fyo*,Ronny Mauricio,2B,NYM,23.7,357,-6
364,13,*02c2h*,Chris Bassitt,P,TOR,35.8,358,-6
365,13,*02c4q*,Nick Martinez,P,CIN,,744,379
366,13,*060eu*,Ben Joyce,P,LAA,24.2,592,226
367,13,*02i11*,Jorge Soler,"OF,UT",ATL,32.8,360,-7
368,13,*045kb*,Cristian Javier,P,HOU,27.7,309,-59
369,13,*04s1g*,Gabriel Moreno,C,ARI,24.8,362,-7
370,13,*04z6m*,Agustin Ramirez,C,MIA,23.2,363,-7
371,13,*05gss*,Jeferson Quero,C,MIL,22.2,653,282
372,13,*04qnd*,Noelvi Marte,3B,CIN,23.1,185,-187
373,13,*06cq8*,Christian Moore,2B,LAA,22.1,365,-8
374,13,*05ucf*,James Triantos,"3B,SS",CHC,21.8,366,-8
375,13,*051b4*,Jordan Beck,OF,COL,23.6,367,-8
376,13,*05u3u*,Konnor Griffin,SS,PIT,18.6,368,-8
377,13,*059bx*,Brady House,SS,WSH,21.5,369,-8
378,13,*05mx9*,Felnin Celesten,SS,SEA,19.2,370,-8
379,13,*05yai*,Bryce Rainer,SS,DET,19.4,371,-8
380,13,*05yj1*,Nolan Schanuel,1B,LAA,22.8,372,-8
381,13,*03btu*,Willi Castro,"2B,3B,SS,OF",MIN,27.6,335,-46
382,13,*051ia*,Spencer Horwitz,"1B,2B",TOR,27.1,373,-9
383,13,*05rc3*,Masataka Yoshida,OF,BOS,31.4,374,-9
384,13,*02hj7*,Merrill Kelly,P,ARI,36.1,375,-9
385,13,*05jn0*,Adrian Del Castillo,C,ARI,25.2,376,-9
386,13,*02i37*,Lucas Giolito,P,BOS,30.4,624,238
387,13,*04ai4*,Nolan Gorman,"2B,3B",STL,24.6,378,-9
388,13,*05yhg*,Will Wagner,2B,TOR,26.3,534,146
389,13,*04c0o*,Jose Soriano,P,LAA,26.1,379,-10
390,13,*04aqc*,David Bednar,P,PIT,30.2,641,251
391,13,*04sxv*,Jose Tena,SS,WSH,23.7,718,327
392,13,*05jpx*,Tink Hence,P,STL,22.3,295,-97
393,13,*02iug*,Michael Wacha,P,KC,33.4,383,-10
394,13,*05yo5*,Ben Rice,"C,1B",NYY,25.8,384,-10
395,13,*04mn4*,Joey Bart,C,PIT,28,470,75
396,13,*05raw*,Harry Ford,C,SEA,21.8,385,-11
397,13,*05un2*,Edgar Quero,C,CHW,21.7,386,-11
398,13,*052ru*,Josh Smith,"3B,SS,OF",TEX,27.8,387,-11
399,13,*05yix*,Jaison Chourio,OF,CLE,19.5,388,-11
400,13,*05r64*,Thayron Liranzo,C,DET,21.4,432,32
401,13,*04t3y*,Alejandro Kirk,C,TOR,26.1,448,47
402,13,*05gtn*,Tyler Soderstrom,"C,1B",OAK,23,636,234
403,13,*03de9*,Rhys Hoskins,1B,MIL,31.7,258,-145
404,13,*05y7x*,Cole Young,SS,SEA,21.3,393,-11
