Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
85,Bo Bichette,SS,(N/A),27.9,68,-17,9,*041qb*
86,Chris Sale,P,ATL,36.8,89,3,9,*01uca*
87,Blake Snell,P,LAD,33.1,90,3,9,*02bqr*
88,Max Clark,OF,DET,21.1,91,3,9,*05u9y*
89,Hunter Goodman,C,COL,26.3,92,3,9,*05u2v*
90,Maikel Garcia,"2B,3B,SS",KC,25.9,113,23,9,*05g3x*
91,Bubba Chandler,P,PIT,23.4,95,4,9,*05rik*
92,Jesus Luzardo,P,PHI,28.3,96,4,9,*041r1*
93,Ryan Pepiot,P,TB,28.4,98,5,9,*0512m*
94,Max Fried,P,NYY,32,67,-27,9,*02i2j*
95,Alex Bregman,3B,CHC,31.8,65,-30,9,*02w7p*
96,Byron Buxton,OF,MIN,32.1,102,6,9,*02i2k*
97,Drake Baldwin,C,ATL,24.8,103,6,9,*0630d*
98,Leodalis De Vries,SS,ATH,19.3,104,6,9,*067yc*
99,Luke Keaschall,2B,MIN,23.4,105,6,9,*05zh9*
100,Tatsuya Imai,P,HOU,27.7,NR,NA,9,*06ktn*
101,Kyle Bradish,P,BAL,29.4,106,5,9,*04pq4*
102,Dylan Cease,P,TOR,30.1,144,42,9,*03df2*
103,Agustin Ramirez,C,MIA,24.4,107,4,9,*04z6m*
104,Andy Pages,OF,LAD,25.1,108,4,9,*04ru5*
105,Kyle Stowers,OF,MIA,28.1,110,5,9,*04y97*
106,Bryce Eldridge,UT,SF,21.3,112,6,9,*05u96*
107,Aidan Miller,SS,PHI,21.6,114,7,9,*05u36*
108,Jac Caglianone,"1B,OF",KC,22.9,115,7,9,*05u9q*
109,Ivan Herrera,C,STL,25.6,116,7,9,*04hyc*
110,Jackson Holliday,2B,BAL,22.1,117,7,9,*05ybv*
111,Emmet Sheehan,P,LAD,26.2,179,68,9,*05y2l*
112,Ian Happ,OF,CHC,31.4,128,16,9,*03nmw*
113,Christian Yelich,"OF,UT",MIL,34.1,59,-54,9,*025dn*
114,Zyhir Hope,OF,LAD,21,119,5,9,*06eyu*
115,MacKenzie Gore,P,WSH,26.9,120,5,9,*04cd5*
116,Tyler Glasnow,P,LAD,32.4,121,5,9,*02btx*
117,Seiya Suzuki,"OF,UT",CHC,31.4,157,40,9,*04b02*
118,Nolan McLean,P,NYM,24.5,123,5,9,*05y7s*
119,Luis Robert Jr.,OF,CHW,28.5,124,5,9,*047l7*
120,Jacob Misiorowski,P,MIL,23.8,125,5,9,*061yu*
121,Michael King,P,SD,30.7,88,-33,9,*041wv*
122,Trey Yesavage,P,TOR,22.5,235,113,9,*06apx*
123,Colt Emerson,SS,SEA,20.5,129,6,9,*060ub*
124,Walker Jenkins,OF,MIN,20.9,130,6,9,*05u3v*
125,Zack Wheeler,P,PHI,35.7,70,-55,10,*01sb3*
126,Mike Trout,"OF,UT",LAA,34.5,132,6,10,*01s8u*
127,Carson Benge,OF,NYM,23,133,6,10,*06aly*
128,Lawrence Butler,OF,ATH,25.5,134,6,10,*04prt*
129,Jacob Wilson,SS,ATH,23.8,127,-2,10,*0622t*
130,Eduardo Quintero,OF,LAD,20.3,152,22,10,*06c79*
131,Cam Smith,OF,HOU,22.9,122,-9,10,*060jo*
132,Josue Briceno,"C,1B",DET,21.3,139,7,10,*0637j*
133,Spencer Torkelson,1B,DET,26.4,140,7,10,*04yk2*
134,Shota Imanaga,P,CHC,32.4,94,-40,10,*05ge9*
135,Nick Pivetta,P,SD,32.9,99,-36,10,*0316j*
136,Drew Rasmussen,P,TB,30.5,141,5,10,*04eee*
137,Andrew Painter,P,PHI,22.8,142,5,10,*05r3i*
138,Shane Bieber,P,TOR,30.6,143,5,10,*041rf*
139,Pablo Lopez,P,MIN,29.9,77,-62,10,*043f9*
140,Roki Sasaki,P,LAD,24.3,145,5,10,*05gdz*
141,Josue De Paula,OF,LAD,20.7,100,-41,10,*061zv*
142,Dansby Swanson,SS,CHC,31.9,150,8,10,*03ae8*
143,Royce Lewis,3B,MIN,26.6,126,-17,10,*04aeb*
144,Trevor Story,SS,BOS,33.2,146,2,10,*02bqh*
145,Jose Altuve,"2B,OF",HOU,35.7,101,-44,10,*024m0*
146,Nico Hoerner,2B,CHC,28.7,181,35,10,*04pkr*
147,Payton Tolle,P,BOS,23.2,148,1,10,*06gwk*
148,Ezequiel Tovar,SS,COL,24.5,149,1,10,*04mra*
149,Brandon Lowe,2B,PIT,31.6,138,-11,10,*03qjy*
150,Cam Schlittler,P,NYY,25,206,56,10,*05u6q*
151,Edward Florentino,OF,PIT,19.2,192,41,10,*06mh4*
152,Isaac Paredes,3B,HOU,26.9,153,1,10,*04071*
153,Kyle Manzardo,1B,CLE,25.5,154,1,10,*05rfu*
154,Jonathan Aranda,1B,TB,27.7,155,1,10,*05t9v*
155,Edwin Diaz,P,LAD,31.8,156,1,10,*02my5*
156,Shea Langeliers,C,ATH,28.2,172,16,10,*04o4s*
157,Michael Harris II,OF,ATL,24.9,158,1,10,*0512v*
158,Carlos Rodon,P,NYY,33.1,97,-61,10,*02c2r*
159,Thomas White,P,MIA,21.3,159,0,10,*05tp6*
160,Addison Barger,"3B,OF",TOR,26.2,202,42,10,*04qii*
161,Ozzie Albies,2B,ATL,29,160,-1,10,*03fi0*
162,Mason Miller,P,SD,27.4,161,-1,10,*05ucd*
163,Ranger Suarez,P,BOS,30.4,162,-1,10,*03et8*
164,Robbie Ray,P,SF,34.3,163,-1,10,*025j1*
165,Shane Baz,P,BAL,26.6,233,68,10,*04cwf*
166,Jhoan Duran,P,PHI,28,165,-1,10,*04apj*
167,Andres Munoz,P,SEA,27,166,-1,10,*0403o*
168,Teoscar Hernandez,OF,LAD,33.3,137,-31,10,*02xic*
169,Sonny Gray,P,BOS,36.2,208,39,10,*0260v*
170,Luis Castillo,P,SEA,33.1,168,-2,10,*03nuc*
171,Jo Adell,OF,LAA,26.8,169,-2,10,*04aee*
172,Taylor Ward,OF,BAL,32.1,170,-2,10,*03pje*
173,Sal Stewart,1B,CIN,22.1,203,30,10,*05u9o*
174,Cade Smith,P,CLE,23.8,327,153,10,*04eor*
175,Eugenio Suarez,3B,(N/A),34.5,173,-2,10,*02jh6*
176,Matt Chapman,3B,SF,32.7,243,67,10,*03d6s*
177,Kazuma Okamoto,"1B,3B",TOR,29.6,NR,NA,10,*06fzu*
178,Steven Kwan,OF,CLE,28.4,174,-4,10,*04pr1*
179,Kevin Gausman,P,TOR,35,175,-4,10,*02hi7*
180,Tanner Bibee,P,CLE,26.9,176,-4,10,*05y23*
181,Zac Gallen,P,(N/A),30.5,177,-4,10,*041qo*
182,Justin Steele,P,CHC,30.5,256,74,10,*03deg*
183,Gleyber Torres,2B,DET,29.1,178,-5,10,*031t0*
184,Gavin Williams,P,CLE,26.5,131,-53,10,*05jp7*
185,Bryson Stott,"2B,SS",PHI,28.3,180,-5,11,*04p10*
186,Matt Shaw,3B,CHC,24.2,136,-50,11,*063vu*
187,Kerry Carpenter,OF,DET,28.4,151,-36,11,*051em*
188,Bryan Reynolds,OF,PIT,31,135,-53,11,*03e5m*
189,Yainer Diaz,C,HOU,27.3,182,-7,11,*0524l*
190,Gerrit Cole,P,NYY,35.4,232,42,11,*01spo*
191,Jared Jones,P,PIT,24.4,222,31,11,*05h2u*
192,Heliot Ramos,OF,SF,26.4,184,-8,11,*04ee8*
193,Ceddanne Rafaela,"2B,OF",BOS,25.3,281,88,11,*05gsi*
194,Wilyer Abreu,OF,BOS,26.6,185,-9,11,*060x1*
195,Daylen Lile,OF,WSH,23.1,227,32,11,*05t2b*
196,Bryce Miller,P,SEA,27.4,186,-10,11,*05vy6*
197,Adley Rutschman,C,BAL,28,187,-10,11,*04q2n*
198,Kyle Teel,C,CHW,23.9,217,19,11,*05wxy*
199,Carter Jensen,C,KC,22.6,216,17,11,*05vy5*
200,Kris Bubic,P,KC,28.4,188,-12,11,*04pmb*
201,Robby Snelling,P,MIA,22.1,219,18,11,*061mh*
202,Kade Anderson,P,SEA,21.5,189,-13,11,*05ydp*
203,Brandon Nimmo,OF,TEX,32.8,167,-36,11,*02bq2*
204,Colton Cowser,OF,BAL,25.8,190,-14,11,*05ras*
205,Bryce Rainer,SS,DET,20.6,191,-14,11,*05yai*
206,Luis Pena,"2B,SS",MIL,19.2,193,-13,11,*06j3f*
207,Josh Hader,P,HOU,31.8,194,-13,11,*02n96*
208,Masyn Winn,SS,STL,23.8,195,-13,11,*05gwy*
209,Travis Bazzana,2B,CLE,23.4,196,-13,11,*05zde*
210,George Springer,OF,TOR,36.3,197,-13,11,*025he*
211,Dylan Crews,OF,WSH,23.6,198,-13,11,*0596e*
212,Brenton Doyle,OF,COL,27.7,171,-41,11,*0513l*
213,Brandon Woodruff,P,MIL,33,164,-49,11,*02bu3*
214,Jonah Tong,P,NYM,22.6,199,-15,11,*0658b*
215,Shane McClanahan,P,TB,28.7,200,-15,11,*04mlt*
216,Marcelo Mayer,3B,BOS,23.1,147,-69,11,*05r9j*
217,Mark Vientos,3B,NYM,26.1,111,-106,11,*03zcy*
218,Edward Cabrera,P,CHC,27.8,266,48,11,*04ali*
219,Joshua Baez,OF,STL,22.6,263,44,11,*05rcf*
220,Ryan Waldschmidt,OF,ARI,23.3,322,102,11,*06dlz*
221,Nick Lodolo,P,CIN,28,207,-14,11,*041ps*
222,Munetaka Murakami,3B,CHW,26,NR,NA,11,*05y3u*
223,Lazaro Montes,OF,SEA,21.2,209,-14,11,*05rfc*
224,Cade Horton,P,CHC,24.4,210,-14,11,*05gww*
225,Jurickson Profar,OF,ATL,32.9,211,-14,11,*01spl*
226,Nathan Eovaldi,P,TEX,35.9,212,-14,11,*01ut7*
227,Corbin Burnes,P,ARI,31.3,213,-14,11,*041rd*
228,Yandy Diaz,1B,TB,34.5,214,-14,11,*03m6o*
229,Daulton Varsho,OF,TOR,29.6,273,44,11,*04efa*
230,Ha-Seong Kim,SS,ATL,30.3,272,42,11,*05ajg*
231,Ryan Weathers,P,NYY,26.1,283,52,11,*04mnw*
232,Caleb Bonemer,"3B,SS",CHW,20.3,218,-14,11,*06hea*
233,Aaron Nola,P,PHI,32.6,270,37,11,*02i3o*
234,Jasson Dominguez,OF,NYY,23,220,-14,12,*050c3*
235,Spencer Horwitz,1B,PIT,28.2,204,-31,12,*051ia*
236,Sal Frelick,OF,MIL,25.8,295,59,12,*05rb1*
237,Matt McLain,2B,CIN,26.5,223,-14,12,*04pks*
238,Jose Soriano,P,LAA,27.3,377,139,12,*04c0o*
239,Alec Bohm,"1B,3B",PHI,29.5,225,-14,12,*04mn5*
240,Luis Hernandez,SS,SF,17.1,,,12,*071w9*
241,Rainiel Rodriguez,C,STL,19,304,63,12,*06mnp*
242,Emmanuel Rodriguez,OF,MIN,22.9,228,-14,12,*054p6*
243,Carson Williams,SS,TB,22.6,229,-14,12,*05t9n*
244,Noelvi Marte,"3B,OF",CIN,24.3,230,-14,12,*04qnd*
245,Masyn Winn,SS,STL,23.5,231,-14,12,*05gwy*
246,Connelly Early,P,BOS,23.8,373,127,12,*06f1r*
247,Grayson Rodriguez,P,LAA,26.2,201,-46,12,*04pko*
248,Gabriel Moreno,C,ARI,25.9,234,-14,12,*04s1g*
249,Colt Keith,"1B,2B,3B",DET,24.4,205,-44,12,*05jrh*
250,Kristian Campbell,2B,BOS,23.6,236,-14,12,*06f0q*
251,Alejandro Kirk,C,TOR,27.2,237,-14,12,*04t3y*
252,Josh Jung,3B,TEX,27.9,238,-14,12,*04y44*
253,Eli Willits,SS,WSH,18.1,239,-14,12,*06n8y*
254,Andrew Abbott,P,CIN,26.6,240,-14,12,*05jq2*
255,Trevor Rogers,P,BAL,28.2,241,-14,12,*04ak5*
256,Quinn Priester,P,MIL,25.4,242,-14,12,*050vn*
257,Brett Baty,"2B,3B",NYM,26.2,244,-13,12,*04yib*
258,Jeff Hoffman,P,TOR,33,245,-13,12,*03ann*
259,Trent Grisham,OF,NYY,29.2,247,-12,12,*03pit*
260,Anthony Santander,"OF,UT",TOR,31.3,248,-12,12,*02w16*
261,Ramon Laureano,OF,SD,31.5,294,33,12,*03dp8*
262,Christian Walker,1B,HOU,34.8,250,-12,12,*02mw3*
263,Willson Contreras,1B,BOS,33.7,251,-12,12,*03oh0*
264,Jett Williams,"2B,SS,OF",NYM,22.2,252,-12,12,*060la*
265,Seth Hernandez,P,PIT,19.6,253,-12,12,*067yn*
266,Colson Montgomery,"3B,SS",CHW,23.9,254,-12,12,*05rch*
267,Michael Arroyo,2B,SEA,21.2,226,-41,12,*05yid*
268,Ralphy Velazquez,1B,CLE,20.6,337,69,12,*067yp*
269,Merrill Kelly,P,ARI,37.3,257,-12,12,*02hj7*
270,Jaxon Wiggins,P,CHC,24.3,258,-12,12,*05u2p*
271,Taj Bradley,P,MIN,24.8,259,-12,12,*04pr8*
272,Luis Garcia Jr.,2B,WSH,25.3,260,-12,12,*0414g*
273,Esmerlyn Valdez,OF,PIT,22,541,268,12,*05rbw*
274,Alec Burleson,"1B,OF",STL,27.2,280,6,12,*05jr0*
275,Cade Cavalli,P,WSH,27.4,442,167,12,*05gef*
276,Jackson Jobe,P,DET,23.5,264,-12,12,*05rb0*
277,Ryan Sloan,P,SEA,20,265,-12,12,*06ier*
278,Dylan Beavers,OF,BAL,24.4,325,47,12,*05xty*
279,Josh Lowe,OF,TB,28,267,-12,12,*041ah*
280,Luis Arraez,"1B,2B",(N/A),28.8,268,-12,12,*03mew*
281,Logan O'Hoppe,C,LAA,26,246,-35,12,*04q56*
282,Miguel Vargas,"1B,3B",CHW,26.2,357,75,12,*04ru7*
283,Jorge Polanco,2B,NYM,32.6,271,-12,12,*02yd1*
284,Jung Hoo Lee,OF,SF,27.4,221,-63,12,*05m49*
285,Dalton Rushing,C,LAD,24.9,274,-11,12,*05xtz*
286,Carlos Correa,"3B,SS",HOU,31.3,275,-11,12,*02i2q*
287,TJ Friedl,OF,CIN,30.4,276,-11,12,*045gu*
288,Ryne Nelson,P,ARI,28,277,-11,12,*04yid*
289,Jack Leiter,P,TEX,25.8,278,-11,12,*04y9o*
290,Ryan Clifford,"1B,OF",NYM,22.5,279,-11,12,*05ge1*
291,Liam Doyle,P,STL,21.6,358,67,12,*06roc*
292,Jakob Marsee,OF,MIA,24.6,334,42,12,*065ji*
293,Anthony Volpe,SS,NYY,24.7,282,-11,12,*04y9p*
294,Trevor Larnach,"OF,UT",MIN,28.9,255,-39,12,*04nky*
295,Luis Morales,P,ATH,23.3,284,-11,12,*0662m*
296,Troy Melton,P,DET,25.1,285,-11,12,*05uc4*
297,Reynaldo Lopez,P,ATL,32.1,286,-11,12,*03i81*
298,Moises Ballesteros,UT,CHC,22.2,287,-11,12,*05rbs*
299,Braden Montgomery,OF,CHW,22.7,288,-11,12,*05rcg*
300,Hurston Waldrep,P,ATL,23.9,289,-11,12,*0603p*
301,Brady Singer,P,CIN,29.5,290,-11,12,*03pov*
302,Mike Burrows,P,HOU,26.2,451,149,12,*04pvl*
303,Xavier Edwards,"2B,SS",MIA,26.5,291,-12,12,*04n8z*
304,Coby Mayo,1B,BAL,24.1,292,-12,12,*05js5*
305,Dax Kilby,SS,NYY,19.2,393,88,12,*06utg*
306,Chase DeLauter,OF,CLE,24.3,293,-13,12,*05uei*
307,Max Muncy,3B,LAD,35.4,372,65,12,*02mzg*
308,Triston Casas,1B,BOS,26,249,-59,12,*04de1*
309,Kyson Witherspoon,P,BOS,21.4,414,105,12,*06ms5*
310,Josuar Gonzalez,SS,SF,18.3,391,81,12,*06ps2*
311,Jonny Farmelo,OF,SEA,21.4,297,-14,12,*066sx*
312,Matt Wallner,OF,MIN,28.1,298,-14,12,*04o78*
313,Andrew Vaughn,1B,MIL,27.8,330,17,12,*04si2*
314,Gavin Fien,"3B,SS",TEX,18.9,300,-14,12,*06qyu*
315,Aiva Arquette,SS,MIA,22.3,301,-14,12,*06pg6*
316,Xander Bogaerts,SS,SD,33.3,302,-14,12,*025gb*
317,Robert Suarez,P,ATL,34.9,303,-14,12,*05r01*
318,Spencer Steer,"1B,OF",CIN,28.1,215,-103,12,*0512e*
319,Alfredo Duno,C,CIN,20,305,-14,12,*06626*
320,Raisel Iglesias,P,ATL,36.1,345,25,12,*03aqv*
321,Jack Flaherty,P,DET,30.3,307,-14,12,*03d6w*
322,JoJo Parker,SS,TOR,19.5,308,-14,12,*06se6*
323,Steele Hall,SS,CIN,18.5,309,-14,12,*06rw2*
324,George Lombard Jr.,SS,NYY,20.6,310,-14,12,*06b72*
325,Jordan Beck,OF,COL,24.8,332,7,12,*051b4*
326,Adolis Garcia,OF,PHI,32.9,312,-14,12,*04aq4*
327,Owen Caissie,OF,MIA,23.5,362,35,12,*05jsg*
328,Lenyn Sosa,"1B,2B",CHW,26,313,-15,12,*04llv*
329,Ryan McMahon,3B,NYY,31.1,388,59,12,*0310n*
330,Brayan Bello,P,BOS,26.7,183,-147,12,*04t40*
331,Shane Smith,P,CHW,25.8,315,-16,12,*06dqb*
332,Noah Cameron,P,KC,26.5,316,-16,12,*05ycf*
333,Trevor Megill,P,MIL,32.1,317,-16,12,*03dau*
334,Brooks Lee,"2B,3B,SS",MIN,24.9,318,-16,12,*04yig*
335,Otto Lopez,"2B,SS",MIA,27.3,385,50,12,*04tjl*
336,Reese Olson,P,DET,26.5,320,-16,12,*04px8*
337,Travis Sykora,P,WSH,21.7,321,-16,12,*05ycl*
338,Theo Gillen,OF,TB,20.4,366,28,12,*05u2m*
339,Casey Mize,P,DET,28.7,323,-16,12,*04mlf*
340,Zebby Matthews,P,MIN,25.7,324,-16,12,*066cf*
341,Joey Cantillo,P,CLE,26.1,359,18,12,*04eos*
342,Seth Lugo,P,KC,36.2,326,-16,12,*03sef*
343,Nolan Schanuel,1B,LAA,23.9,365,22,12,*05yj1*
344,Jarlin Susana,P,WSH,21.8,328,-16,12,*05y7n*
345,Brendan Donovan,"2B,OF",STL,29,356,11,12,*04pse*
346,Francisco Renteria,OF,PHI,17,NR,NA,12,*0724c*
347,Ernie Clement,"1B,2B,3B,SS",TOR,29.8,561,214,12,*04alp*
348,Logan Henderson,P,MIL,23.9,331,-17,12,*05uo2*
349,Abner Uribe,P,MIL,25.6,422,73,12,*05nso*
350,Lars Nootbaar,OF,STL,28.4,333,-17,12,*04pt2*
351,Ian Seymour,P,TB,27.1,420,69,12,*05jpd*
352,Matthew Boyd,P,CHC,35,335,-17,12,*02n4s*
353,Tyler Mahle,P,SF,31.3,336,-17,12,*0312g*
354,Mickey Moniak,OF,COL,27.7,408,54,12,*041e2*
355,Francisco Alvarez,C,NYM,24.2,338,-17,12,*04qnc*
356,Austin Wells,C,NYY,26.5,339,-17,12,*05ahg*
357,Will Warren,P,NYY,26.6,340,-17,12,*05yaz*
358,Bailey Ober,P,MIN,30.5,341,-17,12,*0425t*
359,Marcus Semien,2B,NYM,35.4,342,-17,12,*02bu9*
360,Brody Hopkins,P,TB,24,343,-17,12,*06f1b*
361,Aroldis Chapman,P,BOS,37.9,344,-17,12,*01gya*
362,Brandon Marsh,OF,PHI,28.1,311,-51,12,*041q8*
363,Clay Holmes,P,NYM,32.8,346,-17,12,*02bx4*
364,Mitch Keller,P,PIT,29.8,347,-17,12,*03d7h*
365,Jamie Arnold,P,ATH,21.8,348,-17,12,*06ktt*
366,Dillon Dingler,C,DET,27.3,349,-17,13,*05gx4*
367,Salvador Perez,"C,1B",KC,35.7,350,-17,13,*01u75*
368,Pete Fairbanks,P,MIA,32.1,351,-17,13,*03qo0*
369,Kumar Rocker,P,TEX,26.2,352,-17,13,*04azu*
370,Chase Dollander,P,COL,24.2,353,-17,13,*05yj0*
371,Jake Cronenworth,"1B,2B,SS",SD,32,354,-17,13,*03qmh*
372,Marcell Ozuna,UT,(N/A),35.2,355,-17,13,*01usi*
373,Jeff McNeil,"2B,OF",ATH,33.8,494,121,13,*0317o*
374,Tommy Edman,"2B,3B,OF",LAD,30.7,387,13,13,*041sq*
375,Joe Musgrove,P,SD,33.1,485,110,13,*02bqy*
376,Cedric Mullins,OF,TB,31.3,261,-115,13,*03qr0*
377,Sean Manaea,P,NYM,34,360,-17,13,*02x0f*
378,Cooper Pratt,SS,MIL,21.4,361,-17,13,*067xj*
379,Ryan O'Hearn,"1B,OF",PIT,32.5,262,-117,13,*03dgq*
380,Mike Sirota,OF,LAD,22.6,363,-17,13,*066ip*
381,Brandon Pfaadt,P,ARI,27.3,364,-17,13,*05lg3*
382,Tyson Lewis,SS,CIN,20,299,-83,13,*06mnk*
383,Wandy Asigen,SS,NYM,16.4,NR,NA,13,*071wa*
384,Zach McKinstry,"3B,SS,OF",DET,30.7,367,-17,13,*0473m*
385,Evan Carter,OF,TEX,23.4,368,-17,13,*05mdt*
386,Ryan Helsley,P,BAL,31.5,370,-16,13,*03ql5*
387,Matthew Liberatore,P,STL,26.2,371,-16,13,*04mlx*
388,Rhys Hoskins,1B,(N/A),32.9,329,-59,13,*03de9*
389,Kodai Senga,P,NYM,33,224,-165,13,*04a2t*
390,Felix Bautista,P,BAL,30.6,374,-16,13,*05t64*
391,Jhostynxon Garcia,OF,PIT,23.1,375,-16,13,*05j8u*
392,Will Vest,P,DET,30.6,376,-16,13,*04em6*
393,Trey Gibson,P,BAL,23.7,427,34,13,*06mc1*
394,Braxton Ashcraft,P,PIT,26.3,457,63,13,*04pmq*
395,Jose Berrios,P,TOR,31.7,378,-17,13,*02mwk*
396,Brady House,3B,WSH,22.6,379,-17,13,*059bx*
397,Tyler Stephenson,C,CIN,29.4,380,-17,13,*03pix*
398,Parker Meadows,OF,DET,26.2,381,-17,13,*04pmn*
399,Max Meyer,P,MIA,26.9,382,-17,13,*05a2d*
400,Zack Littell,P,(N/A),30.3,383,-17,13,*031d4*
401,Charlie Condon,1B,COL,22.8,384,-17,13,*06alk*
402,Chase Meidroth,"2B,SS",CHW,24.5,401,-1,13,*0648n*
403,Caleb Durbin,"2B,3B",MIL,25.9,386,-17,13,*05y4b*
