Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
132,Colton Cowser,OF,BAL,25.4,120,-12,8,*05ras*
133,Kerry Carpenter,OF,DET,27.9,133,0,8,*051em*
134,Bryce Eldridge,1B,SF,20.8,167,33,8,*05u96*
135,Spencer Torkelson,1B,DET,26,134,-1,8,*04yk2*
136,Michael Busch,1B,CHC,27.8,135,-1,8,*04t9b*
137,Lawrence Butler,OF,ATH,25.1,101,-36,9,*04prt*
138,Maikel Garcia,"2B,3B,SS,OF",KC,25.4,180,42,9,*05g3x*
139,Gleyber Torres,2B,DET,28.7,137,-2,9,*031t0*
140,Ezequiel Tovar,SS,COL,24,114,-26,9,*04mra*
141,Jasson Dominguez,OF,NYY,22.5,139,-2,9,*050c3*
142,Josh Lowe,OF,TB,27.5,140,-2,9,*041ah*
143,Jonathan Aranda,"1B,2B",TB,27.2,123,-20,9,*05t9v*
144,Edwin Diaz,P,NYM,31.4,198,54,9,*02my5*
145,Blake Snell,P,LAD,32.7,200,55,9,*02bqr*
146,Bryan Reynolds,OF,PIT,30.5,144,-2,9,*03e5m*
147,Royce Lewis,3B,MIN,26.2,145,-2,9,*04aeb*
148,Kodai Senga,P,NYM,32.5,105,-43,9,*04a2t*
149,Josh Hader,P,HOU,31.4,146,-3,9,*02n96*
150,Jhoan Duran,P,PHI,27.6,147,-3,9,*04apj*
151,Andres Munoz,P,SEA,26.6,148,-3,9,*0403o*
152,Anthony Volpe,SS,NYY,24.3,175,23,9,*04y9p*
153,Shane Baz,P,TB,26.2,110,-43,9,*04cwf*
154,Sonny Gray,P,STL,35.8,151,-3,9,*0260v*
155,Brandon Lowe,"1B,2B",TB,31.1,132,-23,9,*03qjy*
156,Drake Baldwin,C,ATL,24.4,213,57,9,*0630d*
157,Ivan Herrera,C,STL,25.2,161,4,9,*04hyc*
158,Steven Kwan,OF,CLE,27.9,108,-50,9,*04pr1*
159,Josue Briceno,"C,1B",DET,20.9,166,7,9,*0637j*
160,Brandon Nimmo,OF,NYM,32.4,130,-30,9,*02bq2*
161,Kevin Gausman,P,TOR,34.6,155,-6,9,*02hi7*
162,Drew Rasmussen,P,TB,30.1,156,-6,9,*04eee*
163,Jordan Beck,OF,COL,24.3,219,56,9,*051b4*
164,Nick Lodolo,P,CIN,27.5,186,22,10,*041ps*
165,Brice Turang,2B,MIL,25.7,159,-6,10,*04b00*
166,Dansby Swanson,SS,CHC,31.5,160,-6,10,*03ae8*
167,Yainer Diaz,"C,1B",HOU,26.9,142,-25,10,*0524l*
168,Ryan Helsley,P,NYM,31.1,149,-19,10,*03ql5*
169,Wilyer Abreu,OF,BOS,26.1,131,-38,10,*060x1*
170,Logan O'Hoppe,C,LAA,25.5,136,-34,10,*04q56*
171,Kris Bubic,P,KC,28,96,-75,10,*04pmb*
172,Walker Jenkins,OF,MIN,20.5,203,31,10,*05u3v*
173,Eduardo Quintero,OF,LAD,19.9,165,-8,10,*06c79*
174,Kristian Campbell,"2B,SS,OF",BOS,23.1,93,-81,10,*06f0q*
175,Kade Anderson,P,SEA,21.1,NR,NA,10,*05ydp*
176,Eugenio Suarez,3B,SEA,34.1,176,0,10,*02jh6*
177,Geraldo Perdomo,SS,ARI,25.8,168,-9,10,*04pbq*
178,Bryce Rainer,SS,DET,20.1,171,-7,10,*05yai*
179,Masyn Winn,SS,STL,23.4,172,-7,10,*05gwy*
180,Nico Hoerner,"2B,SS",CHC,28.3,173,-7,10,*04pkr*
181,Taylor Ward,OF,LAA,31.7,193,12,10,*03pje*
182,Nathan Eovaldi,P,TEX,35.5,177,-5,10,*01ut7*
183,Ian Happ,OF,CHC,31,81,-102,10,*03nmw*
184,Shane Bieber,P,TOR,30.2,239,55,10,*041rf*
185,Kyle Bradish,P,BAL,28.9,230,45,10,*04pq4*
186,Dalton Rushing,"C,OF",LAD,24.5,152,-34,10,*05xtz*
187,Shea Langeliers,C,ATH,27.7,217,30,10,*04o4s*
188,Edward Cabrera,P,MIA,27.3,245,57,10,*04ali*
189,Shane McClanahan,P,TB,28.3,153,-36,10,*04mlt*
190,Grayson Rodriguez,P,BAL,25.7,154,-36,10,*04pko*
191,Zac Gallen,P,ARI,30,178,-13,10,*041qo*
192,Luke Keaschall,2B,MIN,23,182,-10,10,*05zh9*
193,Jack Flaherty,P,DET,29.8,184,-9,10,*03d6w*
194,Gavin Williams,P,CLE,26.1,185,-9,10,*05jp7*
195,Colt Keith,"1B,2B,3B",DET,24,274,79,10,*05jrh*
196,Bryson Stott,"2B,SS",PHI,27.9,187,-9,10,*04p10*
197,Lars Nootbaar,OF,STL,27.9,141,-56,10,*04pt2*
198,Andrew Abbott,P,CIN,26.2,188,-10,10,*05jq2*
199,Ranger Suarez,P,PHI,30,189,-10,10,*03et8*
200,Ben Rice,"C,1B",NYY,26.5,190,-10,10,*05yo5*
201,Travis Bazzana,2B,CLE,23,191,-10,10,*05zde*
202,Ozzie Albies,2B,ATL,28.6,183,-19,10,*03fi0*
203,Matt Wallner,"OF,P",MIN,27.7,312,109,10,*04o78*
204,Thomas White,P,MIA,20.9,195,-9,10,*05tp6*
205,Corbin Burnes,P,ARI,30.8,196,-9,10,*041rd*
206,Jo Adell,OF,LAA,26.4,192,-14,10,*04aee*
207,Yandy Diaz,1B,TB,34,208,1,10,*03m6o*
208,Alec Bohm,"1B,3B",PHI,29,201,-7,10,*04mn5*
209,Matt Chapman,3B,SF,32.3,102,-107,10,*03d6s*
210,Lazaro Montes,OF,SEA,20.8,251,41,10,*05rfc*
211,Michael Harris II,OF,ATL,24.4,204,-7,11,*0512v*
212,Cedric Mullins,OF,NYM,30.9,205,-7,11,*03qr0*
213,Jared Jones,P,PIT,24,206,-7,11,*05h2u*
214,Jeff Hoffman,P,TOR,32.6,207,-7,11,*03ann*
215,Luis Castillo,P,SEA,32.7,229,14,11,*03nuc*
216,Zebby Matthews,P,MIN,25.2,231,15,11,*066cf*
217,Jose Soriano,P,LAA,26.8,157,-60,11,*04c0o*
218,Adolis Garcia,OF,TEX,32.5,234,16,11,*04aq4*
219,Emmanuel Rodriguez,OF,MIN,22.5,252,33,11,*054p6*
220,Carson Williams,SS,TB,22.1,288,68,11,*05t9n*
221,Noelvi Marte,"3B,OF",CIN,23.8,384,163,11,*04qnd*
222,Gerrit Cole,P,NYY,34.9,232,10,11,*01spo*
223,Willson Contreras,"C,1B",STL,33.3,214,-9,11,*03oh0*
224,Tanner Bibee,P,CLE,26.4,215,-9,11,*05y23*
225,George Lombard Jr.,SS,NYY,20.2,211,-14,11,*06b72*
226,Anthony Santander,OF,TOR,30.8,216,-10,11,*02w16*
227,Spencer Steer,"1B,2B,OF",CIN,27.7,179,-48,11,*0512e*
228,Christian Walker,1B,HOU,34.4,218,-10,11,*02mw3*
229,Brayan Bello,P,BOS,26.2,296,67,11,*04t40*
230,Seth Lugo,P,KC,35.7,209,-21,11,*03sef*
231,Trevor Story,SS,BOS,32.7,268,37,11,*02bqh*
232,Colt Emerson,SS,SEA,20.1,313,81,11,*060ub*
233,Casey Mize,P,DET,28.3,223,-10,11,*04mlf*
234,Luis Garcia Jr.,2B,WSH,24.9,224,-10,11,*0414g*
235,Josh Jung,3B,TEX,27.5,307,72,11,*04y44*
236,Luis Arraez,"1B,2B",SD,28.3,226,-10,11,*03mew*
237,Jett Williams,SS,NYM,21.8,315,78,11,*060la*
238,Michael Arroyo,2B,SEA,20.8,316,78,11,*05yid*
239,Austin Wells,C,NYY,26.1,227,-12,11,*05ahg*
240,Justin Steele,P,CHC,30.1,228,-12,11,*03deg*
241,Sean Manaea,P,NYM,33.5,308,67,11,*02x0f*
242,Sal Stewart,"2B,3B",CIN,21.7,333,91,11,*05u9o*
243,Jung Hoo Lee,OF,SF,27,194,-49,11,*05m49*
244,Emmet Sheehan,P,LAD,25.7,300,56,11,*05y2l*
245,Daniel Palencia,P,CHC,25.5,260,15,11,*05u4l*
246,Jackson Jobe,P,DET,23,233,-13,11,*05rb0*
247,Gabriel Moreno,C,ARI,25.5,235,-12,11,*04s1g*
248,Triston Casas,1B,BOS,25.6,236,-12,11,*04de1*
249,Nick Castellanos,OF,PHI,33.4,238,-11,11,*01uc9*
250,Alec Burleson,"1B,OF,P",STL,26.7,305,55,11,*05jr0*
251,Aaron Nola,P,PHI,32.2,240,-11,11,*02i3o*
252,Rhys Hoskins,1B,MIL,32.4,241,-11,11,*03de9*
253,Kyle Manzardo,1B,CLE,25.1,242,-11,11,*05rfu*
254,Travis Sykora,P,WSH,21.3,143,-111,11,*05ycl*
255,Mark Vientos,3B,NYM,25.7,243,-12,11,*03zcy*
256,Tommy Edman,"2B,3B,SS,OF",LAD,30.3,220,-36,11,*041sq*
257,Carson Benge,OF,NYM,22.6,375,118,11,*06aly*
258,Noah Cameron,P,KC,26.1,309,51,11,*05ycf*
259,Kyle Teel,C,CHW,23.5,246,-13,11,*05wxy*
260,Grant Taylor,P,CHW,23.2,247,-13,11,*066er*
261,Trevor Megill,P,MIL,31.7,404,143,11,*03dau*
262,Reynaldo Lopez,P,ATL,31.6,248,-14,11,*03i81*
263,Taj Bradley,P,MIN,24.4,249,-14,11,*04pr8*
264,Coby Mayo,"1B,3B",BAL,23.7,334,70,11,*05js5*
265,Seth Hernandez,P,PIT,19.1,NR,NA,11,*067yn*
266,Arjun Nimmala,SS,TOR,19.8,222,-44,11,*05y3p*
267,Jesus Sanchez,OF,HOU,27.9,253,-14,11,*03nru*
268,Angel Genao,SS,CLE,21.2,254,-14,11,*05r5e*
269,Carlos Correa,SS,HOU,30.9,256,-13,11,*02i2q*
270,Chase DeLauter,OF,CLE,23.8,210,-60,11,*05uei*
271,George Springer,OF,TOR,35.9,304,33,11,*025he*
272,Jordan Lawlar,"2B,SS",ARI,23.1,263,-9,11,*05r1m*
273,Tyson Lewis,SS,CIN,19.6,303,30,11,*06mnk*
274,Eli Willits,SS,WSH,17.7,NR,NA,11,*06n8y*
275,Jonah Tong,P,NYM,22.2,318,43,11,*0658b*
276,Ryan Sloan,P,SEA,19.5,255,-21,11,*06ier*
277,Jaxon Wiggins,P,CHC,23.9,401,124,11,*05u2p*
278,David Bednar,P,NYY,30.8,259,-19,11,*04aqc*
279,Ryan O'Hearn,"1B,OF",SD,32.1,338,59,11,*03dgq*
280,Robert Suarez,P,SD,34.5,261,-19,11,*05r01*
281,Bailey Ober,P,MIN,30.1,262,-19,11,*0425t*
282,Braden Montgomery,OF,CHW,22.3,237,-45,11,*05rcg*
283,Tanner Scott,P,LAD,31.1,199,-84,11,*03dfa*
284,Tyler Mahle,P,TEX,30.9,265,-19,11,*0312g*
285,Ryne Nelson,P,ARI,27.5,281,-4,11,*04yid*
286,Zach McKinstry,"2B,3B,SS,OF,P",DET,30.3,343,57,11,*0473m*
287,TJ Friedl,OF,CIN,30,269,-18,11,*045gu*
288,Marcus Semien,2B,TEX,34.9,270,-18,11,*02bu9*
289,Xander Bogaerts,"2B,SS",SD,32.9,271,-18,11,*025gb*
290,Max Meyer,P,MIA,26.4,272,-18,11,*05a2d*
291,Ha-Seong Kim,SS,TB,29.8,273,-18,11,*05ajg*
292,Salvador Perez,"C,1B",KC,35.3,306,14,11,*01u75*
293,Nolan Schanuel,1B,LAA,23.5,275,-18,11,*05yj1*
294,Mason Miller,P,SD,27,276,-18,11,*05ucd*
295,Merrill Kelly,P,TEX,36.8,356,61,11,*02hj7*
296,Sal Frelick,OF,MIL,25.3,278,-18,11,*05rb1*
297,Spencer Arrighetti,P,HOU,23.6,282,-15,11,*05y0j*
298,Ryan McMahon,3B,NYY,30.7,291,-7,11,*0310n*
299,Jorge Polanco,"2B,3B",SEA,32.1,337,38,11,*02yd1*
300,Spencer Horwitz,"1B,2B",PIT,27.7,332,32,11,*051ia*
301,Aiva Arquette,SS,MIA,21.8,NR,NA,11,*06pg6*
302,Brady House,3B,WSH,22.2,289,-13,11,*059bx*
303,Xavier Edwards,"2B,SS",MIA,26,290,-13,11,*04n8z*
304,Austin Hays,OF,CIN,30.1,464,160,11,*041qs*
305,Francisco Alvarez,C,NYM,23.7,341,36,11,*04qnc*
306,Matthew Boyd,P,CHC,34.5,294,-12,11,*02n4s*
307,Jose Berrios,P,TOR,31.2,295,-12,11,*02mwk*
308,Trevor Larnach,OF,MIN,28.5,314,6,11,*04nky*
309,Yusei Kikuchi,P,LAA,34.2,297,-12,11,*04ml0*
310,Jeffrey Springs,P,ATH,32.9,298,-12,11,*04mlr*
311,Lucas Giolito,P,BOS,31.1,299,-12,11,*02i37*
312,Tylor Megill,P,NYM,30,225,-87,11,*04ywk*
313,Justin Martinez,P,ARI,24,301,-12,11,*05acp*
314,Jack Leiter,P,TEX,25.3,302,-12,11,*04y9o*
315,Alex Freeland,SS,LAD,24,333,18,12,*05xu1*
316,Devin Williams,P,NYY,30.9,280,-36,12,*0311c*
317,Kumar Rocker,P,TEX,25.7,244,-73,12,*04azu*
318,Chase Dollander,P,COL,23.8,277,-41,12,*05yj0*
319,Aroon Escobar,2B,PHI,20.6,283,-36,12,*06423*
320,Luis Gil,P,NYY,27.2,401,81,12,*04s1h*
321,Joe Boyle,P,TB,26,500,179,12,*05jpk*
322,Brendan Donovan,"2B,3B,SS,OF",STL,28.6,310,-12,12,*04pse*
323,Victor Scott,OF,STL,24.5,311,-12,12,*0648z*
324,Quinn Priester,P,MIL,24.9,461,137,12,*050vn*
325,Parker Meadows,OF,DET,25.8,293,-32,12,*04pmn*
326,Logan Henderson,P,MIL,23.4,285,-41,12,*05uo2*
327,Carter Jensen,C,KC,22.1,453,126,12,*05vy5*
328,Clay Holmes,P,NYM,32.4,212,-116,12,*02bx4*
329,Jonny Farmelo,OF,SEA,20.9,319,-10,12,*066sx*
330,Ryan Clifford,"1B,OF",NYM,22.1,469,139,12,*05ge1*
331,Brooks Lee,"2B,3B,SS",MIN,24.5,321,-10,12,*04yig*
332,Cooper Pratt,SS,MIL,21,317,-15,12,*067xj*
333,Gavin Fien,3B,TEX,18.4,NR,NA,12,*06qyu*
334,JoJo Parker,SS,TOR,19,NR,NA,12,*06se6*
335,Steele Hall,SS,CIN,18.1,NR,NA,12,*06rw2*
336,Sean Murphy,C,ATL,30.9,323,-13,12,*03aoy*
337,Miguel Vargas,"1B,3B,OF",CHW,25.7,324,-13,12,*04ru7*
338,Andrew Vaughn,1B,MIL,27.4,695,357,12,*04si2*
339,Matthew Liberatore,P,STL,25.8,279,-60,12,*04mlx*
340,Max Muncy,3B,LAD,35,326,-14,12,*02mzg*
341,Colson Montgomery,"3B,SS",CHW,23.5,416,75,12,*05rch*
342,Dylan Beavers,OF,BAL,24,540,198,12,*05xty*
343,Felix Bautista,P,BAL,30.2,336,-7,12,*05t64*
344,Jhostynxon Garcia,OF,BOS,22.7,344,0,12,*05j8u*
345,Marcell Ozuna,UT,ATL,34.8,181,-164,12,*01usi*
346,Landen Roupp,P,SF,26.9,286,-60,12,*05y72*
347,Aidan Miller,SS,PHI,21.2,377,30,12,*05u36*
348,Hayden Birdsong,P,SF,24,264,-84,12,*06650*
349,Cole Young,"2B,SS",SEA,22,335,-14,12,*05y7x*
350,Will Warren,P,NYY,26.2,342,-8,12,*05yaz*
351,Evan Carter,OF,TEX,23,257,-94,12,*05mdt*
352,Zack Littell,P,CIN,29.9,369,17,12,*031d4*
353,Joey Ortiz,"2B,3B,SS",MIL,27.1,267,-86,12,*0513c*
354,Otto Lopez,"2B,3B,SS",MIA,26.9,340,-14,12,*04tjl*
355,Brenton Doyle,OF,COL,27.3,352,-3,12,*0513l*
356,Carson Kelly,C,CHC,31.1,379,23,12,*02mxf*
357,Jamie Arnold,P,ATH,21.4,NR,NA,12,*06ktt*
358,Liam Doyle,P,STL,21.2,NR,NA,12,*06roc*
359,Brody Hopkins,P,TB,23.6,393,34,12,*06f1b*
360,Troy Melton,P,DET,24.7,612,252,12,*05uc4*
361,Luke Dickerson,SS,WSH,20,322,-39,12,*06mne*
362,Ethan Holliday,3B,COL,18.5,NR,NA,12,*062cx*
363,Josuar Gonzalez,SS,SF,17.8,602,239,12,*06ps2*
364,Robby Snelling,P,MIA,21.6,389,25,12,*061mh*
365,Will Vest,P,DET,30.2,361,-4,12,*04em6*
366,Alejandro Kirk,C,TOR,26.8,366,0,12,*04t3y*
367,Nestor Cortes Jr.,P,SD,30.7,346,-21,12,*03bin*
368,Reese Olson,P,DET,26,284,-84,12,*04px8*
369,Ryan Weathers,P,MIA,25.7,348,-21,12,*04mnw*
370,Cade Horton,P,CHC,24,498,128,12,*05gww*
371,Shane Smith,P,CHW,25.4,349,-22,12,*06dqb*
372,Trevor Rogers,P,BAL,27.8,828,628,12,*04ak5*
373,Alfredo Duno,C,CIN,19.6,363,-10,12,*06626*
374,Moises Ballesteros,C,CHC,21.8,351,-23,12,*05rbs*
375,Ryan Waldschmidt,OF,ARI,22.8,365,-10,12,*06dlz*
376,Brandon Marsh,OF,PHI,27.7,382,6,12,*041q8*
377,Nolan Arenado,3B,STL,34.3,266,-111,12,*01sy3*
378,Dillon Dingler,C,DET,26.9,353,-25,12,*05gx4*
379,Owen Caissie,OF,CHC,23.1,476,97,12,*05jsg*
380,Luis Severino,P,ATH,31.5,355,-25,12,*03ab0*
381,Noah Schultz,P,CHW,22,292,-89,12,*05uc7*
382,David Peterson,P,NYM,29.9,397,15,12,*04g1x*
383,Quinn Mathews,P,STL,24.9,358,-25,12,*060gd*
384,Jake Cronenworth,"1B,2B",SD,31.6,380,-4,12,*03qmh*
385,Aroldis Chapman,P,BOS,37.5,531,146,12,*01gya*
386,Abner Uribe,P,MIL,25.1,360,-26,12,*05nso*
387,Dustin May,P,BOS,27.9,357,-30,12,*041r5*
388,Pete Fairbanks,P,TB,31.7,362,-26,12,*03qo0*
389,Tyler Bremner,P,LAA,21.3,NR,NA,12,*06icx*
390,Cade Smith,P,NYY,23.3,488,98,12,*06f15*
391,Josh Smith,"1B,3B,SS,OF",TEX,28.5,345,-46,12,*052ru*
392,Lenyn Sosa,"1B,2B,3B",CHW,25.6,681,289,12,*04llv*
393,Edward Florentino,1B,PIT,18.8,491,98,12,*06mh4*
394,Mickey Moniak,OF,COL,27.3,485,91,12,*041e2*
395,Dean Kremer,P,BAL,29.6,448,53,12,*041yb*
396,Tyler Stephenson,C,CIN,29,367,-29,12,*03pix*
397,Mitch Keller,P,PIT,29.4,368,-29,12,*03d7h*
398,Trent Grisham,OF,NYY,28.8,411,13,12,*03pit*
399,Gavin Lux,"2B,3B,OF",CIN,27.7,331,-68,12,*041ai*
400,J.T. Realmuto,C,PHI,34.4,370,-30,12,*025i9*
401,Eduardo Tait,C,MIN,19,371,-30,12,*06bsb*
402,A.J. Puk,P,ARI,30.3,372,-30,12,*03yso*
